i,j,x,y,numerical,exact,error,absError
0,0,5.0000000000000003e-02,5.0000000000000003e-02,3.6677464016200000e-02,5.8778525229248935e-01,-5.5110778827628937e-01,5.5110778827628937e-01
1,0,1.4999999999999999e-01,5.0000000000000003e-02,4.2547107412500000e-02,9.5105651629515975e-01,-9.0850940888265974e-01,9.0850940888265974e-01
2,0,2.5000000000000000e-01,5.0000000000000003e-02,3.2165201900299999e-02,9.5105651629514742e-01,-9.1889131439484739e-01,9.1889131439484739e-01
3,0,3.4999999999999998e-01,5.0000000000000003e-02,9.4972825171099999e-03,5.8778525229245704e-01,-5.7828796977534702e-01,5.7828796977534702e-01
4,0,4.5000000000000001e-01,5.0000000000000003e-02,-1.6798275986800001e-02,-1.9907319273146961e-14,-1.6798275986780093e-02,1.6798275986780093e-02
5,0,5.5000000000000004e-01,5.0000000000000003e-02,-3.6677464016200000e-02,-5.8778525229248924e-01,5.5110778827628926e-01,5.5110778827628926e-01
6,0,6.5000000000000002e-01,5.0000000000000003e-02,-4.2547107412500000e-02,-9.5105651629516030e-01,9.0850940888266030e-01,9.0850940888266030e-01
7,0,7.5000000000000000e-01,5.0000000000000003e-02,-3.2165201900299999e-02,-9.5105651629514742e-01,9.1889131439484739e-01,9.1889131439484739e-01
8,0,8.4999999999999998e-01,5.0000000000000003e-02,-9.4972825171099999e-03,-5.8778525229245782e-01,5.7828796977534780e-01,5.7828796977534780e-01
9,0,9.4999999999999996e-01,5.0000000000000003e-02,1.6798275986800001e-02,1.9784854593232225e-14,1.6798275986780214e-02,1.6798275986780214e-02
0,1,5.0000000000000003e-02,1.4999999999999999e-01,4.2547107412500000e-02,9.5105651629515975e-01,-9.0850940888265974e-01,9.0850940888265974e-01
1,1,1.4999999999999999e-01,1.4999999999999999e-01,3.2165201900299999e-02,9.5105651629514742e-01,-9.1889131439484739e-01,9.1889131439484739e-01
2,1,2.5000000000000000e-01,1.4999999999999999e-01,9.4972825171099999e-03,5.8778525229245704e-01,-5.7828796977534702e-01,5.7828796977534702e-01
3,1,3.4999999999999998e-01,1.4999999999999999e-01,-1.6798275986800001e-02,-1.9907319273146961e-14,-1.6798275986780093e-02,1.6798275986780093e-02
4,1,4.5000000000000001e-01,1.4999999999999999e-01,-3.6677464016200000e-02,-5.8778525229248924e-01,5.5110778827628926e-01,5.5110778827628926e-01
5,1,5.5000000000000004e-01,1.4999999999999999e-01,-4.2547107412500000e-02,-9.5105651629516030e-01,9.0850940888266030e-01,9.0850940888266030e-01
6,1,6.5000000000000002e-01,1.4999999999999999e-01,-3.2165201900299999e-02,-9.5105651629514742e-01,9.1889131439484739e-01,9.1889131439484739e-01
7,1,7.5000000000000000e-01,1.4999999999999999e-01,-9.4972825171099999e-03,-5.8778525229245782e-01,5.7828796977534780e-01,5.7828796977534780e-01
8,1,8.4999999999999998e-01,1.4999999999999999e-01,1.6798275986800001e-02,1.9784854593232225e-14,1.6798275986780214e-02,1.6798275986780214e-02
9,1,9.4999999999999996e-01,1.4999999999999999e-01,3.6677464016200000e-02,5.8778525229248835e-01,-5.5110778827628837e-01,5.5110778827628837e-01
0,2,5.0000000000000003e-02,2.5000000000000000e-01,3.2165201900299999e-02,9.5105651629514742e-01,-9.1889131439484739e-01,9.1889131439484739e-01
1,2,1.4999999999999999e-01,2.5000000000000000e-01,9.4972825171099999e-03,5.8778525229245704e-01,-5.7828796977534702e-01,5.7828796977534702e-01
2,2,2.5000000000000000e-01,2.5000000000000000e-01,-1.6798275986800001e-02,-1.9907319273146961e-14,-1.6798275986780093e-02,1.6798275986780093e-02
3,2,3.4999999999999998e-01,2.5000000000000000e-01,-3.6677464016200000e-02,-5.8778525229248924e-01,5.5110778827628926e-01,5.5110778827628926e-01
4,2,4.5000000000000001e-01,2.5000000000000000e-01,-4.2547107412500000e-02,-9.5105651629515975e-01,9.0850940888265974e-01,9.0850940888265974e-01
5,2,5.5000000000000004e-01,2.5000000000000000e-01,-3.2165201900299999e-02,-9.5105651629514742e-01,9.1889131439484739e-01,9.1889131439484739e-01
6,2,6.5000000000000002e-01,2.5000000000000000e-01,-9.4972825171099999e-03,-5.8778525229245782e-01,5.7828796977534780e-01,5.7828796977534780e-01
7,2,7.5000000000000000e-01,2.5000000000000000e-01,1.6798275986800001e-02,1.9784854593232225e-14,1.6798275986780214e-02,1.6798275986780214e-02
8,2,8.4999999999999998e-01,2.5000000000000000e-01,3.6677464016200000e-02,5.8778525229248979e-01,-5.5110778827628981e-01,5.5110778827628981e-01
9,2,9.4999999999999996e-01,2.5000000000000000e-01,4.2547107412500000e-02,9.5105651629515964e-01,-9.0850940888265963e-01,9.0850940888265963e-01
0,3,5.0000000000000003e-02,3.4999999999999998e-01,9.4972825171099999e-03,5.8778525229245704e-01,-5.7828796977534702e-01,5.7828796977534702e-01
1,3,1.4999999999999999e-01,3.4999999999999998e-01,-1.6798275986800001e-02,-1.9907319273146961e-14,-1.6798275986780093e-02,1.6798275986780093e-02
2,3,2.5000000000000000e-01,3.4999999999999998e-01,-3.6677464016200000e-02,-5.8778525229248924e-01,5.5110778827628926e-01,5.5110778827628926e-01
3,3,3.4999999999999998e-01,3.4999999999999998e-01,-4.2547107412500000e-02,-9.5105651629515975e-01,9.0850940888265974e-01,9.0850940888265974e-01
4,3,4.5000000000000001e-01,3.4999999999999998e-01,-3.2165201900299999e-02,-9.5105651629514742e-01,9.1889131439484739e-01,9.1889131439484739e-01
5,3,5.5000000000000004e-01,3.4999999999999998e-01,-9.4972825171099999e-03,-5.8778525229245782e-01,5.7828796977534780e-01,5.7828796977534780e-01
6,3,6.5000000000000002e-01,3.4999999999999998e-01,1.6798275986800001e-02,1.9784854593232225e-14,1.6798275986780214e-02,1.6798275986780214e-02
7,3,7.5000000000000000e-01,3.4999999999999998e-01,3.6677464016200000e-02,5.8778525229248979e-01,-5.5110778827628981e-01,5.5110778827628981e-01
8,3,8.4999999999999998e-01,3.4999999999999998e-01,4.2547107412500000e-02,9.5105651629515964e-01,-9.0850940888265963e-01,9.0850940888265963e-01
9,3,9.4999999999999996e-01,3.4999999999999998e-01,3.2165201900299999e-02,9.5105651629514776e-01,-9.1889131439484772e-01,9.1889131439484772e-01
0,4,5.0000000000000003e-02,4.5000000000000001e-01,-1.6798275986800001e-02,-1.9907319273146961e-14,-1.6798275986780093e-02,1.6798275986780093e-02
1,4,1.4999999999999999e-01,4.5000000000000001e-01,-3.6677464016200000e-02,-5.8778525229248924e-01,5.5110778827628926e-01,5.5110778827628926e-01
2,4,2.5000000000000000e-01,4.5000000000000001e-01,-4.2547107412500000e-02,-9.5105651629515975e-01,9.0850940888265974e-01,9.0850940888265974e-01
3,4,3.4999999999999998e-01,4.5000000000000001e-01,-3.2165201900299999e-02,-9.5105651629514742e-01,9.1889131439484739e-01,9.1889131439484739e-01
