cell,x,y,z,volume,initial,numerical,exact,error,absError
0,1.6666666666600001e-02,1.6666666666700001e-02,5.0000000000000003e-02,1.2500000000000000e-04,2.0791169081755451e-01,1.0535357403999999e-01,2.0791169081755420e-01,-1.0255811677755421e-01,1.0255811677755421e-01
1,3.3333333333299998e-02,3.3333333333499998e-02,5.0000000000000003e-02,1.2500000000000000e-04,4.0673664307656548e-01,2.8169506916400000e-01,4.0673664307656715e-01,-1.2504157391256715e-01,1.2504157391256715e-01
2,3.3333333333299998e-02,6.6666666666900007e-02,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525229348977e-01,5.1928783556299996e-01,5.8778525229348955e-01,-6.8497416730489591e-02,6.8497416730489591e-02
3,1.6666666666600001e-02,8.3333333333699994e-02,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525229399792e-01,5.1928783555900004e-01,5.8778525229399825e-01,-6.8497416734998207e-02,6.8497416734998207e-02
4,1.6666666666600001e-02,1.1666666666700000e-01,5.0000000000000003e-02,1.2500000000000000e-04,7.4314482547851535e-01,6.2559680614099999e-01,7.4314482547851501e-01,-1.1754801933751502e-01,1.1754801933751502e-01
5,3.3333333333299998e-02,1.3333333333399999e-01,5.0000000000000003e-02,1.2500000000000000e-04,8.6602540378642823e-01,7.5488888725199998e-01,8.6602540378642867e-01,-1.1113651653442869e-01,1.1113651653442869e-01
6,3.3333333333299998e-02,1.6666666666700000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629573607e-01,8.6697634777999999e-01,9.5105651629573607e-01,-8.4080168515736076e-02,8.4080168515736076e-02
7,1.6666666666700001e-02,1.8333333333400001e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629651267e-01,8.6697634777900001e-01,9.5105651629651289e-01,-8.4080168517512877e-02,8.4080168517512877e-02
8,1.6666666666700001e-02,2.1666666666800000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.9452189536917091e-01,9.0688332155399998e-01,9.9452189536917113e-01,-8.7638573815171150e-02,8.7638573815171150e-02
9,3.3333333333299998e-02,2.3333333333400000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.9452189536785740e-01,9.3974080814299998e-01,9.9452189536785751e-01,-5.4781087224857528e-02,5.4781087224857528e-02
