cell,x,y,z,volume,numerical,exact,error,absError
0,8.3333333333200001e-03,8.3333333333700001e-03,5.0000000000000003e-02,3.1250000000099998e-05,7.1648106108400000e-02,1.0452846326779941e-01,-3.2880357159399409e-02,3.2880357159399409e-02
1,1.6666666666600001e-02,1.6666666666700001e-02,5.0000000000000003e-02,3.1250000000099998e-05,1.6214715133400001e-01,2.0791169081755420e-01,-4.5764539483554190e-02,4.5764539483554190e-02
2,1.6666666666600001e-02,3.3333333333499998e-02,5.0000000000000003e-02,3.1250000000099998e-05,2.9993900702600002e-01,3.0901699437554592e-01,-9.0779873495459018e-03,9.0779873495459018e-03
3,8.3333333333200001e-03,4.1666666666800002e-02,5.0000000000000003e-02,3.1250000000099998e-05,2.9993900702400000e-01,3.0901699437566421e-01,-9.0779873516642073e-03,9.0779873516642073e-03
4,8.3333333333200001e-03,5.8333333333600003e-02,5.0000000000000003e-02,3.1250000000099998e-05,3.6547735186100000e-01,4.0673664307725521e-01,-4.1259291216255212e-02,4.1259291216255212e-02
5,1.6666666666600001e-02,6.6666666666900007e-02,5.0000000000000003e-02,3.1250000000099998e-05,4.4934514360500000e-01,5.0000000000090750e-01,-5.0654856395907499e-02,5.0654856395907499e-02
6,1.6666666666600001e-02,8.3333333333699994e-02,5.0000000000000003e-02,3.1250000000099998e-05,5.6828807965700001e-01,5.8778525229399825e-01,-1.9497172636998239e-02,1.9497172636998239e-02
7,8.3333333333200001e-03,9.1666666667000005e-02,5.0000000000000003e-02,3.1250000000099998e-05,5.6828807965499994e-01,5.8778525229410028e-01,-1.9497172639100335e-02,1.9497172639100335e-02
8,8.3333333333200001e-03,1.0833333333400000e-01,5.0000000000000003e-02,3.1250000000099998e-05,6.2353112798400001e-01,6.6913060636190835e-01,-4.5599478377908342e-02,4.5599478377908342e-02
9,1.6666666666600001e-02,1.1666666666700000e-01,5.0000000000000003e-02,3.1250000000099998e-05,6.9255810245000005e-01,7.4314482547851501e-01,-5.0586723028514968e-02,5.0586723028514968e-02
10,1.6666666666600001e-02,1.3333333333399999e-01,5.0000000000000003e-02,3.1250000000099998e-05,7.8100915555499995e-01,8.0901699437716335e-01,-2.8007838822163400e-02,2.8007838822163400e-02
11,8.3333333333300008e-03,1.4166666666700001e-01,5.0000000000000003e-02,3.1250000000099998e-05,7.8100915555399997e-01,8.0901699437616725e-01,-2.8007838822167286e-02,2.8007838822167286e-02
12,8.3333333333300008e-03,1.5833333333399999e-01,5.0000000000000003e-02,3.1250000000099998e-05,8.2054933290499998e-01,8.6602540378652282e-01,-4.5476070881522834e-02,4.5476070881522834e-02
13,1.6666666666700001e-02,1.6666666666700000e-01,5.0000000000000003e-02,3.1250000000099998e-05,8.6797864889200005e-01,9.1354545764353789e-01,-4.5566808751537846e-02,4.5566808751537846e-02
14,1.6666666666700001e-02,1.8333333333400001e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.1727961369900002e-01,9.5105651629651289e-01,-3.3776902597512870e-02,3.3776902597512870e-02
15,8.3333333333300008e-03,1.9166666666700000e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.1727961369800004e-01,9.5105651629579435e-01,-3.3776902597794312e-02,3.3776902597794312e-02
16,8.3333333333300008e-03,2.0833333333400000e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.3724645201800005e-01,9.7814760073467233e-01,-4.0901148716672275e-02,4.0901148716672275e-02
17,1.6666666666700001e-02,2.1666666666800000e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.5843539761800001e-01,9.9452189536917113e-01,-3.6086497751171120e-02,3.6086497751171120e-02
18,1.6666666666700001e-02,2.3333333333400000e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.6376035219000000e-01,1.0000000000000000e+00,-3.6239647809999997e-02,3.6239647809999997e-02
19,8.3333333333300008e-03,2.4166666666799999e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.6376035219000000e-01,1.0000000000000000e+00,-3.6239647809999997e-02,3.6239647809999997e-02
20,8.3333333333300008e-03,2.5833333333399999e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.6219935822799996e-01,9.9452189536783764e-01,-3.2322537139837682e-02,3.2322537139837682e-02
21,1.6666666666700001e-02,2.6666666666799999e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.5507381181399997e-01,9.7814760073202001e-01,-2.3073788918020033e-02,2.3073788918020033e-02
22,1.6666666666700001e-02,2.8333333333400001e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.1590151249600005e-01,9.5105651629379373e-01,-3.5155003797793682e-02,3.5155003797793682e-02
23,8.3333333333300008e-03,2.9166666666800001e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.1590151249600005e-01,9.5105651629257126e-01,-3.5155003796571216e-02,3.5155003796571216e-02
24,8.3333333333300008e-03,3.0833333333500001e-01,5.0000000000000003e-02,3.1250000000099998e-05,8.9296548721600000e-01,9.1354545763834993e-01,-2.0579970422349936e-02,2.0579970422349936e-02
25,1.6666666666700001e-02,3.1666666666799997e-01,5.0000000000000003e-02,3.1250000000099998e-05,8.5822294691699996e-01,8.6602540378014525e-01,-7.8024568631452906e-03,7.8024568631452906e-03
26,1.6666666666700001e-02,3.3333333333499998e-01,5.0000000000000003e-02,3.1250000000099998e-05,7.7838785129700006e-01,8.0901699436866892e-01,-3.0629143071668863e-02,3.0629143071668863e-02
27,8.3333333333399998e-03,3.4166666666800000e-01,5.0000000000000003e-02,3.1250000000099998e-05,7.7838785129700006e-01,8.0901699436999908e-01,-3.0629143072999021e-02,3.0629143072999021e-02
28,8.3333333333399998e-03,3.5833333333500000e-01,5.0000000000000003e-02,3.1250000000099998e-05,7.3632193265900003e-01,7.4314482547035821e-01,-6.8228928113581722e-03,6.8228928113581722e-03
29,1.6666666666700001e-02,3.6666666666800002e-01,5.0000000000000003e-02,3.1250000000099998e-05,6.7736324038499995e-01,6.6913060635247701e-01,8.2326340325229452e-03,8.2326340325229452e-03
30,1.6666666666700001e-02,3.8333333333500003e-01,5.0000000000000003e-02,3.1250000000099998e-05,5.6468016386599995e-01,5.8778525228383149e-01,-2.3105088417831543e-02,2.3105088417831543e-02
31,8.3333333333399998e-03,3.9166666666799999e-01,5.0000000000000003e-02,3.1250000000099998e-05,5.6468016386700004e-01,5.8778525228566092e-01,-2.3105088418660880e-02,2.3105088418660880e-02
32,8.3333333333399998e-03,4.0833333333499999e-01,5.0000000000000003e-02,3.1250000000099998e-05,5.0760205707700001e-01,4.9999999999089356e-01,7.6020570861064507e-03,7.6020570861064507e-03
33,1.6666666666700001e-02,4.1666666666800001e-01,5.0000000000000003e-02,3.1250000000099998e-05,4.3019850041699997e-01,4.0673664306795426e-01,2.3461857349045712e-02,2.3461857349045712e-02
