cell,x,y,z,volume,initial,numerical,exact,error,absError
0,1.6666666666600001e-02,1.6666666666700001e-02,5.0000000000000003e-02,1.2500000000000000e-04,2.0791169081755451e-01,6.7574591525899994e-02,2.0791169081755420e-01,-1.4033709929165422e-01,1.4033709929165422e-01
1,3.3333333333299998e-02,3.3333333333499998e-02,5.0000000000000003e-02,1.2500000000000000e-04,4.0673664307656548e-01,1.0980584727700000e-01,4.0673664307656715e-01,-2.9693079579956716e-01,2.9693079579956716e-01
2,3.3333333333299998e-02,6.6666666666900007e-02,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525229348977e-01,1.8164856238200000e-01,5.8778525229348955e-01,-4.0613668991148955e-01,4.0613668991148955e-01
3,1.6666666666600001e-02,8.3333333333699994e-02,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525229399792e-01,1.8164856237999999e-01,5.8778525229399825e-01,-4.0613668991399826e-01,4.0613668991399826e-01
4,1.6666666666600001e-02,1.1666666666700000e-01,5.0000000000000003e-02,1.2500000000000000e-04,7.4314482547851535e-01,2.1347913491600001e-01,7.4314482547851501e-01,-5.2966569056251500e-01,5.2966569056251500e-01
5,3.3333333333299998e-02,1.3333333333399999e-01,5.0000000000000003e-02,1.2500000000000000e-04,8.6602540378642823e-01,2.4037364316199999e-01,8.6602540378642867e-01,-6.2565176062442873e-01,6.2565176062442873e-01
6,3.3333333333299998e-02,1.6666666666700000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629573607e-01,2.6972074622999997e-01,9.5105651629573607e-01,-6.8133577006573609e-01,6.8133577006573609e-01
7,1.6666666666700001e-02,1.8333333333400001e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629651267e-01,2.6972074622800002e-01,9.5105651629651289e-01,-6.8133577006851287e-01,6.8133577006851287e-01
8,1.6666666666700001e-02,2.1666666666800000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.9452189536917091e-01,2.7784190465800002e-01,9.9452189536917113e-01,-7.1667999071117117e-01,7.1667999071117117e-01
9,3.3333333333299998e-02,2.3333333333400000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.9452189536785740e-01,2.7912687736000003e-01,9.9452189536785751e-01,-7.1539501800785743e-01,7.1539501800785743e-01
10,3.3333333333299998e-02,2.6666666666799999e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629262955e-01,2.5476877248899998e-01,9.5105651629262900e-01,-6.9628774380362901e-01,6.9628774380362901e-01
11,1.6666666666700001e-02,2.8333333333400001e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629379440e-01,2.5476877248699997e-01,9.5105651629379373e-01,-6.9628774380679381e-01,6.9628774380679381e-01
12,1.6666666666700001e-02,3.1666666666799997e-01,5.0000000000000003e-02,1.2500000000000000e-04,8.6602540378014503e-01,2.3607851031800001e-01,8.6602540378014525e-01,-6.2994689346214527e-01,6.2994689346214527e-01
13,3.3333333333299998e-02,3.3333333333499998e-01,5.0000000000000003e-02,1.2500000000000000e-04,7.4314482547052729e-01,2.1126313157800000e-01,7.4314482547052696e-01,-5.3188169389252693e-01,5.3188169389252693e-01
