cell,x,y,z,volume,numerical,exact,error,absError
0,8.3333333333200001e-03,8.3333333333700001e-03,5.0000000000000003e-02,3.1250000000099998e-05,5.8000196400099999e-02,1.0452846326779941e-01,-4.6528266867699411e-02,4.6528266867699411e-02
1,1.6666666666600001e-02,1.6666666666700001e-02,5.0000000000000003e-02,3.1250000000099998e-05,9.9105682801000003e-02,2.0791169081755420e-01,-1.0880600801655420e-01,1.0880600801655420e-01
2,1.6666666666600001e-02,3.3333333333499998e-02,5.0000000000000003e-02,3.1250000000099998e-05,1.7838155598399999e-01,3.0901699437554592e-01,-1.3063543839154593e-01,1.3063543839154593e-01
3,8.3333333333200001e-03,4.1666666666800002e-02,5.0000000000000003e-02,3.1250000000099998e-05,1.7838155598200001e-01,3.0901699437566421e-01,-1.3063543839366420e-01,1.3063543839366420e-01
4,8.3333333333200001e-03,5.8333333333600003e-02,5.0000000000000003e-02,3.1250000000099998e-05,2.1703822341900000e-01,4.0673664307725521e-01,-1.8969841965825521e-01,1.8969841965825521e-01
5,1.6666666666600001e-02,6.6666666666900007e-02,5.0000000000000003e-02,3.1250000000099998e-05,2.5447143448999998e-01,5.0000000000090750e-01,-2.4552856551090751e-01,2.4552856551090751e-01
6,1.6666666666600001e-02,8.3333333333699994e-02,5.0000000000000003e-02,3.1250000000099998e-05,3.2263843034299999e-01,5.8778525229399825e-01,-2.6514682195099826e-01,2.6514682195099826e-01
7,8.3333333333200001e-03,9.1666666667000005e-02,5.0000000000000003e-02,3.1250000000099998e-05,3.2263843034099998e-01,5.8778525229410028e-01,-2.6514682195310030e-01,2.6514682195310030e-01
8,8.3333333333200001e-03,1.0833333333400000e-01,5.0000000000000003e-02,3.1250000000099998e-05,3.5483103693599999e-01,6.6913060636190835e-01,-3.1429956942590836e-01,3.1429956942590836e-01
9,1.6666666666600001e-02,1.1666666666700000e-01,5.0000000000000003e-02,3.1250000000099998e-05,3.8492774916500000e-01,7.4314482547851501e-01,-3.5821707631351501e-01,3.5821707631351501e-01
