i,j,x,y,initial,numerical,change,absChange
0,0,1.0000000000000000e-02,1.0000000000000000e-02,0.0000000000000000e+00,7.3863399832099996e-06,7.3863399832099996e-06,7.3863399832099996e-06
1,0,2.9999999999999999e-02,1.0000000000000000e-02,0.0000000000000000e+00,5.6308663891400002e-05,5.6308663891400002e-05,5.6308663891400002e-05
2,0,5.0000000000000003e-02,1.0000000000000000e-02,0.0000000000000000e+00,2.3137868695100001e-04,2.3137868695100001e-04,2.3137868695100001e-04
3,0,7.0000000000000007e-02,1.0000000000000000e-02,0.0000000000000000e+00,6.8186291446099996e-04,6.8186291446099996e-04,6.8186291446099996e-04
4,0,8.9999999999999997e-02,1.0000000000000000e-02,0.0000000000000000e+00,1.6177676529400000e-03,1.6177676529400000e-03,1.6177676529400000e-03
5,0,1.1000000000000000e-01,1.0000000000000000e-02,0.0000000000000000e+00,3.2889229214300001e-03,3.2889229214300001e-03,3.2889229214300001e-03
6,0,1.3000000000000000e-01,1.0000000000000000e-02,0.0000000000000000e+00,5.9546593285499999e-03,5.9546593285499999e-03,5.9546593285499999e-03
7,0,1.4999999999999999e-01,1.0000000000000000e-02,0.0000000000000000e+00,9.8526216199199997e-03,9.8526216199199997e-03,9.8526216199199997e-03
8,0,1.7000000000000001e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.5172557742900000e-02,1.5172557742900000e-02,1.5172557742900000e-02
9,0,1.9000000000000000e-01,1.0000000000000000e-02,0.0000000000000000e+00,2.2037372885399999e-02,2.2037372885399999e-02,2.2037372885399999e-02
10,0,2.0999999999999999e-01,1.0000000000000000e-02,0.0000000000000000e+00,3.0491144504099999e-02,3.0491144504099999e-02,3.0491144504099999e-02
11,0,2.3000000000000001e-01,1.0000000000000000e-02,0.0000000000000000e+00,4.0492664078100003e-02,4.0492664078100003e-02,4.0492664078100003e-02
12,0,2.5000000000000000e-01,1.0000000000000000e-02,0.0000000000000000e+00,5.1913106524200003e-02,5.1913106524200003e-02,5.1913106524200003e-02
13,0,2.7000000000000002e-01,1.0000000000000000e-02,0.0000000000000000e+00,6.4537066772200002e-02,6.4537066772200002e-02,6.4537066772200002e-02
14,0,2.8999999999999998e-01,1.0000000000000000e-02,0.0000000000000000e+00,7.8066942185299998e-02,7.8066942185299998e-02,7.8066942185299998e-02
15,0,3.1000000000000000e-01,1.0000000000000000e-02,0.0000000000000000e+00,9.2131152827500007e-02,9.2131152827500007e-02,9.2131152827500007e-02
16,0,3.3000000000000002e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.0629682970700000e-01,1.0629682970700000e-01,1.0629682970700000e-01
17,0,3.4999999999999998e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.2008735182600000e-01,1.2008735182600000e-01,1.2008735182600000e-01
18,0,3.7000000000000000e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.3300455749000001e-01,1.3300455749000001e-01,1.3300455749000001e-01
19,0,3.9000000000000001e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.4455473194800000e-01,1.4455473194800000e-01,1.4455473194800000e-01
20,0,4.0999999999999998e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.5427674520300000e-01,1.5427674520300000e-01,1.5427674520300000e-01
21,0,4.2999999999999999e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.6177013914100000e-01,1.6177013914100000e-01,1.6177013914100000e-01
22,0,4.5000000000000001e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.6672066775800001e-01,1.6672066775800001e-01,1.6672066775800001e-01
23,0,4.6999999999999997e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.6892084923600001e-01,1.6892084923600001e-01,1.6892084923600001e-01
24,0,4.8999999999999999e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.6828349763500000e-01,1.6828349763500000e-01,1.6828349763500000e-01
