cell,x,y,z,volume,initial,numerical,change,absChange
0,3.3333333333299998e-03,3.3333333333499999e-03,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1,6.6666666666499999e-03,6.6666666666900000e-03,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,1.4347615328500000e-17,1.4347615328500000e-17,1.4347615328500000e-17
2,6.6666666666499999e-03,1.3333333333400000e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,1.3561426065500000e-17,1.3561426065500000e-17,1.3561426065500000e-17
3,3.3333333333299998e-03,1.6666666666700001e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,1.3204625896800000e-17,1.3204625896800000e-17,1.3204625896800000e-17
4,3.3333333333299998e-03,2.3333333333400000e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.5388628879299999e-17,2.5388628879299999e-17,2.5388628879299999e-17
5,6.6666666666599997e-03,2.6666666666799999e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,5.9968068890699997e-16,5.9968068890699997e-16,5.9968068890699997e-16
6,6.6666666666599997e-03,3.3333333333499998e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,5.7228104048999998e-16,5.7228104048999998e-16,5.7228104048999998e-16
7,3.3333333333299998e-03,3.6666666666799998e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,5.6003253750400001e-16,5.6003253750400001e-16,5.6003253750400001e-16
8,3.3333333333299998e-03,4.3333333333500000e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,1.0605891365500000e-15,1.0605891365500000e-15,1.0605891365500000e-15
9,6.6666666666599997e-03,4.6666666666900003e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,1.2686074173400001e-14,1.2686074173400001e-14,1.2686074173400001e-14
10,6.6666666666599997e-03,5.3333333333599998e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,1.2281775980999999e-14,1.2281775980999999e-14,1.2281775980999999e-14
11,3.3333333333299998e-03,5.6666666666899998e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,1.2112138374900000e-14,1.2112138374900000e-14,1.2112138374900000e-14
12,3.3333333333299998e-03,6.3333333333600000e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.2644205161800000e-14,2.2644205161800000e-14,2.2644205161800000e-14
13,6.6666666666599997e-03,6.6666666666900007e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,1.8371317486400000e-13,1.8371317486400000e-13,1.8371317486400000e-13
14,6.6666666666599997e-03,7.3333333333599995e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,1.8118260113400000e-13,1.8118260113400000e-13,1.8118260113400000e-13
15,3.3333333333299998e-03,7.6666666667000005e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,1.8047914494600001e-13,1.8047914494600001e-13,1.8047914494600001e-13
16,3.3333333333299998e-03,8.3333333333699994e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,3.3364972717400002e-13,3.3364972717400002e-13,3.3364972717400002e-13
17,6.6666666666599997e-03,8.6666666667000000e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.0711648999300001e-12,2.0711648999300001e-12,2.0711648999300001e-12
18,6.6666666666599997e-03,9.3333333333700003e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.0845758959000002e-12,2.0845758959000002e-12,2.0845758959000002e-12
19,3.3333333333299998e-03,9.6666666667099999e-02,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.0994125318300001e-12,2.0994125318300001e-12,2.0994125318300001e-12
20,3.3333333333299998e-03,1.0333333333399999e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,3.8385869814900001e-12,3.8385869814900001e-12,3.8385869814900001e-12
21,6.6666666666599997e-03,1.0666666666700000e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,1.9439972867800001e-11,1.9439972867800001e-11,1.9439972867800001e-11
22,6.6666666666599997e-03,1.1333333333400000e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,1.9938551805799999e-11,1.9938551805799999e-11,1.9938551805799999e-11
23,3.3333333333299998e-03,1.1666666666700000e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.0286263416100001e-11,2.0286263416100001e-11,2.0286263416100001e-11
24,3.3333333333299998e-03,1.2333333333400000e-01,5.0000000000000003e-02,5.0000000000199997e-06,0.0000000000000000e+00,3.6627256458900003e-11,3.6627256458900003e-11,3.6627256458900003e-11
25,6.6666666666599997e-03,1.2666666666699999e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,1.5710774604799999e-10,1.5710774604799999e-10,1.5710774604799999e-10
