cell,x,y,numerical,exact,error,absError
0,-4.5000000000000000e+00,-4.5000000000000000e+00,2.1079679035500001e-09,2.4497593157656187e-16,2.1079676585740685e-09,2.1079676585740685e-09
1,-3.5000000000000000e+00,-4.5000000000000000e+00,4.2412144436500002e-08,6.0436557861081649e-13,4.2411540070921389e-08,4.2411540070921389e-08
2,-2.5000000000000000e+00,-4.5000000000000000e+00,6.6584145240400005e-07,1.3856483197020840e-10,6.6570288757202986e-07,6.6570288757202986e-07
3,-1.5000000000000000e+00,-4.5000000000000000e+00,7.0581822264600000e-06,3.3582151755495156e-09,7.0548240112844503e-06,7.0548240112844503e-06
4,-5.0000000000000000e-01,-4.5000000000000000e+00,3.9768743052499998e-05,1.2154322367947674e-08,3.9756588730132052e-05,3.9756588730132052e-05
5,5.0000000000000000e-01,-4.5000000000000000e+00,3.9768743052499998e-05,1.2154322367947674e-08,3.9756588730132052e-05,3.9756588730132052e-05
6,1.5000000000000000e+00,-4.5000000000000000e+00,7.0581822264600000e-06,3.3582151755495156e-09,7.0548240112844503e-06,7.0548240112844503e-06
7,2.5000000000000000e+00,-4.5000000000000000e+00,6.6584145240400005e-07,1.3856483197020840e-10,6.6570288757202986e-07,6.6570288757202986e-07
8,3.5000000000000000e+00,-4.5000000000000000e+00,4.2412144436500002e-08,6.0436557861081649e-13,4.2411540070921389e-08,4.2411540070921389e-08
9,4.5000000000000000e+00,-4.5000000000000000e+00,2.1079679035500001e-09,2.4497593157656187e-16,2.1079676585740685e-09,2.1079676585740685e-09
10,-4.5000000000000000e+00,-3.5000000000000000e+00,4.2412144436500002e-08,6.0436557861081649e-13,4.2411540070921389e-08,4.2411540070921389e-08
11,-3.5000000000000000e+00,-3.5000000000000000e+00,8.4871704611200001e-07,1.4909944428374741e-09,8.4722605166916256e-07,8.4722605166916256e-07
12,-2.5000000000000000e+00,-3.5000000000000000e+00,1.3255726933900000e-05,3.4184507151313057e-07,1.2913881862386869e-05,1.2913881862386869e-05
13,-1.5000000000000000e+00,-3.5000000000000000e+00,1.3981071808800001e-04,8.2848533103191979e-06,1.3152586477768082e-04,1.3152586477768082e-04
14,-5.0000000000000000e-01,-3.5000000000000000e+00,7.8408772777500003e-04,2.9985207213025176e-05,7.5410252056197480e-04,7.5410252056197480e-04
15,5.0000000000000000e-01,-3.5000000000000000e+00,7.8408772777500003e-04,2.9985207213025176e-05,7.5410252056197480e-04,7.5410252056197480e-04
16,1.5000000000000000e+00,-3.5000000000000000e+00,1.3981071808800001e-04,8.2848533103191979e-06,1.3152586477768082e-04,1.3152586477768082e-04
17,2.5000000000000000e+00,-3.5000000000000000e+00,1.3255726933900000e-05,3.4184507151313057e-07,1.2913881862386869e-05,1.2913881862386869e-05
18,3.5000000000000000e+00,-3.5000000000000000e+00,8.4871704611200001e-07,1.4909944428374741e-09,8.4722605166916256e-07,8.4722605166916256e-07
19,4.5000000000000000e+00,-3.5000000000000000e+00,4.2412144436500002e-08,6.0436557861081649e-13,4.2411540070921389e-08,4.2411540070921389e-08
20,-4.5000000000000000e+00,-2.5000000000000000e+00,6.6584145240400005e-07,1.3856483197020840e-10,6.6570288757202986e-07,6.6570288757202986e-07
21,-3.5000000000000000e+00,-2.5000000000000000e+00,1.3255726933900000e-05,3.4184507151313057e-07,1.2913881862386869e-05,1.2913881862386869e-05
22,-2.5000000000000000e+00,-2.5000000000000000e+00,2.0602180791700001e-04,7.8375914463790831e-05,1.2764589345320916e-04,1.2764589345320916e-04
23,-1.5000000000000000e+00,-2.5000000000000000e+00,2.1625788803099999e-03,1.8994948545563287e-03,2.6308402575367113e-04,2.6308402575367113e-04
24,-5.0000000000000000e-01,-2.5000000000000000e+00,1.2074566775900001e-02,6.8748044993149340e-03,5.1997622765850666e-03,5.1997622765850666e-03
