time,step,deltaT,maxCo,residualIntegral,minT,maxT,amplitude
0.001,1.0,0.001,0.45,,0.0,0.998,0.998
0.002,2.0,0.001,0.45,,0.0,0.996006,0.996006
0.003,3.0,0.001,0.45,,-2.22044604925e-25,0.994017978,0.994017978
0.004,4.0,0.001,0.45,,-5.55111512313e-28,0.992035912092,0.992035912092
0.005,5.0,0.001,0.45,,-8.60422844084e-31,0.99005978046,0.99005978046
0.006,6.0,0.001,0.45,,-6.10622663544e-34,0.988089561377,0.988089561377
0.007,7.0,0.001,0.45,,-7.77156117238e-36,0.986125233211,0.986125233211
0.008,8.0,0.001,0.45,,6.99999999999e-23,0.984166774416,0.984166774416
0.009000000000000001,9.0,0.001,0.45,,6.27984e-22,0.982214163539,0.982214163539
0.01,10.0,0.001,0.45,,3.129874188e-21,0.980267379214,0.980267379214
0.011,11.0,0.001,0.45,,1.14394956208e-20,0.978326400165,0.978326400165
0.012,12.0,0.001,0.45,,3.42087310464e-20,0.976391205206,0.976391205206
0.013000000000000001,13.0,0.001,0.45,,8.86583029501e-20,0.974461773238,0.974461773238
0.014,14.0,0.001,0.45,,2.06208027856e-19,0.972538083249,0.972538083249
0.015,15.0,0.001,0.45,,4.40461978386e-19,0.970620114317,0.970620114317
0.016,16.0,0.001,0.45,,8.78108793143e-19,0.968707845605,0.968707845605
0.017,17.0,0.001,0.45,,1.65335042432e-18,0.966801256362,0.966801256362
0.018000000000000002,18.0,0.001,0.45,,2.96652393876e-18,0.964900325926,0.964900325926
0.019,19.0,0.001,0.45,,5.10763062036e-18,0.963005033718,0.963005033718
0.02,20.0,0.001,0.45,,8.48553459019e-18,0.961115359247,0.961115359247
0.021,21.0,0.001,0.45,,1.3663639495e-17,0.959231282105,0.959231282105
0.022,22.0,0.001,0.45,,2.14028965438e-17,0.95735278197,0.95735278197
0.023,23.0,0.001,0.45,,3.27130403259e-17,0.955479838603,0.955479838603
0.024,24.0,0.001,0.45,,4.89129904471e-17,0.95361243185,0.95361243185
0.025,25.0,0.001,0.45,,7.17013971081e-17,0.951750541641,0.9517505416409999
0.026000000000000002,26.0,0.001,0.45,,1.0323834734e-16,0.949894147987,0.9498941479869999
0.027,27.0,0.001,0.45,,1.46239285742e-16,0.948043230985,0.9480432309849999
0.028,28.0,0.001,0.45,,2.04082239247e-16,0.94619777081,0.9461977708099998
0.029,29.0,0.001,0.45,,2.80929469738e-16,0.944357747724,0.9443577477239997
0.03,30.0,0.001,0.45,,3.81864711204e-16,0.942523142067,0.9425231420669997
0.031,31.0,0.001,0.45,,5.13047179681e-16,0.940693934261,0.9406939342609995
0.032,32.0,0.001,0.45,,6.818835744e-16,0.93887010481,0.9388701048099993
0.033,33.0,0.001,0.45,,8.9721931747e-16,0.937051634298,0.9370516342979991
0.034,34.0,0.001,0.45,,1.16955030702e-15,0.935238503388,0.9352385033879987
0.035,35.0,0.001,0.45,,1.51125648508e-15,0.933430692824,0.9334306928239985
0.036000000000000004,36.0,0.001,0.45,,1.93685854652e-15,0.93162818343,0.9316281834299981
0.037,37.0,0.001,0.45,,2.46329913943e-15,0.929830956108,0.9298309561079976
0.038,38.0,0.001,0.45,,3.11024992978e-15,0.928038991839,0.9280389918389969
0.039,39.0,0.001,0.45,,3.90044592502e-15,0.926252271681,0.9262522716809961
0.04,40.0,0.001,0.45,,4.86004847141e-15,0.924470776773,0.9244707767729952
0.041,41.0,0.001,0.45,,6.01903835935e-15,0.922694488329,0.922694488328994
0.042,42.0,0.001,0.45,,7.41164048903e-15,0.920923387642,0.9209233876419926
0.043000000000000003,43.0,0.001,0.45,,9.07678156598e-15,0.91915745608,0.9191574560799909
0.044,44.0,0.001,0.45,,1.10585823118e-14,0.917396675089,0.9173966750889889
0.045,45.0,0.001,0.45,,1.3406885691e-14,0.915641026192,0.9156410261919866
0.046,46.0,0.001,0.45,,1.6177822668e-14,0.913890490985,0.9138904909849838
0.047,47.0,0.001,0.45,,1.94344170219e-14,0.912145051143,0.9121450511429806
0.048,48.0,0.001,0.45,,2.32472307594e-14,0.910404688414,0.9104046884139768
0.049,49.0,0.001,0.45,,2.76950516752e-14,0.908669384622,0.9086693846219723
0.05,50.0,0.001,0.45,,3.28656246217e-14,0.906939121664,0.9069391216639672
0.051000000000000004,51.0,0.001,0.45,,3.88564280573e-14,0.905213881512,0.9052138815119611
0.052000000000000005,52.0,0.001,0.45,,4.57754974525e-14,0.903493646212,0.9034936462119543
0.053,53.0,0.001,0.45,,5.37422971392e-14,0.901778397885,0.9017783978849463
0.054,54.0,0.001,0.45,,6.2888642195e-14,0.900068118722,0.9000681187219371
0.055,55.0,0.001,0.45,,7.33596719624e-14,0.898362790989,0.8983627909889266
0.056,56.0,0.001,0.45,,8.53148768041e-14,0.896662397024,0.8966623970239147
0.057,57.0,0.001,0.45,,9.89291797031e-14,0.894966919238,0.8949669192379011
0.058,58.0,0.001,0.45,,1.14394074318e-13,0.893276340112,0.8932763401118856
0.059000000000000004,59.0,0.001,0.45,,1.31918821108e-13,0.8915906422,0.891590642199868
0.06,60.0,0.001,0.45,,1.51731703138e-13,0.889909808126,0.8899098081258482
0.061,61.0,0.001,0.45,,1.74081343186e-13,0.888233820588,0.888233820587826
0.062,62.0,0.001,0.45,,1.99238083768e-13,0.88656266235,0.8865626623498007
0.063,63.0,0.001,0.45,,2.27495431693e-13,0.884896316249,0.8848963162487725
0.064,64.0,0.001,0.45,,2.59171568771e-13,0.883234765192,0.8832347651917408
0.065,65.0,0.001,0.45,,2.94610930275e-13,0.881577992155,0.8815779921547053
0.066,66.0,0.001,0.45,,3.34185852783e-13,0.879925980184,0.8799259801836659
0.067,67.0,0.001,0.45,,3.78298293002e-13,0.878278712392,0.8782787123916217
0.068,68.0,0.001,0.45,,4.27381619176e-13,0.876636171963,0.8766361719625726
0.069,69.0,0.001,0.45,,4.81902476681e-13,0.874998342149,0.874998342148518
