cell,x,y,initial,numerical,exact,error,absError
0,-4.9375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.7017704821200000e-19,5.7433623041679123e-20,1.1274342517032088e-19,1.1274342517032088e-19
1,-4.8125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,4.5090802543299999e-19,1.9880044599980228e-19,2.5210757943319771e-19,2.5210757943319771e-19
2,-4.6875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.4279469728700001e-18,6.6238073291808318e-19,7.6556623995191687e-19,7.6556623995191687e-19
3,-4.5625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,4.4750510503899997e-18,2.1245220795087142e-18,2.3505289708812855e-18,2.3505289708812855e-18
4,-4.4375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.3618606052499999e-17,6.5600050391382411e-18,7.0586010133617582e-18,7.0586010133617582e-18
5,-4.3125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,4.0167084182400001e-17,1.9501363168411574e-17,2.0665721013988427e-17,2.0665721013988427e-17
6,-4.1875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.1476155689999999e-16,5.5818063994661430e-17,5.8943492905338564e-17,5.8943492905338564e-17
7,-4.0625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,3.1750384745799999e-16,1.5383942274976264e-16,1.6366442470823735e-16,1.6366442470823735e-16
8,-3.9375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,8.5029557674000000e-16,4.0830148538917686e-16,4.4199409135082314e-16,4.4199409135082314e-16
9,-3.8125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,2.2034423304199999e-15,1.0436522461760773e-15,1.1597900842439226e-15,1.1597900842439226e-15
10,-3.6875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,5.5231627252799998e-15,2.5694340662865853e-15,2.9537286589934145e-15,2.9537286589934145e-15
11,-3.5625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.3386713792500000e-14,6.0936285353098691e-15,7.2930852571901307e-15,7.2930852571901307e-15
12,-3.4375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,3.1362378030999999e-14,1.3922803738571333e-14,1.7439574292428668e-14,1.7439574292428668e-14
13,-3.3125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,7.0998049234600005e-14,3.0651459228811942e-14,4.0346590005788063e-14,4.0346590005788063e-14
14,-3.1875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.5525519460200001e-13,6.5030606000081972e-14,9.0224588601918037e-14,9.0224588601918037e-14
15,-3.0625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,3.2785078981000002e-13,1.3298512199266617e-13,1.9486566781733385e-13,1.9486566781733385e-13
16,-2.9375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,6.6836726638399995e-13,2.6217570363381528e-13,4.0619156275018468e-13,4.0619156275018468e-13
17,-2.8125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.3150865625300001e-12,4.9840447551013662e-13,8.1668208701986346e-13,8.1668208701986346e-13
18,-2.6875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,2.4968987437499999e-12,9.1385969302289848e-13,1.5830390507271014e-12,1.5830390507271014e-12
19,-2.5625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,4.5738429398900002e-12,1.6166166572405132e-12,2.9572262826494870e-12,2.9572262826494870e-12
20,-2.4375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,8.0824769493399999e-12,2.7599570766809520e-12,5.3225198726590479e-12,5.3225198726590479e-12
21,-2.3125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.3777390231000000e-11,4.5490594996166984e-12,9.2283307313833012e-12,9.2283307313833012e-12
22,-2.1875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,2.2654633833100001e-11,7.2417324641101017e-12,1.5412901368989900e-11,1.5412901368989900e-11
23,-2.0625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,3.5938546751800000e-11,1.1139534456097351e-11,2.4799012295702651e-11,2.4799012295702651e-11
24,-1.9375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,5.5013161346100002e-11,1.6566308544882612e-11,3.8446852801217390e-11,3.8446852801217390e-11
25,-1.8125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,8.1285802154000006e-11,2.3833151986013430e-11,5.7452650167986576e-11,5.7452650167986576e-11
26,-1.6875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.1598490812800000e-10,3.3192055288828943e-11,8.2792852839171059e-11,8.2792852839171059e-11
27,-1.5625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.5991475476500001e-10,4.4784261602205888e-11,1.1513049316279412e-10,1.1513049316279412e-10
28,-1.4375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,2.1321116561000000e-10,5.8592704838952606e-11,1.5461846077104741e-10,1.5461846077104741e-10
29,-1.3125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,2.7515630818000000e-10,7.4409373760164467e-11,2.0074693441983553e-10,2.0074693441983553e-10
30,-1.1875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,3.4410929781800001e-10,9.1827100182246941e-11,2.5228219763575306e-10,2.5228219763575306e-10
31,-1.0625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,4.1758872942000001e-10,1.1026086342031393e-10,3.0732786599968609e-10,3.0732786599968609e-10
32,-9.3750000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,4.9250670285099996e-10,1.2899710635429990e-10,3.6350959649670006e-10,3.6350959649670006e-10
33,-8.1250000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,5.6551201047099995e-10,1.4726259520681273e-10,4.1824941526418723e-10,4.1824941526418723e-10
34,-6.8750000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,6.3336744409600000e-10,1.6429924509774689e-10,4.6906819899825311e-10,4.6906819899825311e-10
35,-5.6250000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,6.9327527509400003e-10,1.7942988424891814e-10,5.1384539084508192e-10,5.1384539084508192e-10
36,-4.3750000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,7.4308101844999999e-10,1.9210281180615261e-10,5.5097820664384741e-10,5.5097820664384741e-10
37,-3.1250000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,7.8132378880800004e-10,2.0190942694975487e-10,5.7941436185824517e-10,5.7941436185824517e-10
38,-1.8750000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,8.0714889630599999e-10,2.0857714675320788e-10,5.9857174955279211e-10,5.9857174955279211e-10
39,-6.2500000000000000e-02,-4.9375000000000000e+00,0.0000000000000000e+00,8.2013877460000001e-10,2.1194672553175594e-10,6.0819204906824409e-10,6.0819204906824409e-10
40,6.2500000000000000e-02,-4.9375000000000000e+00,0.0000000000000000e+00,8.2013877460000001e-10,2.1194672553175594e-10,6.0819204906824409e-10,6.0819204906824409e-10
41,1.8750000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,8.0714889630599999e-10,2.0857714675320788e-10,5.9857174955279211e-10,5.9857174955279211e-10
42,3.1250000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,7.8132378880800004e-10,2.0190942694975487e-10,5.7941436185824517e-10,5.7941436185824517e-10
43,4.3750000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,7.4308101844999999e-10,1.9210281180615261e-10,5.5097820664384741e-10,5.5097820664384741e-10
44,5.6250000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,6.9327527509400003e-10,1.7942988424891814e-10,5.1384539084508192e-10,5.1384539084508192e-10
45,6.8750000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,6.3336744409600000e-10,1.6429924509774689e-10,4.6906819899825311e-10,4.6906819899825311e-10
46,8.1250000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,5.6551201047099995e-10,1.4726259520681273e-10,4.1824941526418723e-10,4.1824941526418723e-10
47,9.3750000000000000e-01,-4.9375000000000000e+00,0.0000000000000000e+00,4.9250670285099996e-10,1.2899710635429990e-10,3.6350959649670006e-10,3.6350959649670006e-10
48,1.0625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,4.1758872942000001e-10,1.1026086342031393e-10,3.0732786599968609e-10,3.0732786599968609e-10
49,1.1875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,3.4410929781800001e-10,9.1827100182246941e-11,2.5228219763575306e-10,2.5228219763575306e-10
50,1.3125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,2.7515630818000000e-10,7.4409373760164467e-11,2.0074693441983553e-10,2.0074693441983553e-10
51,1.4375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,2.1321116561000000e-10,5.8592704838952606e-11,1.5461846077104741e-10,1.5461846077104741e-10
52,1.5625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.5991475476500001e-10,4.4784261602205888e-11,1.1513049316279412e-10,1.1513049316279412e-10
53,1.6875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.1598490812800000e-10,3.3192055288828943e-11,8.2792852839171059e-11,8.2792852839171059e-11
54,1.8125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,8.1285802154000006e-11,2.3833151986013430e-11,5.7452650167986576e-11,5.7452650167986576e-11
55,1.9375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,5.5013161346100002e-11,1.6566308544882612e-11,3.8446852801217390e-11,3.8446852801217390e-11
56,2.0625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,3.5938546751800000e-11,1.1139534456097351e-11,2.4799012295702651e-11,2.4799012295702651e-11
57,2.1875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,2.2654633833100001e-11,7.2417324641101017e-12,1.5412901368989900e-11,1.5412901368989900e-11
58,2.3125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.3777390231000000e-11,4.5490594996166984e-12,9.2283307313833012e-12,9.2283307313833012e-12
