cell,x,y,z,volume,initial,numerical,exact,error,absError
0,-4.6666666666700003e+00,-4.6666666666700003e+00,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,1.1534401086100000e-10,1.1325631800793683e-17,1.1534399953536820e-10,1.1534399953536820e-10
1,-4.3333333333299997e+00,-4.3333333333299997e+00,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,1.1351487634000000e-09,4.6294571869610867e-15,1.1351441339428131e-09,1.1351441339428131e-09
2,-4.3333333333299997e+00,-3.6666666666699999e+00,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,1.1098262539399999e-08,8.4460256403720896e-13,1.1097417936835962e-08,1.1097417936835962e-08
3,-4.6666666666700003e+00,-3.3333333333300001e+00,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,3.0409486966499999e-09,3.7835161520731223e-13,3.0405703450347926e-09,3.0405703450347926e-09
4,-4.6666666666700003e+00,-2.6666666666599999e+00,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,3.5073159712399999e-08,1.4147942916022368e-11,3.5059011769483974e-08,3.5059011769483974e-08
5,-4.3333333333299997e+00,-2.3333333333300001e+00,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,2.9710478312399998e-07,1.1912070301995549e-09,2.9591357609380044e-07,2.9591357609380044e-07
6,-4.3333333333299997e+00,-1.6666666666600001e+00,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,1.6269094329900000e-06,9.9275874574640308e-09,1.6169818455325360e-06,1.6169818455325360e-06
7,-4.6666666666700003e+00,-1.3333333333299999e+00,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,2.7818496586600000e-07,1.0061352448935830e-09,2.7717883062110643e-07,2.7717883062110643e-07
8,-4.6666666666700003e+00,-6.6666666666200003e-01,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,1.0340489696500000e-06,2.3446960529540034e-09,1.0317042735970459e-06,1.0317042735970459e-06
9,-4.3333333333299997e+00,-3.3333333332800003e-01,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,7.0788813480999996e-06,5.6920470823129440e-08,7.0219608772768698e-06,7.0219608772768698e-06
10,-4.3333333333299997e+00,3.3333333333900000e-01,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,7.0788813480800004e-06,5.6920470822909734e-08,7.0219608772570907e-06,7.0219608772570907e-06
11,-4.6666666666700003e+00,6.6666666667300001e-01,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,1.0340489696500000e-06,2.3446960529344054e-09,1.0317042735970656e-06,1.0317042735970656e-06
12,-4.6666666666700003e+00,1.3333333333399999e+00,5.0000000000000003e-02,4.9999999999899999e-02,0.0000000000000000e+00,2.7818496585999999e-07,1.0061352448751309e-09,2.7717883061512484e-07,2.7717883061512484e-07
13,-4.3333333333299997e+00,1.6666666666700001e+00,5.0000000000000003e-02,4.9999999999899999e-02,0.0000000000000000e+00,1.6269094329600000e-06,9.9275874572178437e-09,1.6169818455027821e-06,1.6169818455027821e-06
14,-4.3333333333299997e+00,2.3333333333400001e+00,5.0000000000000003e-02,4.9999999999899999e-02,0.0000000000000000e+00,2.9710478311800002e-07,1.1912070301530413e-09,2.9591357608784696e-07,2.9591357608784696e-07
15,-4.6666666666700003e+00,2.6666666666699999e+00,5.0000000000000003e-02,4.9999999999899999e-02,0.0000000000000000e+00,3.5073159711699999e-08,1.4147942915363286e-11,3.5059011768784636e-08,3.5059011768784636e-08
