cell,x,y,z,volume,numerical,exact,error,absError
0,-4.9583333333299997e+00,-4.9583333333299997e+00,5.0000000000000003e-02,7.8125000000199996e-04,2.7167656673400002e-19,3.7687077996067056e-20,2.3398948873793296e-19,2.3398948873793296e-19
1,-4.9166666666700003e+00,-4.9166666666700003e+00,5.0000000000000003e-02,7.8125000000199996e-04,4.0890531120200002e-19,8.7341091634265641e-20,3.2156421956773438e-19,3.2156421956773438e-19
2,-4.9166666666700003e+00,-4.8333333333299997e+00,5.0000000000000003e-02,7.8125000000199996e-04,7.4897818527600002e-19,1.9985685366577148e-19,5.4912133161022854e-19,5.4912133161022854e-19
3,-4.9583333333299997e+00,-4.7916666666700003e+00,5.0000000000000003e-02,7.8125000000199996e-04,8.7395876427900007e-19,1.9733084752994106e-19,6.7662791674905901e-19,6.7662791674905901e-19
4,-4.9583333333299997e+00,-4.7083333333299997e+00,5.0000000000000003e-02,7.8125000000199996e-04,1.9711755441400001e-18,4.4020485098662868e-19,1.5309706931533714e-18,1.5309706931533714e-18
5,-4.9166666666700003e+00,-4.6666666666700003e+00,5.0000000000000003e-02,7.8125000000199996e-04,3.4512980597699999e-18,9.9458184425871864e-19,2.4567162155112812e-18,2.4567162155112812e-18
6,-4.9166666666700003e+00,-4.5833333333299997e+00,5.0000000000000003e-02,7.8125000000199996e-04,6.9160046995000003e-18,2.1630961731247448e-18,4.7529085263752555e-18,4.7529085263752555e-18
7,-4.9583333333299997e+00,-4.5416666666700003e+00,5.0000000000000003e-02,7.8125000000199996e-04,8.0157172718199998e-18,2.0822235815392051e-18,5.9334936902807947e-18,5.9334936902807947e-18
8,-4.9583333333299997e+00,-4.4583333333299997e+00,5.0000000000000003e-02,7.8125000000199996e-04,1.7523428954700001e-17,4.4152524318871217e-18,1.3108176522812880e-17,1.3108176522812880e-17
9,-4.9166666666700003e+00,-4.4166666666700003e+00,5.0000000000000003e-02,7.8125000000199996e-04,3.0074705292999998e-17,9.7260006036796647e-18,2.0348704689320333e-17,2.0348704689320333e-17
10,-4.9166666666700003e+00,-4.3333333333299997e+00,5.0000000000000003e-02,7.8125000000199996e-04,5.7847274016299995e-17,2.0108253141018439e-17,3.7739020875281556e-17,3.7739020875281556e-17
11,-4.9583333333299997e+00,-4.2916666666700003e+00,5.0000000000000003e-02,7.8125000000199996e-04,6.5208979860899999e-17,1.8872869840638770e-17,4.6336110020261229e-17,4.6336110020261229e-17
12,-4.9583333333299997e+00,-4.2083333333299997e+00,5.0000000000000003e-02,7.8125000000199996e-04,1.3597997577100001e-16,3.8046141534578603e-17,9.7933834236421404e-17,9.7933834236421404e-17
13,-4.9166666666700003e+00,-4.1666666666700003e+00,5.0000000000000003e-02,7.8125000000199996e-04,2.2840668942999998e-16,8.1718843872978532e-17,1.4668784555702146e-16,1.4668784555702146e-16
14,-4.9166666666700003e+00,-4.0833333333299997e+00,5.0000000000000003e-02,7.8125000000199996e-04,4.2106616689299999e-16,1.6063871422354289e-16,2.6042745266945712e-16,2.6042745266945712e-16
15,-4.9583333333299997e+00,-4.0416666666700003e+00,5.0000000000000003e-02,7.8125000000199996e-04,4.6182067556400000e-16,1.4701762262829024e-16,3.1480305293570977e-16,3.1480305293570977e-16
16,-4.9583333333299997e+00,-3.9583333333300001e+00,5.0000000000000003e-02,7.8125000000199996e-04,9.1786428383599995e-16,2.8182378359758859e-16,6.3604050023841140e-16,6.3604050023841140e-16
17,-4.9166666666700003e+00,-3.9166666666699999e+00,5.0000000000000003e-02,7.8125000000199996e-04,1.5092374187099999e-15,5.9029587792133386e-16,9.1894154078866607e-16,9.1894154078866607e-16
18,-4.9166666666700003e+00,-3.8333333333300001e+00,5.0000000000000003e-02,7.8125000000199996e-04,2.6657555259500001e-15,1.1035337522903564e-15,1.5622217736596437e-15,1.5622217736596437e-15
19,-4.9583333333299997e+00,-3.7916666666699999e+00,5.0000000000000003e-02,7.8125000000199996e-04,2.8463730904700002e-15,9.8494670554443705e-16,1.8614263849255629e-15,1.8614263849255629e-15
20,-4.9583333333299997e+00,-3.7083333333300001e+00,5.0000000000000003e-02,7.8125000000199996e-04,5.3884137527199999e-15,1.7958348897807895e-15,3.5925788629392104e-15,3.5925788629392104e-15
21,-4.9166666666700003e+00,-3.6666666666699999e+00,5.0000000000000003e-02,7.8125000000199996e-04,8.6753195711500006e-15,3.6685687922652328e-15,5.0067507788847678e-15,5.0067507788847678e-15
22,-4.9166666666700003e+00,-3.5833333333300001e+00,5.0000000000000003e-02,7.8125000000199996e-04,1.4677685371700000e-14,6.5241130715824633e-15,8.1535723001175364e-15,8.1535723001175364e-15
23,-4.9583333333299997e+00,-3.5416666666599999e+00,5.0000000000000003e-02,7.8125000000199996e-04,1.5266583263900000e-14,5.6796310774569587e-15,9.5869521864430401e-15,9.5869521864430401e-15
