time,step,deltaT,maxCo,residualIntegral,minT,maxT,amplitude
0.001,1.0,0.001,0.45,,4.35229148585e-22,0.988310439168,0.988310439168
0.002,2.0,0.001,0.45,,5.26927987744e-22,0.984433479956,0.984433479956
0.003,3.0,0.001,0.45,,6.36973490453e-22,0.98058670532,0.98058670532
0.004,4.0,0.001,0.45,,7.6884024459e-22,0.976769765426,0.976769765426
0.005,5.0,0.001,0.45,,9.26623378059e-22,0.972982315806,0.972982315806
0.006,6.0,0.001,0.45,,1.11514260265e-21,0.969224017254,0.969224017254
0.007,7.0,0.001,0.45,,1.34006254699e-21,0.96549453573,0.96549453573
0.008,8.0,0.001,0.45,,1.60803174389e-21,0.961793542256,0.961793542256
0.009000000000000001,9.0,0.001,0.45,,1.9268429535e-21,0.958120712829,0.958120712829
0.01,10.0,0.001,0.45,,2.30561785782e-21,0.95447572832,0.95447572832
0.011,11.0,0.001,0.45,,2.75501955879e-21,0.950858274388,0.950858274388
0.012,12.0,0.001,0.45,,3.28749675644e-21,0.947268041389,0.947268041389
0.013000000000000001,13.0,0.001,0.45,,3.91756397927e-21,0.943704724289,0.943704724289
0.014,14.0,0.001,0.45,,4.66212279273e-21,0.940168022579,0.940168022579
0.015,15.0,0.001,0.45,,5.54082952883e-21,0.936657640191,0.936657640191
0.016,16.0,0.001,0.45,,6.57651576695e-21,0.933173285418,0.933173285418
0.017,17.0,0.001,0.45,,7.7956685601e-21,0.929714670832,0.929714670832
0.018000000000000002,18.0,0.001,0.45,,9.22897825005e-21,0.92628151321,0.92628151321
0.019,19.0,0.001,0.45,,1.09119626567e-20,0.922873533454,0.922873533454
0.02,20.0,0.001,0.45,,1.28856774711e-20,0.919490456516,0.919490456516
0.021,21.0,0.001,0.45,,1.51975238392e-20,0.916132011329,0.916132011329
0.022,22.0,0.001,0.45,,1.79021654001e-20,0.912797930732,0.912797930732
0.023,23.0,0.001,0.45,,2.10625684579e-20,0.9094879514,0.9094879514
0.024,24.0,0.001,0.45,,2.47511805256e-20,0.906201813779,0.906201813779
0.025,25.0,0.001,0.45,,2.90512641977e-20,0.902939262016,0.902939262016
0.026000000000000002,26.0,0.001,0.45,,3.40584052051e-20,0.899700043894,0.899700043894
0.027,27.0,0.001,0.45,,3.98822155884e-20,0.896483910767,0.896483910767
0.028,28.0,0.001,0.45,,4.66482552171e-20,0.893290617502,0.893290617502
0.029,29.0,0.001,0.45,,5.45001974001e-20,0.890119922408,0.890119922408
0.03,30.0,0.001,0.45,,6.36022670901e-20,0.886971587187,0.886971587187
0.031,31.0,0.001,0.45,,7.41419832146e-20,0.883845376867,0.883845376867
0.032,32.0,0.001,0.45,,8.63332399735e-20,0.880741059747,0.880741059747
0.033,33.0,0.001,0.45,,1.00419765572e-19,0.87765840734,0.87765840734
0.034,34.0,0.001,0.45,,1.16679000817e-19,0.874597194318,0.874597194318
0.035,35.0,0.001,0.45,,1.35426444324e-19,0.87155719846,0.87155719846
0.036000000000000004,36.0,0.001,0.45,,1.57020515809e-19,0.868538200593,0.868538200593
0.037,37.0,0.001,0.45,,1.81867994078e-19,0.865539984546,0.865539984546
0.038,38.0,0.001,0.45,,2.10430091912e-19,0.862562337095,0.862562337095
0.039,39.0,0.001,0.45,,2.43229236166e-19,0.859605047915,0.859605047915
0.04,40.0,0.001,0.45,,2.80856627989e-19,0.856667909532,0.856667909532
0.041,41.0,0.001,0.45,,3.23980665284e-19,0.853750717271,0.853750717271
0.042,42.0,0.001,0.45,,3.73356317325e-19,0.850853269214,0.850853269214
0.043000000000000003,43.0,0.001,0.45,,4.29835549907e-19,0.847975366151,0.847975366151
0.044,44.0,0.001,0.45,,4.94378908561e-19,0.845116811534,0.845116811534
0.045,45.0,0.001,0.45,,5.68068377307e-19,0.842277411436,0.842277411436
0.046,46.0,0.001,0.45,,6.52121641126e-19,0.839456974506,0.839456974506
0.047,47.0,0.001,0.45,,7.4790789193e-19,0.836655311925,0.836655311925
0.048,48.0,0.001,0.45,,8.56965330332e-19,0.833872237365,0.833872237365
0.049,49.0,0.001,0.45,,9.81020529023e-19,0.831107566952,0.831107566952
0.05,50.0,0.001,0.45,,1.12200983811e-18,0.828361119219,0.828361119219
0.051000000000000004,51.0,0.001,0.45,,1.28210302847e-18,0.825632715074,0.825632715074
0.052000000000000005,52.0,0.001,0.45,,1.46372938605e-18,0.822922177756,0.822922177756
0.053,53.0,0.001,0.45,,1.66960648813e-18,0.820229332798,0.820229332798
0.054,54.0,0.001,0.45,,1.90277191232e-18,0.817554007994,0.817554007994
0.055,55.0,0.001,0.45,,2.16661814957e-18,0.814896033358,0.814896033358
0.056,56.0,0.001,0.45,,2.46493101549e-18,0.812255241091,0.812255241091
0.057,57.0,0.001,0.45,,2.801931878e-18,0.809631465545,0.809631465545
0.058,58.0,0.001,0.45,,3.18232404525e-18,0.807024543189,0.807024543189
0.059000000000000004,59.0,0.001,0.45,,3.61134368564e-18,0.804434312575,0.804434312575
0.06,60.0,0.001,0.45,,4.09481568108e-18,0.801860614306,0.801860614306
