cell,x,y,z,volume,numerical,exact,error,absError
0,-4.6666666666700003e+00,-4.6666666666700003e+00,5.0000000000000003e-02,5.0000000000099999e-02,2.5024145206800001e-09,1.7213665717126882e-11,2.4852008549628731e-09,2.4852008549628731e-09
1,-4.3333333333299997e+00,-4.3333333333299997e+00,5.0000000000000003e-02,5.0000000000099999e-02,2.1936251448199999e-08,4.8252702047443642e-10,2.1453724427725562e-08,2.1453724427725562e-08
2,-4.3333333333299997e+00,-3.6666666666699999e+00,5.0000000000000003e-02,5.0000000000099999e-02,1.5511525178100001e-07,9.3394242245385541e-09,1.4577582755646145e-07,1.4577582755646145e-07
3,-4.6666666666700003e+00,-3.3333333333300001e+00,5.0000000000000003e-02,5.0000000000099999e-02,5.9753516620000005e-08,6.4486721008023661e-09,5.3304844519197636e-08,5.3304844519197636e-08
4,-4.6666666666700003e+00,-2.6666666666599999e+00,5.0000000000000003e-02,5.0000000000099999e-02,5.6927438202099999e-07,5.9507148964466772e-08,5.0976723305653322e-07,5.0976723305653322e-07
5,-4.3333333333299997e+00,-2.3333333333300001e+00,5.0000000000000003e-02,5.0000000000099999e-02,3.7568057515500001e-06,7.9527586034639426e-07,2.9615298912036060e-06,2.9615298912036060e-06
6,-4.3333333333299997e+00,-1.6666666666600001e+00,5.0000000000000003e-02,5.0000000000099999e-02,1.5597175906099999e-05,3.4987832007329439e-06,1.2098392705367055e-05,1.2098392705367055e-05
7,-4.6666666666700003e+00,-1.3333333333299999e+00,5.0000000000000003e-02,5.0000000000099999e-02,3.4265955794100000e-06,1.1517748954944572e-06,2.2748206839155431e-06,2.2748206839155431e-06
8,-4.6666666666700003e+00,-6.6666666666200003e-01,5.0000000000000003e-02,5.0000000000099999e-02,1.0270693253700000e-05,2.4158347527737380e-06,7.8548585009262625e-06,7.8548585009262625e-06
9,-4.3333333333299997e+00,-3.3333333332800003e-01,5.0000000000000003e-02,5.0000000000099999e-02,5.6495153133300000e-05,1.5392751743057859e-05,4.1102401390242144e-05,4.1102401390242144e-05
