time,step,deltaT,maxCo,residualIntegral,minT,maxT,amplitude
0.001,1.0,0.001,,,2.65910266815e-20,0.798399652242,0.798399652242
0.002,2.0,0.001,,,3.16724040598e-20,0.796079055782,0.796079055782
0.003,3.0,0.001,,,3.76720954571e-20,0.793775401608,0.793775401608
0.004,4.0,0.001,,,4.47464462841e-20,0.791488480962,0.791488480962
0.005,5.0,0.001,,,5.30767631784e-20,0.789218088208,0.789218088208
0.006,6.0,0.001,,,6.28730303359e-20,0.786964020781,0.786964020781
0.007,7.0,0.001,,,7.43781382714e-20,0.784726079135,0.784726079135
0.008,8.0,0.001,,,8.78726898743e-20,0.7825040667,0.7825040667
0.009000000000000001,9.0,0.001,,,1.03680456072e-19,0.780297789827,0.780297789827
0.01,10.0,0.001,,,1.22174561631e-19,0.778107057748,0.778107057748
0.011,11.0,0.001,,,1.43784490675e-19,0.775931682528,0.775931682528
0.012,12.0,0.001,,,1.69004011436e-19,0.773771479016,0.773771479016
0.013000000000000001,13.0,0.001,,,1.9840013073e-19,0.771626264805,0.771626264805
0.014,14.0,0.001,,,2.32623200596e-19,0.769495860186,0.769495860186
0.015,15.0,0.001,,,2.72418312759e-19,0.767380088105,0.767380088105
0.016,16.0,0.001,,,3.1863813098e-19,0.76527877412,0.76527877412
0.017,17.0,0.001,,,3.72257327106e-19,0.763191746364,0.763191746364
0.018000000000000002,18.0,0.001,,,4.34388803958e-19,0.761118835496,0.761118835496
0.019,19.0,0.001,,,5.06301906952e-19,0.759059874667,0.759059874667
0.02,20.0,0.001,,,5.89442846984e-19,0.757014699477,0.757014699477
0.021,21.0,0.001,,,6.85457579444e-19,0.75498314794,0.75498314794
0.022,22.0,0.001,,,7.9621740868e-19,0.752965060441,0.752965060441
0.023,23.0,0.001,,,9.23847613724e-19,0.7509602797,0.7509602797
0.024,24.0,0.001,,,1.07075941996e-18,0.748968650737,0.748968650737
0.025,25.0,0.001,,,1.23968567271e-18,0.746990020833,0.746990020833
0.026000000000000002,26.0,0.001,,,1.43372060269e-18,0.745024239494,0.745024239494
0.027,27.0,0.001,,,1.65636411014e-18,0.743071158419,0.743071158419
0.028,28.0,0.001,,,1.91157103409e-18,0.741130631461,0.741130631461
0.029,29.0,0.001,,,2.20380591674e-18,0.739202514596,0.739202514596
0.03,30.0,0.001,,,2.53810381905e-18,0.737286665889,0.737286665889
0.031,31.0,0.001,,,2.92013779428e-18,0.73538294546,0.73538294546
0.032,32.0,0.001,,,3.35629368052e-18,0.733491215451,0.733491215451
0.033,33.0,0.001,,,3.85375293148e-18,0.731611339997,0.731611339997
0.034,34.0,0.001,,,4.42058426818e-18,0.729743185192,0.729743185192
0.035,35.0,0.001,,,5.06584500188e-18,0.727886619058,0.727886619058
0.036000000000000004,36.0,0.001,,,5.79969295144e-18,0.726041511517,0.726041511517
0.037,37.0,0.001,,,6.63350995693e-18,0.724207734359,0.724207734359
0.038,38.0,0.001,,,7.58003807505e-18,0.722385161215,0.722385161215
0.039,39.0,0.001,,,8.65352963264e-18,0.720573667524,0.720573667524
0.04,40.0,0.001,,,9.86991241084e-18,0.718773130508,0.718773130508
0.041,41.0,0.001,,,1.12469713363e-17,0.716983429144,0.716983429144
0.042,42.0,0.001,,,1.28045481666e-17,0.715204444136,0.715204444136
0.043000000000000003,43.0,0.001,,,1.45647607757e-17,0.713436057887,0.713436057887
0.044,44.0,0.001,,,1.65522437716e-17,0.711678154471,0.711678154471
0.045,45.0,0.001,,,1.87944123137e-17,0.709930619613,0.709930619613
0.046,46.0,0.001,,,2.13217511418e-17,0.708193340657,0.708193340657
0.047,47.0,0.001,,,2.41681309824e-17,0.706466206543,0.706466206543
0.048,48.0,0.001,,,2.73711546614e-17,0.704749107783,0.704749107783
0.049,49.0,0.001,,,3.09725354272e-17,0.703041936433,0.703041936433
0.05,50.0,0.001,,,3.50185101728e-17,0.701344586076,0.701344586076
0.051000000000000004,51.0,0.001,,,3.95602904447e-17,0.69965695179,0.69965695179
0.052000000000000005,52.0,0.001,,,4.46545543331e-17,0.69797893013,0.69797893013
0.053,53.0,0.001,,,5.0363982562e-17,0.696310419104,0.696310419104
0.054,54.0,0.001,,,5.6757842334e-17,0.694651318148,0.6946513181479999
0.055,55.0,0.001,,,6.39126227326e-17,0.69300152811,0.6930015281099999
0.056,56.0,0.001,,,7.19127257518e-17,0.691360951219,0.6913609512189999
0.057,57.0,0.001,,,8.08512173025e-17,0.689729491073,0.6897294910729999
0.058,58.0,0.001,,,9.08306428403e-17,0.688107052611,0.6881070526109999
0.059000000000000004,59.0,0.001,,,1.01963912575e-16,0.686493542096,0.6864935420959999
0.06,60.0,0.001,,,1.14375261555e-16,0.684888867092,0.6848888670919999
0.061,61.0,0.001,,,1.28201290257e-16,0.683292936446,0.6832929364459999
0.062,62.0,0.001,,,1.4359209171e-16,0.681705660268,0.6817056602679998
0.063,63.0,0.001,,,1.60712471529e-16,0.68012694991,0.6801269499099999
0.064,64.0,0.001,,,1.7974326769e-16,0.678556717949,0.6785567179489997
0.065,65.0,0.001,,,2.00882777263e-16,0.676994878166,0.6769948781659998
0.066,66.0,0.001,,,2.24348297827e-16,0.675441345528,0.6754413455279997
0.067,67.0,0.001,,,2.50377791717e-16,0.673896036172,0.6738960361719998
0.068,68.0,0.001,,,2.7923168179e-16,0.672358867384,0.6723588673839996
0.069,69.0,0.001,,,3.1119478792e-16,0.670829757583,0.6708297575829997
0.07,70.0,0.001,,,3.46578413968e-16,0.669308626303,0.6693086263029997
0.07100000000000001,71.0,0.001,,,3.85722595588e-16,0.667795394178,0.6677953941779997
0.07200000000000001,72.0,0.001,,,4.28998519801e-16,0.666289982922,0.6662899829219996
0.073,73.0,0.001,,,4.76811127948e-16,0.664792315313,0.6647923153129995
0.074,74.0,0.001,,,5.29601914271e-16,0.663302315179,0.6633023151789994
0.075,75.0,0.001,,,5.87851933103e-16,0.661819907382,0.6618199073819995
0.076,76.0,0.001,,,6.52085028344e-16,0.660345017798,0.6603450177979994
0.077,77.0,0.001,,,7.22871299715e-16,0.658877573305,0.6588775733049992
0.078,78.0,0.001,,,8.00830821048e-16,0.65741750177,0.6574175017699992
0.079,79.0,0.001,,,8.86637626719e-16,0.655964732029,0.6559647320289991
0.08,80.0,0.001,,,9.81023983222e-16,0.654519193873,0.654519193872999
0.081,81.0,0.001,,,1.08478496377e-15,0.653080818038,0.6530808180379989
0.082,82.0,0.001,,,1.1987833448e-15,0.651649536186,0.6516495361859987
0.083,83.0,0.001,,,1.32395484417e-15,0.650225280892,0.6502252808919987
0.084,84.0,0.001,,,1.46131372205e-15,0.648807985633,0.6488079856329986
0.085,85.0,0.001,,,1.61195876629e-15,0.647397584769,0.6473975847689983
0.08600000000000001,86.0,0.001,,,1.77707968555e-15,0.645994013535,0.6459940135349982
0.08700000000000001,87.0,0.001,,,1.95796393428e-15,0.644597208026,0.644597208025998
0.088,88.0,0.001,,,2.15600399508e-15,0.64320710518,0.6432071051799979
