cell,x,y,z,volume,initial,numerical,exact,error,absError
0,-4.8333333333299997e+00,-4.8333333333299997e+00,5.0000000000000003e-02,1.2500000000000001e-02,5.1144237321333167e-21,2.2597796889200000e-11,2.9637173076704150e-12,1.9634079581529584e-11,1.9634079581529584e-11
1,-4.6666666666700003e+00,-4.6666666666700003e+00,5.0000000000000003e-02,1.2500000000000001e-02,1.2135636680502769e-19,1.0900326592900000e-10,1.7213665717126882e-11,9.1789600211873114e-11,9.1789600211873114e-11
2,-4.6666666666700003e+00,-4.3333333333299997e+00,5.0000000000000003e-02,1.2500000000000001e-02,2.4375077864725533e-18,4.0091991977000000e-10,9.1137581874483518e-11,3.0978233789551647e-10,3.0978233789551647e-10
3,-4.8333333333299997e+00,-4.1666666666700003e+00,5.0000000000000003e-02,1.2500000000000001e-02,2.0633057955413460e-18,2.8225335779399999e-10,8.3077811859262459e-11,1.9917554593473755e-10,1.9917554593473755e-10
4,-4.8333333333299997e+00,-3.8333333333300001e+00,5.0000000000000003e-02,1.2500000000000001e-02,2.9694923889651426e-17,1.5715630759600000e-09,3.6549739151867433e-10,1.2060656844413258e-09,1.2060656844413258e-09
5,-4.6666666666700003e+00,-3.6666666666699999e+00,5.0000000000000003e-02,1.2500000000000001e-02,5.0487428193268484e-16,6.1655743075499996e-09,1.7639893805066427e-09,4.4015849270433569e-09,4.4015849270433569e-09
6,-4.6666666666700003e+00,-3.3333333333300001e+00,5.0000000000000003e-02,1.2500000000000001e-02,5.2063941062040201e-15,1.7887703029699998e-08,6.4486721008023661e-09,1.1439030928897633e-08,1.1439030928897633e-08
7,-4.8333333333299997e+00,-3.1666666666599999e+00,5.0000000000000003e-02,1.2500000000000001e-02,3.1578376522230634e-15,9.7571828640099999e-09,4.8846442410503668e-09,4.8725386229596331e-09,4.8725386229596331e-09
8,-4.8333333333299997e+00,-2.8333333333300001e+00,5.0000000000000003e-02,1.2500000000000001e-02,2.3333439563047205e-14,3.9188948710099997e-08,1.4838239032714100e-08,2.4350709677385897e-08,2.4350709677385897e-08
9,-4.6666666666700003e+00,-2.6666666666599999e+00,5.0000000000000003e-02,1.2500000000000001e-02,2.8425948654599509e-13,1.3900865542900000e-07,5.9507148964466772e-08,7.9501506464533224e-08,7.9501506464533224e-08
10,-4.6666666666700003e+00,-2.3333333333300001e+00,5.0000000000000003e-02,1.2500000000000001e-02,1.5050090232393892e-12,3.1609095563600003e-07,1.5020820754007848e-07,1.6588274809592155e-07,1.6588274809592155e-07
11,-4.8333333333299997e+00,-2.1666666666599999e+00,5.0000000000000003e-02,1.2500000000000001e-02,6.5407422533697560e-13,1.4368666566000001e-07,9.4543440716081134e-08,4.9143224943918876e-08,4.9143224943918876e-08
12,-4.8333333333299997e+00,-1.8333333333299999e+00,5.0000000000000003e-02,1.2500000000000001e-02,2.4813403893592983e-12,3.8623275778999998e-07,1.9830379236463790e-07,1.8792896542536207e-07,1.8792896542536207e-07
13,-4.6666666666700003e+00,-1.6666666666600001e+00,5.0000000000000003e-02,1.2500000000000001e-02,2.1659963585049173e-11,1.2499100989200001e-06,6.6083478621433911e-07,5.8907531270566094e-07,5.8907531270566094e-07
