cell,x,y,initial,numerical,exact,error,absError
0,5.0000000000000003e-02,5.0000000000000003e-02,5.8778525229247314e-01,4.3596482650199998e-17,3.0109312945691832e-35,4.3596482650199998e-17,4.3596482650199998e-17
1,1.5000000000000002e-01,5.0000000000000003e-02,9.5105651629515353e-01,4.3596482650199998e-17,4.8717891724036582e-35,4.3596482650199998e-17,4.3596482650199998e-17
2,2.5000000000000000e-01,5.0000000000000003e-02,9.5105651629515364e-01,4.3596482650199998e-17,4.8717891724036561e-35,4.3596482650199998e-17,4.3596482650199998e-17
3,3.5000000000000003e-01,5.0000000000000003e-02,5.8778525229247325e-01,4.3596482650199998e-17,3.0109312945691795e-35,4.3596482650199998e-17,4.3596482650199998e-17
4,4.5000000000000001e-01,5.0000000000000003e-02,1.2246467991473532e-16,4.3596482650199998e-17,-1.8819768059672166e-50,4.3596482650199998e-17,4.3596482650199998e-17
5,5.5000000000000004e-01,5.0000000000000003e-02,-5.8778525229247336e-01,4.3596482650199998e-17,-3.0109312945691827e-35,4.3596482650199998e-17,4.3596482650199998e-17
6,6.5000000000000002e-01,5.0000000000000003e-02,-9.5105651629515353e-01,4.3596482650199998e-17,-4.8717891724036603e-35,4.3596482650199998e-17,4.3596482650199998e-17
7,7.5000000000000000e-01,5.0000000000000003e-02,-9.5105651629515364e-01,4.3596482650199998e-17,-4.8717891724036571e-35,4.3596482650199998e-17,4.3596482650199998e-17
8,8.5000000000000009e-01,5.0000000000000003e-02,-5.8778525229247258e-01,4.3596482650199998e-17,-3.0109312945691762e-35,4.3596482650199998e-17,4.3596482650199998e-17
9,9.5000000000000007e-01,5.0000000000000003e-02,-2.4492935982947064e-16,4.3596482650199998e-17,1.2546512039781446e-50,4.3596482650199998e-17,4.3596482650199998e-17
10,5.0000000000000003e-02,1.5000000000000002e-01,9.5105651629515353e-01,4.3596482650199998e-17,4.8717891724036582e-35,4.3596482650199998e-17,4.3596482650199998e-17
11,1.5000000000000002e-01,1.5000000000000002e-01,9.5105651629515353e-01,4.3596482650199998e-17,4.8717891724036561e-35,4.3596482650199998e-17,4.3596482650199998e-17
12,2.5000000000000000e-01,1.5000000000000002e-01,5.8778525229247325e-01,4.3596482650199998e-17,3.0109312945691795e-35,4.3596482650199998e-17,4.3596482650199998e-17
13,3.5000000000000003e-01,1.5000000000000002e-01,1.2246467991473532e-16,4.3596482650199998e-17,-1.8819768059672166e-50,4.3596482650199998e-17,4.3596482650199998e-17
14,4.5000000000000001e-01,1.5000000000000002e-01,-5.8778525229247336e-01,4.3596482650199998e-17,-3.0109312945691827e-35,4.3596482650199998e-17,4.3596482650199998e-17
15,5.5000000000000004e-01,1.5000000000000002e-01,-9.5105651629515353e-01,4.3596482650199998e-17,-4.8717891724036603e-35,4.3596482650199998e-17,4.3596482650199998e-17
