time,step,deltaT,maxCo,residualIntegral,minT,maxT,amplitude
0.001,1.0,0.001,0.42,,-0.878402263495,0.878402263495,0.878402263495
0.002,2.0,0.001,0.42,,-0.811152993217,0.811152993217,0.811152993217
0.003,3.0,0.001,0.42,,-0.748919112762,0.748919112762,0.748919112762
0.004,4.0,0.001,0.42,,-0.691338006953,0.691338006953,0.691338006953
0.005,5.0,0.001,0.42,,-0.638072270772,0.638072270772,0.638072270772
0.006,6.0,0.001,0.42,,-0.588808048214,0.588808048214,0.588808048214
0.007,7.0,0.001,0.42,,-0.543253471949,0.543253471949,0.543253471949
0.008,8.0,0.001,0.42,,-0.501137198525,0.501137198525,0.501137198525
0.009000000000000001,9.0,0.001,0.42,,-0.462207034054,0.462207034054,0.462207034054
0.01,10.0,0.001,0.42,,-0.426228645478,0.426228645478,0.426228645478
0.011,11.0,0.001,0.42,,-0.392984352724,0.392984352724,0.392984352724
0.012,12.0,0.001,0.42,,-0.362271997249,0.362271997249,0.362271997249
0.013000000000000001,13.0,0.001,0.42,,-0.333903882641,0.333903882641,0.333903882641
0.014,14.0,0.001,0.42,,-0.307705783171,0.307705783171,0.307705783171
0.015,15.0,0.001,0.42,,-0.283516016343,0.283516016343,0.283516016343
0.016,16.0,0.001,0.42,,-0.261184575705,0.261184575705,0.261184575705
0.017,17.0,0.001,0.42,,-0.240572320333,0.240572320333,0.240572320333
0.018000000000000002,18.0,0.001,0.42,,-0.221550217609,0.221550217609,0.221550217609
0.019,19.0,0.001,0.42,,-0.203998636066,0.203998636066,0.203998636066
0.02,20.0,0.001,0.42,,-0.187806685241,0.187806685241,0.187806685241
0.021,21.0,0.001,0.42,,-0.172871599649,0.172871599649,0.172871599649
0.022,22.0,0.001,0.42,,-0.15909816413,0.15909816413,0.15909816413
0.023,23.0,0.001,0.42,,-0.146398177991,0.146398177991,0.146398177991
0.024,24.0,0.001,0.42,,-0.134689955486,0.134689955486,0.134689955486
0.025,25.0,0.001,0.42,,-0.123897860332,0.123897860332,0.123897860332
0.026000000000000002,26.0,0.001,0.42,,-0.113951872085,0.113951872085,0.113951872085
0.027,27.0,0.001,0.42,,-0.104787182317,0.104787182317,0.104787182317
0.028,28.0,0.001,0.42,,-0.0963438186707,0.0963438186707,0.0963438186707
0.029,29.0,0.001,0.42,,-0.0885662949696,0.0885662949696,0.0885662949696
0.03,30.0,0.001,0.42,,-0.081403285676,0.081403285676,0.081403285676
0.031,31.0,0.001,0.42,,-0.0748073230889,0.0748073230889,0.0748073230889
0.032,32.0,0.001,0.42,,-0.0687345157746,0.0687345157746,0.0687345157746
0.033,33.0,0.001,0.42,,-0.0631442868136,0.0631442868136,0.0631442868136
