cell,x,y,numerical,exact,error,absError
0,6.2500000000000003e-03,6.2500000000000003e-03,2.2917275808800001e-17,4.0190689669264333e-36,2.2917275808800001e-17,2.2917275808800001e-17
1,1.8750000000000003e-02,6.2500000000000003e-03,2.2917275808800001e-17,8.0133590371955991e-36,2.2917275808800001e-17,2.2917275808800001e-17
2,3.1250000000000000e-02,6.2500000000000003e-03,2.2917275808800001e-17,1.1958244084288349e-35,2.2917275808800001e-17,2.2917275808800001e-17
3,4.3750000000000004e-02,6.2500000000000003e-03,2.2917275808800001e-17,1.5829402580081608e-35,2.2917275808800001e-17,2.2917275808800001e-17
4,5.6250000000000001e-02,6.2500000000000003e-03,2.2917275808800001e-17,1.9602967545158244e-35,2.2917275808800001e-17,2.2917275808800001e-17
5,6.8750000000000006e-02,6.2500000000000003e-03,2.2917275808800001e-17,2.3255673696670704e-35,2.2917275808800001e-17,2.2917275808800001e-17
6,8.1250000000000003e-02,6.2500000000000003e-03,2.2917275808800001e-17,2.6765000886547031e-35,2.2917275808800001e-17,2.2917275808800001e-17
7,9.3750000000000000e-02,6.2500000000000003e-03,2.2917275808800001e-17,3.0109312945691832e-35,2.2917275808800001e-17,2.2917275808800001e-17
8,1.0625000000000001e-01,6.2500000000000003e-03,2.2917275808800001e-17,3.3267991078163881e-35,2.2917275808800001e-17,2.2917275808800001e-17
9,1.1875000000000001e-01,6.2500000000000003e-03,2.2917275808800001e-17,3.6221560982909414e-35,2.2917275808800001e-17,2.2917275808800001e-17
10,1.3125000000000001e-01,6.2500000000000003e-03,2.2917275808800001e-17,3.8951812919303967e-35,2.2917275808800001e-17,2.2917275808800001e-17
11,1.4375000000000002e-01,6.2500000000000003e-03,2.2917275808800001e-17,4.1441913976258879e-35,2.2917275808800001e-17,2.2917275808800001e-17
12,1.5625000000000000e-01,6.2500000000000003e-03,2.2917275808800001e-17,4.3676511852715343e-35,2.2917275808800001e-17,2.2917275808800001e-17
13,1.6875000000000001e-01,6.2500000000000003e-03,2.2917275808800001e-17,4.5641829509685789e-35,2.2917275808800001e-17,2.2917275808800001e-17
14,1.8125000000000002e-01,6.2500000000000003e-03,2.2917275808800001e-17,4.7325750110280542e-35,2.2917275808800001e-17,2.2917275808800001e-17
15,1.9375000000000001e-01,6.2500000000000003e-03,2.2917275808800001e-17,4.8717891724036582e-35,2.2917275808800001e-17,2.2917275808800001e-17
16,2.0625000000000002e-01,6.2500000000000003e-03,2.2917275808800001e-17,4.9809671334970974e-35,2.2917275808800001e-17,2.2917275808800001e-17
17,2.1875000000000000e-01,6.2500000000000003e-03,2.2917275808800001e-17,5.0594357758728798e-35,2.2917275808800001e-17,2.2917275808800001e-17
18,2.3125000000000001e-01,6.2500000000000003e-03,2.2917275808800001e-17,5.1067113142572826e-35,2.2917275808800001e-17,2.2917275808800001e-17
19,2.4375000000000002e-01,6.2500000000000003e-03,2.2917275808800001e-17,5.1225022792354564e-35,2.2917275808800001e-17,2.2917275808800001e-17
20,2.5625000000000003e-01,6.2500000000000003e-03,2.2917275808800001e-17,5.1067113142572815e-35,2.2917275808800001e-17,2.2917275808800001e-17
21,2.6874999999999999e-01,6.2500000000000003e-03,2.2917275808800001e-17,5.0594357758728787e-35,2.2917275808800001e-17,2.2917275808800001e-17
22,2.8125000000000000e-01,6.2500000000000003e-03,2.2917275808800001e-17,4.9809671334970952e-35,2.2917275808800001e-17,2.2917275808800001e-17
23,2.9375000000000001e-01,6.2500000000000003e-03,2.2917275808800001e-17,4.8717891724036561e-35,2.2917275808800001e-17,2.2917275808800001e-17
24,3.0625000000000002e-01,6.2500000000000003e-03,2.2917275808800001e-17,4.7325750110280526e-35,2.2917275808800001e-17,2.2917275808800001e-17
25,3.1875000000000003e-01,6.2500000000000003e-03,2.2917275808800001e-17,4.5641829509685773e-35,2.2917275808800001e-17,2.2917275808800001e-17
26,3.3125000000000004e-01,6.2500000000000003e-03,2.2917275808800001e-17,4.3676511852715317e-35,2.2917275808800001e-17,2.2917275808800001e-17
27,3.4375000000000000e-01,6.2500000000000003e-03,2.2917275808800001e-17,4.1441913976258858e-35,2.2917275808800001e-17,2.2917275808800001e-17
28,3.5625000000000001e-01,6.2500000000000003e-03,2.2917275808800001e-17,3.8951812919303935e-35,2.2917275808800001e-17,2.2917275808800001e-17
29,3.6875000000000002e-01,6.2500000000000003e-03,2.2917275808800001e-17,3.6221560982909387e-35,2.2917275808800001e-17,2.2917275808800001e-17
30,3.8125000000000003e-01,6.2500000000000003e-03,2.2917275808800001e-17,3.3267991078163844e-35,2.2917275808800001e-17,2.2917275808800001e-17
31,3.9375000000000004e-01,6.2500000000000003e-03,2.2917275808800001e-17,3.0109312945691795e-35,2.2917275808800001e-17,2.2917275808800001e-17
