cell,x,y,numerical,exact,error,absError
0,-9.4999999999999996e-01,-9.4999999999999996e-01,1.0575350709200000e-03,2.9141507190171133e-41,1.0575350709200000e-03,1.0575350709200000e-03
1,-8.4999999999999998e-01,-9.4999999999999996e-01,3.2121275503900000e-03,8.9709016923650115e-39,3.2121275503900000e-03,3.2121275503900000e-03
2,-7.5000000000000000e-01,-9.4999999999999996e-01,5.7293390251800004e-03,1.4610992948715861e-36,5.7293390251800004e-03,5.7293390251800004e-03
3,-6.4999999999999991e-01,-9.4999999999999996e-01,7.8955390619299994e-03,1.2590498065435922e-34,7.8955390619299994e-03,7.8955390619299994e-03
4,-5.5000000000000004e-01,-9.4999999999999996e-01,9.2944883676400001e-03,5.7401816483866348e-33,9.2944883676400001e-03,9.2944883676400001e-03
5,-4.4999999999999996e-01,-9.4999999999999996e-01,9.8050560625100001e-03,1.3846114125836846e-31,9.8050560625100001e-03,9.8050560625100001e-03
6,-3.4999999999999998e-01,-9.4999999999999996e-01,9.5285410833000003e-03,1.7670536025453885e-30,9.5285410833000003e-03,9.5285410833000003e-03
7,-2.5000000000000000e-01,-9.4999999999999996e-01,8.7098320634200008e-03,1.1931391228990730e-29,8.7098320634200008e-03,8.7098320634200008e-03
8,-1.4999999999999991e-01,-9.4999999999999996e-01,7.6424145298300003e-03,4.2623783263360165e-29,7.6424145298300003e-03,7.6424145298300003e-03
9,-4.9999999999999933e-02,-9.4999999999999996e-01,6.5651223426599998e-03,8.0562409908885737e-29,6.5651223426599998e-03,6.5651223426599998e-03
10,5.0000000000000044e-02,-9.4999999999999996e-01,5.5596044310100004e-03,8.0562409908885737e-29,5.5596044310100004e-03,5.5596044310100004e-03
11,1.5000000000000013e-01,-9.4999999999999996e-01,4.6402765839499999e-03,4.2623783263360165e-29,4.6402765839499999e-03,4.6402765839499999e-03
12,2.5000000000000000e-01,-9.4999999999999996e-01,3.8036312120400002e-03,1.1931391228990730e-29,3.8036312120400002e-03,3.8036312120400002e-03
13,3.5000000000000009e-01,-9.4999999999999996e-01,3.0302895866100000e-03,1.7670536025453885e-30,3.0302895866100000e-03,3.0302895866100000e-03
14,4.5000000000000018e-01,-9.4999999999999996e-01,2.3196882661600002e-03,1.3846114125836846e-31,2.3196882661600002e-03,2.3196882661600002e-03
15,5.5000000000000004e-01,-9.4999999999999996e-01,1.6911047980400001e-03,5.7401816483867162e-33,1.6911047980400001e-03,1.6911047980400001e-03
16,6.5000000000000013e-01,-9.4999999999999996e-01,1.1677377221300000e-03,1.2590498065435922e-34,1.1677377221300000e-03,1.1677377221300000e-03
17,7.5000000000000000e-01,-9.4999999999999996e-01,7.6185736302800003e-04,1.4610992948715861e-36,7.6185736302800003e-04,7.6185736302800003e-04
18,8.5000000000000009e-01,-9.4999999999999996e-01,4.7177102862500000e-04,8.9709016923650115e-39,4.7177102862500000e-04,4.7177102862500000e-04
19,9.5000000000000018e-01,-9.4999999999999996e-01,6.3967494764500003e-04,2.9141507190171133e-41,6.3967494764500003e-04,6.3967494764500003e-04
20,-9.4999999999999996e-01,-8.4999999999999998e-01,1.3933787260100000e-03,2.1639058875263784e-37,1.3933787260100000e-03,1.3933787260100000e-03
21,-8.4999999999999998e-01,-8.4999999999999998e-01,3.5705032057599998e-03,6.6613531214599069e-35,3.5705032057599998e-03,3.5705032057599998e-03
22,-7.5000000000000000e-01,-8.4999999999999998e-01,5.5876854386600000e-03,1.0849409214838550e-32,5.5876854386600000e-03,5.5876854386600000e-03
23,-6.4999999999999991e-01,-8.4999999999999998e-01,7.0195141761599999e-03,9.3490884712632039e-31,7.0195141761599999e-03,7.0195141761599999e-03
24,-5.5000000000000004e-01,-8.4999999999999998e-01,7.7881916174700003e-03,4.2623783263359565e-29,7.7881916174700003e-03,7.7881916174700003e-03
25,-4.4999999999999996e-01,-8.4999999999999998e-01,7.9464670897499996e-03,1.0281447586337070e-27,7.9464670897499996e-03,7.9464670897499996e-03
26,-3.4999999999999998e-01,-8.4999999999999998e-01,7.6044895751600002e-03,1.3121276360793097e-26,7.6044895751600002e-03,7.6044895751600002e-03
27,-2.5000000000000000e-01,-8.4999999999999998e-01,6.9309762014800004e-03,8.8596679500166229e-26,6.9309762014800004e-03,6.9309762014800004e-03
28,-1.4999999999999991e-01,-8.4999999999999998e-01,6.1329828090699997e-03,3.1650338107200829e-25,6.1329828090699997e-03,6.1329828090699997e-03
29,-4.9999999999999933e-02,-8.4999999999999998e-01,5.3859400274900004e-03,5.9821707908762704e-25,5.3859400274900004e-03,5.3859400274900004e-03
30,5.0000000000000044e-02,-8.4999999999999998e-01,4.9891153742499996e-03,5.9821707908762704e-25,4.9891153742499996e-03,4.9891153742499996e-03
31,1.5000000000000013e-01,-8.4999999999999998e-01,5.0076764727399999e-03,3.1650338107200829e-25,5.0076764727399999e-03,5.0076764727399999e-03
32,2.5000000000000000e-01,-8.4999999999999998e-01,5.1696238827399999e-03,8.8596679500166229e-26,5.1696238827399999e-03,5.1696238827399999e-03
33,3.5000000000000009e-01,-8.4999999999999998e-01,5.2042430594399997e-03,1.3121276360793097e-26,5.2042430594399997e-03,5.2042430594399997e-03
34,4.5000000000000018e-01,-8.4999999999999998e-01,4.9370551923800000e-03,1.0281447586337070e-27,4.9370551923800000e-03,4.9370551923800000e-03
35,5.5000000000000004e-01,-8.4999999999999998e-01,4.3430459108999998e-03,4.2623783263360165e-29,4.3430459108999998e-03,4.3430459108999998e-03
36,6.5000000000000013e-01,-8.4999999999999998e-01,3.5249556996900001e-03,9.3490884712632039e-31,3.5249556996900001e-03,3.5249556996900001e-03
37,7.5000000000000000e-01,-8.4999999999999998e-01,2.6412499616500001e-03,1.0849409214838704e-32,2.6412499616500001e-03,2.6412499616500001e-03
38,8.5000000000000009e-01,-8.4999999999999998e-01,1.8468425005000000e-03,6.6613531214600010e-35,1.8468425005000000e-03,1.8468425005000000e-03
39,9.5000000000000018e-01,-8.4999999999999998e-01,3.0613085427400001e-03,2.1639058875263784e-37,3.0613085427400001e-03,3.0613085427400001e-03
40,-9.4999999999999996e-01,-7.5000000000000000e-01,3.0350213279899999e-03,8.5012790766603907e-34,3.0350213279899999e-03,3.0350213279899999e-03
41,-8.4999999999999998e-01,-7.5000000000000000e-01,6.8801574764899998e-03,2.6170279511761593e-31,6.8801574764899998e-03,6.8801574764899998e-03
42,-7.5000000000000000e-01,-7.5000000000000000e-01,9.8988079228200000e-03,4.2623783263360165e-29,9.8988079228200000e-03,9.8988079228200000e-03
43,-6.4999999999999991e-01,-7.5000000000000000e-01,1.1818979741800000e-02,3.6729513360421583e-27,1.1818979741800000e-02,1.1818979741800000e-02
44,-5.5000000000000004e-01,-7.5000000000000000e-01,1.2776021555500000e-02,1.6745491516690603e-25,1.2776021555500000e-02,1.2776021555500000e-02
45,-4.4999999999999996e-01,-7.5000000000000000e-01,1.2898402417500000e-02,4.0392447632471745e-24,1.2898402417500000e-02,1.2898402417500000e-02
46,-3.4999999999999998e-01,-7.5000000000000000e-01,1.2304326538299999e-02,5.1549206843094163e-23,1.2304326538299999e-02,1.2304326538299999e-02
47,-2.5000000000000000e-01,-7.5000000000000000e-01,1.1206946837700000e-02,3.4806740073031823e-22,1.1206946837700000e-02,1.1206946837700000e-02
48,-1.4999999999999991e-01,-7.5000000000000000e-01,9.9328372466899999e-03,1.2434383522452965e-21,9.9328372466899999e-03,9.9328372466899999e-03
49,-4.9999999999999933e-02,-7.5000000000000000e-01,8.7757747763800003e-03,2.3501994088855540e-21,8.7757747763800003e-03,8.7757747763800003e-03
50,5.0000000000000044e-02,-7.5000000000000000e-01,8.0096834395400000e-03,2.3501994088855540e-21,8.0096834395400000e-03,8.0096834395400000e-03
51,1.5000000000000013e-01,-7.5000000000000000e-01,7.8023240245699999e-03,1.2434383522452965e-21,7.8023240245699999e-03,7.8023240245699999e-03
52,2.5000000000000000e-01,-7.5000000000000000e-01,8.0292502387200003e-03,3.4806740073031823e-22,8.0292502387200003e-03,8.0292502387200003e-03
53,3.5000000000000009e-01,-7.5000000000000000e-01,8.3975437766999998e-03,5.1549206843094163e-23,8.3975437766999998e-03,8.3975437766999998e-03
54,4.5000000000000018e-01,-7.5000000000000000e-01,8.5374120318600002e-03,4.0392447632471745e-24,8.5374120318600002e-03,8.5374120318600002e-03
55,5.5000000000000004e-01,-7.5000000000000000e-01,8.1723676064499994e-03,1.6745491516690723e-25,8.1723676064499994e-03,8.1723676064499994e-03
56,6.5000000000000013e-01,-7.5000000000000000e-01,7.2446420070500003e-03,3.6729513360421583e-27,7.2446420070500003e-03,7.2446420070500003e-03
57,7.5000000000000000e-01,-7.5000000000000000e-01,5.9128914500599997e-03,4.2623783263360165e-29,5.9128914500599997e-03,5.9128914500599997e-03
58,8.5000000000000009e-01,-7.5000000000000000e-01,4.4924190351400004e-03,2.6170279511761593e-31,4.4924190351400004e-03,4.4924190351400004e-03
59,9.5000000000000018e-01,-7.5000000000000000e-01,8.6931907344200005e-03,8.5012790766603907e-34,8.6931907344200005e-03,8.6931907344200005e-03
60,-9.4999999999999996e-01,-6.4999999999999991e-01,6.2922438863599996e-03,1.7670536025454137e-30,6.2922438863599996e-03,6.2922438863599996e-03
61,-8.4999999999999998e-01,-6.4999999999999991e-01,1.2440796627600000e-02,5.4396857547988929e-28,1.2440796627600000e-02,1.2440796627600000e-02
62,-7.5000000000000000e-01,-6.4999999999999991e-01,1.6461767392100000e-02,8.8596679500166849e-26,1.6461767392100000e-02,1.6461767392100000e-02
63,-6.4999999999999991e-01,-6.4999999999999991e-01,1.8873395834800001e-02,7.6345004461105219e-24,1.8873395834800001e-02,1.8873395834800001e-02
