cell,x,y,initial,numerical,exact,error,absError
0,-9.8750000000000004e-01,-9.8750000000000004e-01,2.3051982174042898e-219,8.4769232496600001e-12,8.6558128497525222e-44,8.4769232496600001e-12,8.4769232496600001e-12
1,-9.6250000000000002e-01,-9.8750000000000004e-01,5.3990060080015755e-216,6.1527827766499999e-11,4.0853471369731719e-43,6.1527827766499999e-11,6.1527827766499999e-11
2,-9.3750000000000000e-01,-9.8750000000000004e-01,1.0363804321417909e-212,2.5733176046000001e-10,1.8529770641312704e-42,2.5733176046000001e-10,2.5733176046000001e-10
3,-9.1249999999999998e-01,-9.8750000000000004e-01,1.6305137153250652e-209,8.0217321483799997e-10,8.0766468543963435e-42,8.0217321483799997e-10,8.0217321483799997e-10
4,-8.8749999999999996e-01,-9.8750000000000004e-01,2.1024688311513192e-206,2.0438050718900001e-09,3.3830788186142082e-41,2.0438050718900001e-09,2.0438050718900001e-09
5,-8.6250000000000004e-01,-9.8750000000000004e-01,2.2219512902173079e-203,4.4701786041600000e-09,1.3617993095104014e-40,4.4701786041600000e-09,4.4701786041600000e-09
6,-8.3750000000000002e-01,-9.8750000000000004e-01,1.9245950304315870e-200,8.6588861545500005e-09,5.2678581843188327e-40,8.6588861545500005e-09,8.6588861545500005e-09
7,-8.1250000000000000e-01,-9.8750000000000004e-01,1.3662936316939469e-197,1.5181824932700000e-08,1.9582810063040505e-39,1.5181824932700000e-08,1.5181824932700000e-08
8,-7.8749999999999998e-01,-9.8750000000000004e-01,7.9496605771171068e-195,2.4487773323900000e-08,6.9957764002110709e-39,2.4487773323900000e-08,2.4487773323900000e-08
9,-7.6249999999999996e-01,-9.8750000000000004e-01,3.7909930334646319e-192,3.6794368474800001e-08,2.4016891721657407e-38,3.6794368474800001e-08,3.6794368474800001e-08
10,-7.3750000000000004e-01,-9.8750000000000004e-01,1.4816896408976978e-189,5.2017534669400000e-08,7.9235107546669717e-38,5.2017534669400000e-08,5.2017534669400000e-08
11,-7.1249999999999991e-01,-9.8750000000000004e-01,4.7463674919041440e-187,6.9753933998700006e-08,2.5121089742517823e-37,6.9753933998700006e-08,6.9753933998700006e-08
12,-6.8750000000000000e-01,-9.8750000000000004e-01,1.2461356915638724e-184,8.9316698299599995e-08,7.6538380719624325e-37,8.9316698299599995e-08,8.9316698299599995e-08
13,-6.6249999999999998e-01,-9.8750000000000004e-01,2.6814466925648640e-182,1.0981223591400000e-07,2.2409906076198013e-36,1.0981223591400000e-07,1.0981223591400000e-07
14,-6.3749999999999996e-01,-9.8750000000000004e-01,4.7290385905600838e-180,1.3023935113499999e-07,6.3055180674128565e-36,1.3023935113499999e-07,1.3023935113499999e-07
15,-6.1250000000000004e-01,-9.8750000000000004e-01,6.8355963079398420e-178,1.4959145731200000e-07,1.7049886180484675e-35,1.4959145731200000e-07,1.4959145731200000e-07
16,-5.8749999999999991e-01,-9.8750000000000004e-01,8.0980380511895874e-176,1.6694657586200001e-07,4.4303921147749778e-35,1.6694657586200001e-07,1.6694657586200001e-07
17,-5.6250000000000000e-01,-9.8750000000000004e-01,7.8629058909220422e-174,1.8153571757600000e-07,1.1063252342814249e-34,1.8153571757600000e-07,1.8153571757600000e-07
