time,step,deltaT,maxCo,residualIntegral,minT,maxT,amplitude
0.001,1.0,0.001,0.0886,,0.0,48.1747462811,24.08737314055
0.002,2.0,0.001,0.0886,,0.0,48.1435494252,24.0717747126
0.003,3.0,0.001,0.0886,,0.0,48.1090262398,24.0545131199
0.004,4.0,0.001,0.0886,,0.0,48.0712202373,24.03561011865
0.005,5.0,0.001,0.0886,,0.0,48.0301748949,24.01508744745
0.006,6.0,0.001,0.0886,,0.0,47.9859336434,23.9929668217
0.007,7.0,0.001,0.0886,,0.0,47.9385398564,23.9692699282
0.008,8.0,0.001,0.0886,,0.0,47.8880368394,23.9440184197
0.009000000000000001,9.0,0.001,0.0886,,0.0,47.8344678203,23.91723391015
0.01,10.0,0.001,0.0886,,0.0,47.7778759386,23.8889379693
0.011,11.0,0.001,0.0886,,0.0,47.7183042361,23.85915211805
0.012,12.0,0.001,0.0886,,0.0,47.6557956476,23.8278978238
0.013000000000000001,13.0,0.001,0.0886,,0.0,47.5903929916,23.7951964958
0.014,14.0,0.001,0.0886,,0.0,47.5221389616,23.7610694808
0.015,15.0,0.001,0.0886,,0.0,47.4510761173,23.72553805865
0.016,16.0,0.001,0.0886,,0.0,47.3772468765,23.68862343825
0.017,17.0,0.001,0.0886,,0.0,47.3006935072,23.6503467536
0.018000000000000002,18.0,0.001,0.0886,,0.0,47.2214581192,23.6107290596
0.019,19.0,0.001,0.0886,,0.0,47.1395826572,23.5697913286
0.02,20.0,0.001,0.0886,,0.0,47.0551088931,23.52755444655
0.021,21.0,0.001,0.0886,,0.0,46.9680784193,23.48403920965
0.022,22.0,0.001,0.0886,,0.0,46.8785326413,23.43926632065
0.023,23.0,0.001,0.0886,,0.0,46.7865127718,23.3932563859
0.024,24.0,0.001,0.0886,,0.0,46.6920598236,23.3460299118
0.025,25.0,0.001,0.0886,,0.0,46.595214604,23.297607302
0.026000000000000002,26.0,0.001,0.0886,,0.0,46.4960177089,23.24800885445
0.027,27.0,0.001,0.0886,,0.0,46.3945095164,23.1972547582
0.028,28.0,0.001,0.0886,,0.0,46.2907301822,23.1453650911
0.029,29.0,0.001,0.0886,,0.0,46.1847196337,23.09235981685
0.03,30.0,0.001,0.0886,,0.0,46.0765175649,23.03825878245
0.031,31.0,0.001,0.0886,,0.0,45.9661634318,22.9830817159
0.032,32.0,0.001,0.0886,,0.0,45.8536964476,22.9268482238
0.033,33.0,0.001,0.0886,,0.0,45.7391555779,22.86957778895
0.034,34.0,0.001,0.0886,,0.0,45.6225795368,22.8112897684
0.035,35.0,0.001,0.0886,,0.0,45.5040067824,22.7520033912
0.036000000000000004,36.0,0.001,0.0886,,0.0,45.3834755129,22.69173775645
0.037,37.0,0.001,0.0886,,0.0,45.2610236628,22.6305118314
0.038,38.0,0.001,0.0886,,0.0,45.1366888996,22.5683444498
0.039,39.0,0.001,0.0886,,0.0,45.0105086196,22.5052543098
0.04,40.0,0.001,0.0886,,0.0,44.8825199453,22.44125997265
0.041,41.0,0.001,0.0886,,0.0,44.7527597218,22.3763798609
0.042,42.0,0.001,0.0886,,0.0,44.6212645142,22.3106322571
0.043000000000000003,43.0,0.001,0.0886,,0.0,44.4880706044,22.2440353022
0.044,44.0,0.001,0.0886,,0.0,44.3532139886,22.1766069943
0.045,45.0,0.001,0.0886,,0.0,44.2167303747,22.10836518735
0.046,46.0,0.001,0.0886,,0.0,44.07865518,22.03932759
0.047,47.0,0.001,0.0886,,0.0,43.9390235287,21.96951176435
0.048,48.0,0.001,0.0886,,0.0,43.7978702501,21.89893512505
0.049,49.0,0.001,0.0886,,0.0,43.6552298764,21.8276149382
0.05,50.0,0.001,0.0886,,0.0,43.511136641,21.7555683205
0.051000000000000004,51.0,0.001,0.0886,,0.0,43.3656244765,21.68281223825
0.052000000000000005,52.0,0.001,0.0886,,0.0,43.2187270134,21.6093635067
0.053,53.0,0.001,0.0886,,0.0,43.0704775784,21.5352387892
0.054,54.0,0.001,0.0886,,0.0,42.9209091932,21.4604545966
0.055,55.0,0.001,0.0886,,0.0,42.8107125225,21.40535626125
0.056,56.0,0.001,0.0886,,0.0,42.787167561,21.3935837805
0.057,57.0,0.001,0.0886,,0.0,42.7611153834,21.3805576917
0.058,58.0,0.001,0.0886,,0.0,42.7325834539,21.36629172695
0.059000000000000004,59.0,0.001,0.0886,,0.0,42.7015992904,21.3507996452
0.06,60.0,0.001,0.0886,,0.0,42.6681904572,21.3340952286
0.061,61.0,0.001,0.0886,,0.0,42.6323845582,21.3161922791
0.062,62.0,0.001,0.0886,,0.0,42.5942092297,21.29710461485
0.063,63.0,0.001,0.0886,,0.0,42.5536921339,21.27684606695
0.064,64.0,0.001,0.0886,,0.0,42.510860952,21.255430476
0.065,65.0,0.001,0.0886,,0.0,42.4657433782,21.2328716891
0.066,66.0,0.001,0.0886,,0.0,42.4183671128,21.2091835564
0.067,67.0,0.001,0.0886,,0.0,42.3687598564,21.1843799282
0.068,68.0,0.001,0.0886,,0.0,42.3169493035,21.15847465175
0.069,69.0,0.001,0.0886,,0.0,42.2629631368,21.1314815684
0.07,70.0,0.001,0.0886,,0.0,42.206829021,21.1034145105
0.07100000000000001,71.0,0.001,0.0886,,0.0,42.1485745975,21.07428729875
0.07200000000000001,72.0,0.001,0.0886,,0.0,42.0882274787,21.04411373935
0.073,73.0,0.001,0.0886,,0.0,42.0258152423,21.01290762115
0.074,74.0,0.001,0.0886,,0.0,41.9613654261,20.98068271305
0.075,75.0,0.001,0.0886,,0.0,41.8949055229,20.94745276145
0.076,76.0,0.001,0.0886,,0.0,41.8264629752,20.9132314876
0.077,77.0,0.001,0.0886,,0.0,41.7560651704,20.8780325852
0.078,78.0,0.001,0.0886,,0.0,41.6837394357,20.84186971785
0.079,79.0,0.001,0.0886,,0.0,41.6095130336,20.8047565168
0.08,80.0,0.001,0.0886,,0.0,41.5334131572,20.7667065786
0.081,81.0,0.001,0.0886,,0.0,41.4554669254,20.7277334627
0.082,82.0,0.001,0.0886,,0.0,41.375701379,20.6878506895
0.083,83.0,0.001,0.0886,,0.0,41.294143476,20.647071738
0.084,84.0,0.001,0.0886,,0.0,41.2108200874,20.6054100437
0.085,85.0,0.001,0.0886,,0.0,41.1257579934,20.5628789967
0.08600000000000001,86.0,0.001,0.0886,,0.0,41.0389838793,20.51949193965
0.08700000000000001,87.0,0.001,0.0886,,0.0,40.9505243314,20.4752621657
0.088,88.0,0.001,0.0886,,0.0,40.8604058337,20.43020291685
0.089,89.0,0.001,0.0886,,0.0,40.7686547638,20.3843273819
0.09,90.0,0.001,0.0886,,0.0,40.6752973896,20.3376486948
0.091,91.0,0.001,0.0886,,0.0,40.5803598656,20.2901799328
0.092,92.0,0.001,0.0886,,0.0,40.48386823,20.241934115
0.093,93.0,0.001,0.0886,,0.0,40.3858484007,20.19292420035
0.094,94.0,0.001,0.0886,,0.0,40.2863261731,20.14316308655
0.095,95.0,0.001,0.0886,,0.0,40.1853272159,20.09266360795
0.096,96.0,0.001,0.0886,,0.0,40.0828770692,20.0414385346
0.097,97.0,0.001,0.0886,,0.0,39.9790011409,19.98950057045
0.098,98.0,0.001,0.0886,,0.0,39.8737247042,19.9368623521
0.099,99.0,0.001,0.0886,,0.0,39.7670728948,19.8835364474
0.1,100.0,0.001,0.0886,,0.0,39.6590707083,19.82953535415
0.101,101.0,0.001,0.0886,,0.0,39.5497429978,19.7748714989
0.10200000000000001,102.0,0.001,0.0886,,0.0,39.4391144712,19.7195572356
0.10300000000000001,103.0,0.001,0.0886,,0.0,39.327209689,19.6636048445
0.10400000000000001,104.0,0.001,0.0886,,0.0,39.2140530622,19.6070265311
0.105,105.0,0.001,0.0886,,0.0,39.0996688496,19.5498344248
0.106,106.0,0.001,0.0886,,0.0,38.9840811564,19.4920405782
0.107,107.0,0.001,0.0886,,0.0,38.8673139314,19.4336569657
0.108,108.0,0.001,0.0886,,0.0,38.7493909656,19.3746954828
