cell,x,y,z,volume,numerical,exact,error,absError
0,-9.8333333333299999e-01,-9.8333333333299999e-01,5.0000000000000003e-02,1.2500000000000000e-04,2.4709268223200001e-11,1.6670488469564990e-43,2.4709268223200001e-11,2.4709268223200001e-11
1,-9.6666666666699996e-01,-9.6666666666699996e-01,5.0000000000000003e-02,1.2500000000000000e-04,1.7313305490600001e-10,2.2434178967801177e-42,1.7313305490600001e-10,1.7313305490600001e-10
2,-9.6666666666699996e-01,-9.3333333333299995e-01,5.0000000000000003e-02,1.2500000000000000e-04,2.1882682917300000e-10,4.8666753448511199e-41,2.1882682917300000e-10,2.1882682917300000e-10
3,-9.8333333333299999e-01,-9.1666666666600005e-01,5.0000000000000003e-02,1.2500000000000000e-04,2.4110380143700002e-10,7.8449958138696397e-41,2.4110380143700002e-10,2.4110380143700002e-10
4,-9.8333333333299999e-01,-8.8333333333300001e-01,5.0000000000000003e-02,1.2500000000000000e-04,5.2958601719700004e-10,1.5305052927941591e-39,5.2958601719700004e-10,5.2958601719700004e-10
5,-9.6666666666699996e-01,-8.6666666666600001e-01,5.0000000000000003e-02,1.2500000000000000e-04,4.4638925113000001e-09,1.8523225541672533e-38,4.4638925113000001e-09,4.4638925113000001e-09
6,-9.6666666666699996e-01,-8.3333333333299997e-01,5.0000000000000003e-02,1.2500000000000000e-04,5.5433841500600000e-09,3.2499648113510228e-37,5.5433841500600000e-09,5.5433841500600000e-09
7,-9.8333333333299999e-01,-8.1666666666599996e-01,5.0000000000000003e-02,1.2500000000000000e-04,6.0277641181300003e-09,4.7114970519768012e-37,6.0277641181300003e-09,6.0277641181300003e-09
8,-9.8333333333299999e-01,-7.8333333333300004e-01,5.0000000000000003e-02,1.2500000000000000e-04,1.2598211125200000e-08,7.4343138576029879e-36,1.2598211125200000e-08,1.2598211125200000e-08
9,-9.6666666666699996e-01,-7.6666666666600003e-01,5.0000000000000003e-02,1.2500000000000000e-04,6.4963133591600001e-08,8.0917525848728124e-35,6.4963133591600001e-08,6.4963133591600001e-08
10,-9.6666666666699996e-01,-7.3333333333299999e-01,5.0000000000000003e-02,1.2500000000000000e-04,7.9539184593100001e-08,1.1482712407411959e-33,7.9539184593100001e-08,7.9539184593100001e-08
11,-9.8333333333299999e-01,-7.1666666666599999e-01,5.0000000000000003e-02,1.2500000000000000e-04,8.6217091047100004e-08,1.4970788573422104e-33,8.6217091047100004e-08,8.6217091047100004e-08
12,-9.8333333333299999e-01,-6.8333333333199997e-01,5.0000000000000003e-02,1.2500000000000000e-04,1.7104356333400000e-07,1.9105855724197972e-32,1.7104356333400000e-07,1.7104356333400000e-07
13,-9.6666666666699996e-01,-6.6666666666600005e-01,5.0000000000000003e-02,1.2500000000000000e-04,6.3307435560200004e-07,1.8702002961813201e-31,6.3307435560200004e-07,6.3307435560200004e-07
14,-9.6666666666699996e-01,-6.3333333333200004e-01,5.0000000000000003e-02,1.2500000000000000e-04,7.6757024178000004e-07,2.1464949081514120e-30,7.6757024178000004e-07,7.6757024178000004e-07
15,-9.8333333333299999e-01,-6.1666666666600001e-01,5.0000000000000003e-02,1.2500000000000000e-04,8.3395701158600005e-07,2.5168073648695916e-30,8.3395701158600005e-07,8.3395701158600005e-07
16,-9.8333333333299999e-01,-5.8333333333199999e-01,5.0000000000000003e-02,1.2500000000000000e-04,1.5660162602000000e-06,2.5978354662946549e-29,1.5660162602000000e-06,1.5660162602000000e-06
17,-9.6666666666699996e-01,-5.6666666666599996e-01,5.0000000000000003e-02,1.2500000000000000e-04,4.5070805378599998e-06,2.2869316947312955e-28,4.5070805378599998e-06,4.5070805378599998e-06
18,-9.6666666666699996e-01,-5.3333333333199995e-01,5.0000000000000003e-02,1.2500000000000000e-04,5.4255726782899999e-06,2.1229256441897227e-27,5.4255726782899999e-06,5.4255726782899999e-06
19,-9.8333333333299999e-01,-5.1666666666500005e-01,5.0000000000000003e-02,1.2500000000000000e-04,5.9296778014700004e-06,2.2385913488582054e-27,5.9296778014700004e-06,5.9296778014700004e-06
20,-9.8333333333299999e-01,-4.8333333333200001e-01,5.0000000000000003e-02,1.2500000000000000e-04,1.0506008875700001e-05,1.8688581339555955e-26,1.0506008875700001e-05,1.0506008875700001e-05
21,-9.6666666666699996e-01,-4.6666666666500001e-01,5.0000000000000003e-02,1.2500000000000000e-04,2.4671561145800001e-05,1.4795778165368155e-25,2.4671561145800001e-05,2.4671561145800001e-05
22,-9.6666666666699996e-01,-4.3333333333200003e-01,5.0000000000000003e-02,1.2500000000000000e-04,2.9534906523499999e-05,1.1108597971004891e-24,2.9534906523499999e-05,2.9534906523499999e-05
