cell,x,y,z,volume,initial,numerical,exact,error,absError
0,-9.9166666666699999e-01,-9.9166666666699999e-01,5.0000000000000003e-02,3.1250000000000001e-05,8.6041095040960772e-221,2.3407476496100001e-19,4.4844314390563015e-44,2.3407476496100001e-19,2.3407476496100001e-19
1,-9.8333333333299999e-01,-9.8333333333299999e-01,5.0000000000000003e-02,3.1250000000000001e-05,6.1081629340911977e-218,1.1043311436000001e-18,1.6670488469564990e-43,1.1043311436000001e-18,1.1043311436000001e-18
2,-9.8333333333299999e-01,-9.6666666666699996e-01,5.0000000000000003e-02,3.1250000000000001e-05,1.5286786358949444e-214,1.2866365277500001e-18,7.9731409570302814e-43,1.2866365277500001e-18,1.2866365277500001e-18
3,-9.9166666666699999e-01,-9.5833333333299997e-01,5.0000000000000003e-02,3.1250000000000001e-05,5.3891105809661968e-214,1.2759290189999999e-18,1.0258163619233499e-42,1.2759290189999999e-18,1.2759290189999999e-18
4,-9.9166666666699999e-01,-9.4166666666700005e-01,5.0000000000000003e-02,3.1250000000000001e-05,1.1811976747318507e-210,2.8289982391700000e-18,4.7778302908681943e-42,2.8289982391700000e-18,2.8289982391700000e-18
5,-9.8333333333299999e-01,-9.3333333333299995e-01,5.0000000000000003e-02,3.1250000000000001e-05,7.3439070756866538e-208,2.4410837734800001e-17,1.7296237393975903e-41,2.4410837734800001e-17,2.4410837734800001e-17
6,-9.8333333333299999e-01,-9.1666666666600005e-01,5.0000000000000003e-02,3.1250000000000001e-05,1.4097190443128556e-204,2.8420166959300002e-17,7.8449958138696397e-41,2.8420166959300002e-17,2.8420166959300002e-17
7,-9.9166666666699999e-01,-9.0833333333300004e-01,5.0000000000000003e-02,3.1250000000000001e-05,4.3524457931244063e-204,2.7758851702000003e-17,9.8290801620813034e-41,2.7758851702000003e-17,2.7758851702000003e-17
8,-9.9166666666699999e-01,-8.9166666666600003e-01,5.0000000000000003e-02,3.1250000000000001e-05,7.3170946041034083e-201,6.0105607260600000e-17,4.3414413348454667e-40,6.0105607260600000e-17,6.0105607260600000e-17
9,-9.8333333333299999e-01,-8.8333333333300001e-01,5.0000000000000003e-02,3.1250000000000001e-05,3.9842186582217903e-198,3.9982969560700000e-16,1.5305052927941591e-39,3.9982969560700000e-16,3.9982969560700000e-16
10,-9.8333333333299999e-01,-8.6666666666600001e-01,5.0000000000000003e-02,3.1250000000000001e-05,5.8660852411809606e-195,4.5952186930599999e-16,6.5831822254154892e-39,4.5952186930599999e-16,4.5952186930599999e-16
11,-9.9166666666699999e-01,-8.5833333333299999e-01,5.0000000000000003e-02,3.1250000000000001e-05,1.5861676167182420e-194,4.4454235869100000e-16,8.0322278321851191e-39,4.4454235869100000e-16,4.4454235869100000e-16
12,-9.9166666666699999e-01,-8.4166666666599999e-01,5.0000000000000003e-02,3.1250000000000001e-05,2.0452866751479181e-191,9.3972088416899997e-16,3.3644729472504631e-38,9.3972088416899997e-16,9.3972088416899997e-16
13,-9.8333333333299999e-01,-8.3333333333299997e-01,5.0000000000000003e-02,3.1250000000000001e-05,9.7534573485520101e-189,5.0812226255299998e-15,1.1550423834757570e-37,5.0812226255299998e-15,5.0812226255299998e-15
14,-9.8333333333299999e-01,-8.1666666666599996e-01,5.0000000000000003e-02,3.1250000000000001e-05,1.1014470001783805e-185,5.7822488655900000e-15,4.7114970519768012e-37,5.7822488655900000e-15,5.7822488655900000e-15
15,-9.9166666666699999e-01,-8.0833333333299995e-01,5.0000000000000003e-02,3.1250000000000001e-05,2.6083401072678575e-185,5.5628971190999999e-15,5.5980793063607849e-37,5.5628971190999999e-15,5.5628971190999999e-15
16,-9.9166666666699999e-01,-7.9166666666600005e-01,5.0000000000000003e-02,3.1250000000000001e-05,2.5796996220467243e-182,1.1475910765500000e-14,2.2237196350512737e-36,1.1475910765500000e-14,1.1475910765500000e-14
17,-9.8333333333299999e-01,-7.8333333333300004e-01,5.0000000000000003e-02,3.1250000000000001e-05,1.0773912536862367e-179,5.2226123339299999e-14,7.4343138576029879e-36,5.2226123339299999e-14,5.2226123339299999e-14
18,-9.8333333333299999e-01,-7.6666666666600003e-01,5.0000000000000003e-02,3.1250000000000001e-05,9.3320760994137754e-177,5.8969645162899999e-14,2.8758210425798980e-35,5.8969645162899999e-14,5.8969645162899999e-14
19,-9.9166666666699999e-01,-7.5833333333300001e-01,5.0000000000000003e-02,3.1250000000000001e-05,1.9354358978104204e-176,5.6586875841800000e-14,3.3275298588508016e-35,5.6586875841800000e-14,5.6586875841800000e-14
20,-9.9166666666699999e-01,-7.4166666666600001e-01,5.0000000000000003e-02,3.1250000000000001e-05,1.4681942650957395e-173,1.1386710069500000e-13,1.2534958702929990e-34,1.1386710069500000e-13,1.1386710069500000e-13
21,-9.8333333333299999e-01,-7.3333333333299999e-01,5.0000000000000003e-02,3.1250000000000001e-05,5.3701662926860175e-171,4.4702502119200001e-13,4.0809732651567595e-34,4.4702502119200001e-13,4.4702502119200001e-13
22,-9.8333333333299999e-01,-7.1666666666599999e-01,5.0000000000000003e-02,3.1250000000000001e-05,3.5677332105212070e-168,5.0161959557200000e-13,1.4970788573422104e-33,5.0161959557200000e-13,5.0161959557200000e-13
23,-9.9166666666699999e-01,-7.0833333333299997e-01,5.0000000000000003e-02,3.1250000000000001e-05,6.4802654584884946e-168,4.8122430396600005e-13,1.6868822256202196e-33,4.8122430396600005e-13,4.8122430396600005e-13
24,-9.9166666666699999e-01,-6.9166666666599996e-01,5.0000000000000003e-02,3.1250000000000001e-05,3.7704860548280865e-165,9.4405632031299999e-13,6.0262295483815254e-33,9.4405632031299999e-13,9.4405632031299999e-13
25,-9.8333333333299999e-01,-6.8333333333199997e-01,5.0000000000000003e-02,3.1250000000000001e-05,1.2078178826089285e-162,3.2563844776700001e-12,1.9105855724197972e-32,3.2563844776700001e-12,3.2563844776700001e-12
26,-9.8333333333299999e-01,-6.6666666666600005e-01,5.0000000000000003e-02,3.1250000000000001e-05,6.1546860246612264e-160,3.6360918746200002e-12,6.6467199895013330e-32,3.6360918746200002e-12,3.6360918746200002e-12
27,-9.9166666666699999e-01,-6.5833333333199995e-01,5.0000000000000003e-02,3.1250000000000001e-05,9.7905307082642988e-160,3.4939827941099999e-12,7.2933566203828080e-32,3.4939827941099999e-12,3.4939827941099999e-12
28,-9.9166666666699999e-01,-6.4166666666600003e-01,5.0000000000000003e-02,3.1250000000000001e-05,4.3692871413464423e-157,6.6786620515100001e-12,2.4708610318797813e-31,6.6786620515100001e-12,6.6786620515100001e-12
