cell,x,y,initial,numerical,exact,error,absError
0,-9.4999999999999996e-01,-9.4999999999999996e-01,9.9707777040060102e-207,1.0575350733999999e-03,2.9141507190171133e-41,1.0575350733999999e-03,1.0575350733999999e-03
1,-8.4999999999999998e-01,-9.4999999999999996e-01,2.7564459012311134e-194,3.2121275562999999e-03,8.9709016923650115e-39,3.2121275562999999e-03,3.2121275562999999e-03
2,-7.5000000000000000e-01,-9.4999999999999996e-01,3.1591310472394186e-183,5.7293390334700002e-03,1.4610992948715861e-36,5.7293390334700002e-03,5.7293390334700002e-03
3,-6.4999999999999991e-01,-9.4999999999999996e-01,1.5010098390966310e-173,7.8955390708600002e-03,1.2590498065435922e-34,7.8955390708600002e-03,7.8955390708600002e-03
4,-5.5000000000000004e-01,-9.4999999999999996e-01,2.9566312669428584e-165,9.2944883757399999e-03,5.7401816483866348e-33,9.2944883757399999e-03,9.2944883757399999e-03
5,-4.4999999999999996e-01,-9.4999999999999996e-01,2.4143960981695767e-158,9.8050560689300001e-03,1.3846114125836846e-31,9.8050560689300001e-03,9.8050560689300001e-03
6,-3.4999999999999998e-01,-9.4999999999999996e-01,8.1736795054040157e-153,9.5285410878300000e-03,1.7670536025453885e-30,9.5285410878300000e-03,9.5285410878300000e-03
7,-2.5000000000000000e-01,-9.4999999999999996e-01,1.1471611163442812e-148,8.7098320662999992e-03,1.1931391228990730e-29,8.7098320662999992e-03,8.7098320662999992e-03
8,-1.4999999999999991e-01,-9.4999999999999996e-01,6.6746571093193706e-146,7.6424145315000004e-03,4.2623783263360165e-29,7.6424145315000004e-03,7.6424145315000004e-03
9,-4.9999999999999933e-02,-9.4999999999999996e-01,1.6100198521145835e-144,6.5651223435399999e-03,8.0562409908885737e-29,6.5651223435399999e-03,6.5651223435399999e-03
10,5.0000000000000044e-02,-9.4999999999999996e-01,1.6100198521145835e-144,5.5596044314500000e-03,8.0562409908885737e-29,5.5596044314500000e-03,5.5596044314500000e-03
11,1.5000000000000013e-01,-9.4999999999999996e-01,6.6746571093193706e-146,4.6402765841700002e-03,4.2623783263360165e-29,4.6402765841700002e-03,4.6402765841700002e-03
12,2.5000000000000000e-01,-9.4999999999999996e-01,1.1471611163442812e-148,3.8036312121400000e-03,1.1931391228990730e-29,3.8036312121400000e-03,3.8036312121400000e-03
13,3.5000000000000009e-01,-9.4999999999999996e-01,8.1736795054040157e-153,3.0302895866599999e-03,1.7670536025453885e-30,3.0302895866599999e-03,3.0302895866599999e-03
14,4.5000000000000018e-01,-9.4999999999999996e-01,2.4143960981695767e-158,2.3196882661799998e-03,1.3846114125836846e-31,2.3196882661799998e-03,2.3196882661799998e-03
15,5.5000000000000004e-01,-9.4999999999999996e-01,2.9566312669428584e-165,1.6911047980499999e-03,5.7401816483867162e-33,1.6911047980499999e-03,1.6911047980499999e-03
