time,step,deltaT,maxCo,residualIntegral,minT,maxT,amplitude
0.001,1.0,0.001,0.0196,,7.52107708327e-217,22.8552736331,11.42763681655
0.002,2.0,0.001,0.0196,,8.89250634555e-217,22.8503929252,11.4251964626
0.003,3.0,0.001,0.0196,,1.05134396826e-216,22.8450188764,11.4225094382
0.004,4.0,0.001,0.0196,,1.24291686504e-216,22.839156424,11.419578212
0.005,5.0,0.001,0.0196,,1.46931886355e-216,22.8328104694,11.4164052347
0.006,6.0,0.001,0.0196,,1.73686817167e-216,22.8259858777,11.41299293885
0.007,7.0,0.001,0.0196,,2.05302670072e-216,22.8186874782,11.4093437391
0.008,8.0,0.001,0.0196,,2.42660666303e-216,22.8109200648,11.4054600324
0.009000000000000001,9.0,0.001,0.0196,,2.86801441328e-216,22.8026883956,11.4013441978
0.01,10.0,0.001,0.0196,,3.38953823441e-216,22.7939971938,11.3969985969
0.011,11.0,0.001,0.0196,,4.00568797199e-216,22.7848511477,11.39242557385
0.012,12.0,0.001,0.0196,,4.73359584006e-216,22.7752549108,11.3876274554
0.013000000000000001,13.0,0.001,0.0196,,5.59348939451e-216,22.7652131021,11.38260655105
0.014,14.0,0.001,0.0196,,6.60924964295e-216,22.7547303064,11.3773651532
0.015,15.0,0.001,0.0196,,7.80906958636e-216,22.7438110745,11.37190553725
0.016,16.0,0.001,0.0196,,9.22623123038e-216,22.7324599231,11.36622996155
0.017,17.0,0.001,0.0196,,1.09000223378e-215,22.7206813357,11.36034066785
0.018000000000000002,18.0,0.001,0.0196,,1.28768180062e-215,22.7084797621,11.35423988105
0.019,19.0,0.001,0.0196,,1.52113566483e-215,22.6958596192,11.3479298096
0.02,20.0,0.001,0.0196,,1.79682452521e-215,22.6828252906,11.3414126453
0.021,21.0,0.001,0.0196,,2.12237350417e-215,22.6693811274,11.3346905637
0.022,22.0,0.001,0.0196,,2.50678160212e-215,22.6555314482,11.3277657241
0.023,23.0,0.001,0.0196,,2.96066875645e-215,22.6412805392,11.3206402696
0.024,24.0,0.001,0.0196,,3.49656724369e-215,22.6266326543,11.31331632715
0.025,25.0,0.001,0.0196,,4.12926536919e-215,22.6115920159,11.30579600795
0.026000000000000002,26.0,0.001,0.0196,,4.8762128094e-215,22.5961628144,11.2980814072
0.027,27.0,0.001,0.0196,,5.75799864578e-215,22.5803492088,11.2901746044
0.028,28.0,0.001,0.0196,,6.79891510305e-215,22.5641553268,11.2820776634
0.029,29.0,0.001,0.0196,,8.02762232929e-215,22.5475852651,11.27379263255
0.03,30.0,0.001,0.0196,,9.47793229557e-215,22.5306430894,11.2653215447
0.031,31.0,0.001,0.0196,,1.11897331216e-214,22.5133328348,11.2566664174
0.032,32.0,0.001,0.0196,,1.3210078938e-214,22.4956585059,11.24782925295
0.033,33.0,0.001,0.0196,,1.55944748785e-214,22.4776240771,11.23881203855
0.034,34.0,0.001,0.0196,,1.84083920763e-214,22.4592334925,11.22961674625
0.035,35.0,0.001,0.0196,,2.17290537621e-214,22.4404906666,11.2202453333
0.036000000000000004,36.0,0.001,0.0196,,2.56475408903e-214,22.421399484,11.210699742
0.037,37.0,0.001,0.0196,,3.02712743574e-214,22.4019637998,11.2009818999
0.038,38.0,0.001,0.0196,,3.57269410489e-214,22.3821874401,11.19109372005
0.039,39.0,0.001,0.0196,,4.21639429371e-214,22.3620742014,11.1810371007
0.04,40.0,0.001,0.0196,,4.9758462567e-214,22.3416278518,11.1708139259
0.041,41.0,0.001,0.0196,,5.87182548976e-214,22.3208521302,11.1604260651
0.042,42.0,0.001,0.0196,,6.92882950521e-214,22.2997507473,11.14987537365
0.043000000000000003,43.0,0.001,0.0196,,8.17574345977e-214,22.2783273853,11.13916369265
0.044,44.0,0.001,0.0196,,9.64662461502e-214,22.2565856982,11.1282928491
0.045,45.0,0.001,0.0196,,1.13816268093e-213,22.2345293121,11.11726465605
0.046,46.0,0.001,0.0196,,1.34280898889e-213,22.2121618254,11.1060809127
0.047,47.0,0.001,0.0196,,1.58418234851e-213,22.1894868085,11.09474340425
0.048,48.0,0.001,0.0196,,1.86886197485e-213,22.1665078049,11.08325390245
0.049,49.0,0.001,0.0196,,2.20460358082e-213,22.1432283303,11.07161416515
0.05,50.0,0.001,0.0196,,2.60054939706e-213,22.1196518738,11.0598259369
0.051000000000000004,51.0,0.001,0.0196,,3.06747562045e-213,22.0957818974,11.0478909487
0.052000000000000005,52.0,0.001,0.0196,,3.61808395084e-213,22.0716218362,11.0358109181
0.053,53.0,0.001,0.0196,,4.26734505877e-213,22.0471750991,11.02358754955
0.054,54.0,0.001,0.0196,,5.03290321961e-213,22.0224450685,11.01122253425
0.055,55.0,0.001,0.0196,,5.93555298961e-213,21.9974351005,10.99871755025
0.056,56.0,0.001,0.0196,,6.99980073018e-213,21.9721485252,10.9860742626
0.057,57.0,0.001,0.0196,,8.25452605946e-213,21.9465886471,10.97329432355
0.058,58.0,0.001,0.0196,,9.73376098616e-213,21.9207587448,10.9603793724
0.059000000000000004,59.0,0.001,0.0196,,1.14776076305e-212,21.8946620714,10.9473310357
0.06,60.0,0.001,0.0196,,1.35333191446e-212,21.8683018547,10.93415092735
0.061,61.0,0.001,0.0196,,1.59565728109e-212,21.8416812974,10.9208406487
0.062,62.0,0.001,0.0196,,1.88129694311e-212,21.8148035771,10.90740178855
0.063,63.0,0.001,0.0196,,2.21797991695e-212,21.7876718467,10.89383592335
0.064,64.0,0.001,0.0196,,2.61481211291e-212,21.7602892342,10.8801446171
0.065,65.0,0.001,0.0196,,3.08252123159e-212,21.7326588434,10.8663294217
0.066,66.0,0.001,0.0196,,3.63374515057e-212,21.7047837535,10.85239187675
0.067,67.0,0.001,0.0196,,4.28337151327e-212,21.6766670197,10.83833350985
0.068,68.0,0.001,0.0196,,5.04893759705e-212,21.648311673,10.8241558365
0.069,69.0,0.001,0.0196,,5.95110114467e-212,21.6197207208,10.8098603604
0.07,70.0,0.001,0.0196,,7.01419473452e-212,21.5908971465,10.79544857325
0.07100000000000001,71.0,0.001,0.0196,,8.26687848963e-212,21.5618439102,10.7809219551
0.07200000000000001,72.0,0.001,0.0196,,9.74290854458e-212,21.5325639485,10.76628197425
0.073,73.0,0.001,0.0196,,1.14820417701e-211,21.5030601749,10.75153008745
0.074,74.0,0.001,0.0196,,1.35311008803e-211,21.4733354797,10.73666773985
0.075,75.0,0.001,0.0196,,1.59452283142e-211,21.4433927302,10.7216963651
0.076,76.0,0.001,0.0196,,1.87893622993e-211,21.4132347712,10.7066173856
0.077,77.0,0.001,0.0196,,2.21399744137e-211,21.3828644248,10.6914322124
0.078,78.0,0.001,0.0196,,2.60871149062e-211,21.3522844905,10.67614224525
0.079,79.0,0.001,0.0196,,3.07368202091e-211,21.3214977456,10.6607488728
0.08,80.0,0.001,0.0196,,3.6213946693e-211,21.2905069452,10.6452534726
