time,step,deltaT,maxCo,residualIntegral,minT,maxT,amplitude
0.001,1.0,0.001,0.18,,7.15939807183e-222,49.5225099945,24.76125499725
0.002,2.0,0.001,0.18,,8.4766569763e-222,49.4876500546,24.7438250273
0.003,3.0,0.001,0.18,,1.00357178975e-221,49.4484302065,24.72421510325
0.004,4.0,0.001,0.18,,1.18808669482e-221,49.4048543935,24.70242719675
0.005,5.0,0.001,0.18,,1.40644834139e-221,49.3569486351,24.67847431755
0.006,6.0,0.001,0.18,,1.66485155897e-221,49.304756723,24.6523783615
0.007,7.0,0.001,0.18,,1.97062251832e-221,49.2483365475,24.62416827375
0.008,8.0,0.001,0.18,,2.33242490564e-221,49.1877569748,24.5938784874
0.009000000000000001,9.0,0.001,0.18,,2.76050359203e-221,49.1230952031,24.56154760155
0.01,10.0,0.001,0.18,,3.26697260342e-221,49.0544345355,24.52721726775
0.011,11.0,0.001,0.18,,3.86615542887e-221,48.9818625153,24.49093125765
0.012,12.0,0.001,0.18,,4.57498716093e-221,48.9054693741,24.45273468705
0.013000000000000001,13.0,0.001,0.18,,5.41348968012e-221,48.8253467507,24.41267337535
0.014,14.0,0.001,0.18,,6.40533312498e-221,48.7415866435,24.37079332175
0.015,15.0,0.001,0.18,,7.57849928507e-221,48.6542805628,24.3271402814
0.016,16.0,0.001,0.18,,8.96606538238e-221,48.5635188554,24.2817594277
0.017,17.0,0.001,0.18,,1.06071300462e-220,48.4693901756,24.2346950878
0.018000000000000002,18.0,0.001,0.18,,1.25479072282e-220,48.37198108,24.18599054
0.019,19.0,0.001,0.18,,1.48430184568e-220,48.2713757283,24.13568786415
0.02,20.0,0.001,0.18,,1.75570193245e-220,48.1676556727,24.08382783635
0.021,21.0,0.001,0.18,,2.07662025825e-220,48.0608997212,24.0304498606
0.022,22.0,0.001,0.18,,2.45607278696e-220,47.9511838621,23.97559193105
0.023,23.0,0.001,0.18,,2.90471371364e-220,47.8385812399,23.91929061995
0.024,24.0,0.001,0.18,,3.4351325479e-220,47.7231621719,23.86158108595
0.025,25.0,0.001,0.18,,4.06220496811e-220,47.6049941981,23.80249709905
0.026000000000000002,26.0,0.001,0.18,,4.80350716047e-220,47.4841421573,23.74207107865
0.027,27.0,0.001,0.18,,5.6798051087e-220,47.3606682837,23.68033414185
0.028,28.0,0.001,0.18,,6.71563236741e-220,47.2346323187,23.61731615935
0.029,29.0,0.001,0.18,,7.93997229103e-220,47.1060916336,23.5530458168
0.03,30.0,0.001,0.18,,9.38706356833e-220,46.97510136,23.48755068
0.031,31.0,0.001,0.18,,1.1097351308e-219,46.9190383599,23.45951917995
0.032,32.0,0.001,0.18,,1.31186099272e-219,46.8651474091,23.43257370455
0.033,33.0,0.001,0.18,,1.55072688207e-219,46.8077633991,23.40388169955
0.034,34.0,0.001,0.18,,1.8329977366e-219,46.7469543543,23.37347717715
0.035,35.0,0.001,0.18,,2.16654523955e-219,46.6827864048,23.3413932024
0.036000000000000004,36.0,0.001,0.18,,2.56066590272e-219,46.6153238565,23.30766192825
0.037,37.0,0.001,0.18,,3.02633849006e-219,46.5446292607,23.27231463035
0.038,38.0,0.001,0.18,,3.57652786586e-219,46.470763484,23.235381742
0.039,39.0,0.001,0.18,,4.22654362513e-219,46.3937857784,23.1968928892
0.04,40.0,0.001,0.18,,4.99446336618e-219,46.3137538514,23.1568769257
0.041,41.0,0.001,0.18,,5.90163223645e-219,46.2307239347,23.11536196735
