cell,x,y,numerical,exact,error,absError
0,2.5000000000000001e-02,2.5000000000000001e-02,-6.4775298961300001e-18,1.5829402580081608e-35,-6.4775298961300001e-18,6.4775298961300001e-18
1,7.5000000000000011e-02,2.5000000000000001e-02,-6.4775298961300001e-18,3.0109312945691832e-35,-6.4775298961300001e-18,6.4775298961300001e-18
2,1.2500000000000000e-01,2.5000000000000001e-02,-6.4775298961300001e-18,4.1441913976258879e-35,-6.4775298961300001e-18,6.4775298961300001e-18
3,1.7500000000000002e-01,2.5000000000000001e-02,-6.4775298961300001e-18,4.8717891724036582e-35,-6.4775298961300001e-18,6.4775298961300001e-18
4,2.2500000000000001e-01,2.5000000000000001e-02,-6.4775298961300001e-18,5.1225022792354564e-35,-6.4775298961300001e-18,6.4775298961300001e-18
5,2.7500000000000002e-01,2.5000000000000001e-02,-6.4775298961300001e-18,4.8717891724036561e-35,-6.4775298961300001e-18,6.4775298961300001e-18
6,3.2500000000000001e-01,2.5000000000000001e-02,-6.4775298961300001e-18,4.1441913976258858e-35,-6.4775298961300001e-18,6.4775298961300001e-18
7,3.7500000000000000e-01,2.5000000000000001e-02,-6.4775298961300001e-18,3.0109312945691795e-35,-6.4775298961300001e-18,6.4775298961300001e-18
8,4.2500000000000004e-01,2.5000000000000001e-02,-6.4775298961300001e-18,1.5829402580081480e-35,-6.4775298961300001e-18,6.4775298961300001e-18
9,4.7500000000000003e-01,2.5000000000000001e-02,-6.4775298961300001e-18,-1.8819768059672166e-50,-6.4775298961300001e-18,6.4775298961300001e-18
10,5.2500000000000002e-01,2.5000000000000001e-02,-6.4775298961300001e-18,-1.5829402580081603e-35,-6.4775298961300001e-18,6.4775298961300001e-18
11,5.7500000000000007e-01,2.5000000000000001e-02,-6.4775298961300001e-18,-3.0109312945691827e-35,-6.4775298961300001e-18,6.4775298961300001e-18
12,6.2500000000000000e-01,2.5000000000000001e-02,-6.4775298961300001e-18,-4.1441913976258879e-35,-6.4775298961300001e-18,6.4775298961300001e-18
13,6.7500000000000004e-01,2.5000000000000001e-02,-6.4775298961300001e-18,-4.8717891724036603e-35,-6.4775298961300001e-18,6.4775298961300001e-18
14,7.2500000000000009e-01,2.5000000000000001e-02,-6.4775298961300001e-18,-5.1225022792354564e-35,-6.4775298961300001e-18,6.4775298961300001e-18
15,7.7500000000000002e-01,2.5000000000000001e-02,-6.4775298961300001e-18,-4.8717891724036571e-35,-6.4775298961300001e-18,6.4775298961300001e-18
16,8.2500000000000007e-01,2.5000000000000001e-02,-6.4775298961300001e-18,-4.1441913976258831e-35,-6.4775298961300001e-18,6.4775298961300001e-18
17,8.7500000000000000e-01,2.5000000000000001e-02,-6.4775298961300001e-18,-3.0109312945691837e-35,-6.4775298961300001e-18,6.4775298961300001e-18
18,9.2500000000000004e-01,2.5000000000000001e-02,-6.4775298961300001e-18,-1.5829402580081528e-35,-6.4775298961300001e-18,6.4775298961300001e-18
19,9.7500000000000009e-01,2.5000000000000001e-02,-6.4775298961300001e-18,1.2546512039781446e-50,-6.4775298961300001e-18,6.4775298961300001e-18
20,2.5000000000000001e-02,7.5000000000000011e-02,-6.4775298961300001e-18,3.0109312945691832e-35,-6.4775298961300001e-18,6.4775298961300001e-18
21,7.5000000000000011e-02,7.5000000000000011e-02,-6.4775298961300001e-18,4.1441913976258879e-35,-6.4775298961300001e-18,6.4775298961300001e-18
22,1.2500000000000000e-01,7.5000000000000011e-02,-6.4775298961300001e-18,4.8717891724036582e-35,-6.4775298961300001e-18,6.4775298961300001e-18
23,1.7500000000000002e-01,7.5000000000000011e-02,-6.4775298961300001e-18,5.1225022792354564e-35,-6.4775298961300001e-18,6.4775298961300001e-18
24,2.2500000000000001e-01,7.5000000000000011e-02,-6.4775298961300001e-18,4.8717891724036561e-35,-6.4775298961300001e-18,6.4775298961300001e-18
25,2.7500000000000002e-01,7.5000000000000011e-02,-6.4775298961300001e-18,4.1441913976258858e-35,-6.4775298961300001e-18,6.4775298961300001e-18
26,3.2500000000000001e-01,7.5000000000000011e-02,-6.4775298961300001e-18,3.0109312945691795e-35,-6.4775298961300001e-18,6.4775298961300001e-18
27,3.7500000000000000e-01,7.5000000000000011e-02,-6.4775298961300001e-18,1.5829402580081565e-35,-6.4775298961300001e-18,6.4775298961300001e-18
28,4.2500000000000004e-01,7.5000000000000011e-02,-6.4775298961300001e-18,-1.8819768059672166e-50,-6.4775298961300001e-18,6.4775298961300001e-18
