cell,x,y,z,volume,initial,numerical,exact,error,absError
0,1.6666666666600001e-02,1.6666666666700001e-02,5.0000000000000003e-02,1.2500000000000000e-04,2.0791169081755451e-01,-5.4035158226900002e-14,1.0650281100926189e-35,-5.4035158226900002e-14,5.4035158226900002e-14
1,3.3333333333299998e-02,3.3333333333499998e-02,5.0000000000000003e-02,1.2500000000000000e-04,4.0673664307656548e-01,-5.4035158226900002e-14,2.0835093812082934e-35,-5.4035158226900002e-14,5.4035158226900002e-14
2,3.3333333333299998e-02,6.6666666666900007e-02,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525229348977e-01,-5.4035158226900002e-14,3.0109312945743881e-35,-5.4035158226900002e-14,5.4035158226900002e-14
3,1.6666666666600001e-02,8.3333333333699994e-02,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525229399792e-01,-5.4035158226900002e-14,3.0109312945769936e-35,-5.4035158226900002e-14,5.4035158226900002e-14
4,1.6666666666600001e-02,1.1666666666700000e-01,5.0000000000000003e-02,1.2500000000000000e-04,7.4314482547851535e-01,-5.4035158226900002e-14,3.8067610623157287e-35,-5.4035158226900002e-14,5.4035158226900002e-14
5,3.3333333333299998e-02,1.3333333333399999e-01,5.0000000000000003e-02,1.2500000000000000e-04,8.6602540378642823e-01,-5.4035158226900002e-14,4.4362171047717874e-35,-5.4035158226900002e-14,5.4035158226900002e-14
6,3.3333333333299998e-02,1.6666666666700000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629573607e-01,-5.4035158226900002e-14,4.8717891724066410e-35,-5.4035158226900002e-14,5.4035158226900002e-14
7,1.6666666666700001e-02,1.8333333333400001e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629651267e-01,-5.4035158226900002e-14,4.8717891724106202e-35,-5.4035158226900002e-14,5.4035158226900002e-14
8,1.6666666666700001e-02,2.1666666666800000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.9452189536917091e-01,-5.4035158226900002e-14,5.0944406757781453e-35,-5.4035158226900002e-14,5.4035158226900002e-14
9,3.3333333333299998e-02,2.3333333333400000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.9452189536785740e-01,-5.4035158226900002e-14,5.0944406757714164e-35,-5.4035158226900002e-14,5.4035158226900002e-14
10,3.3333333333299998e-02,2.6666666666799999e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629262955e-01,-5.4035158226900002e-14,4.8717891723907252e-35,-5.4035158226900002e-14,5.4035158226900002e-14
11,1.6666666666700001e-02,2.8333333333400001e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629379440e-01,-5.4035158226900002e-14,4.8717891723966908e-35,-5.4035158226900002e-14,5.4035158226900002e-14
12,1.6666666666700001e-02,3.1666666666799997e-01,5.0000000000000003e-02,1.2500000000000000e-04,8.6602540378014503e-01,-5.4035158226900002e-14,4.4362171047396004e-35,-5.4035158226900002e-14,5.4035158226900002e-14
13,3.3333333333299998e-02,3.3333333333499998e-01,5.0000000000000003e-02,1.2500000000000000e-04,7.4314482547052729e-01,-5.4035158226900002e-14,3.8067610622748097e-35,-5.4035158226900002e-14,5.4035158226900002e-14
14,3.3333333333299998e-02,3.6666666666800002e-01,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525228586465e-01,-5.4035158226900002e-14,3.0109312945353310e-35,-5.4035158226900002e-14,5.4035158226900002e-14
15,1.6666666666700001e-02,3.8333333333500003e-01,5.0000000000000003e-02,1.2500000000099999e-04,5.8778525228383161e-01,-5.4035158226900002e-14,3.0109312945249147e-35,-5.4035158226900002e-14,5.4035158226900002e-14
16,1.6666666666700001e-02,4.1666666666800001e-01,5.0000000000000003e-02,1.2500000000099999e-04,4.0673664306795548e-01,-5.4035158226900002e-14,2.0835093811641741e-35,-5.4035158226900002e-14,5.4035158226900002e-14
17,3.3333333333400002e-02,4.3333333333500001e-01,5.0000000000000003e-02,1.2500000000099999e-04,2.0791169080710645e-01,-5.4035158226900002e-14,1.0650281100390956e-35,-5.4035158226900002e-14,5.4035158226900002e-14
18,3.3333333333400002e-02,4.6666666666800000e-01,5.0000000000000003e-02,1.2500000000099999e-04,-8.7963966040301261e-12,-5.4035158226900002e-14,-4.5062070955611302e-46,-5.4035158226900002e-14,5.4035158226900002e-14
19,1.6666666666700001e-02,4.8333333333500000e-01,5.0000000000000003e-02,1.2500000000099999e-04,-1.0681111210633792e-11,-5.4035158226900002e-14,-5.4716525823646939e-46,-5.4035158226900002e-14,5.4035158226900002e-14
20,1.6666666666700001e-02,5.1666666666899996e-01,5.0000000000000003e-02,1.2499999999899999e-04,-2.0791169083230443e-01,-5.4035158226900002e-14,-1.0650281101681750e-35,-5.4035158226900002e-14,5.4035158226900002e-14
