cell,x,y,initial,numerical,exact,error,absError
0,2.5000000000000001e-02,2.5000000000000001e-02,0.0000000000000000e+00,9.9689439700059668e-01,9.9384417029756889e-01,3.0502267030277919e-03,3.0502267030277919e-03
1,7.5000000000000011e-02,2.5000000000000001e-02,0.0000000000000000e+00,9.7232640154261762e-01,9.6937242844514560e-01,2.9539730974720291e-03,2.9539730974720291e-03
2,1.2500000000000000e-01,2.5000000000000001e-02,0.0000000000000000e+00,9.2382688681096070e-01,9.2103152024176071e-01,2.7953665691999863e-03,2.7953665691999863e-03
3,1.7500000000000002e-01,2.5000000000000001e-02,0.0000000000000000e+00,8.5258510084405159e-01,8.5001175928165762e-01,2.5733415623939715e-03,2.5733415623939715e-03
4,2.2500000000000001e-01,2.5000000000000001e-02,0.0000000000000000e+00,7.6035306996491858e-01,7.5806188778074746e-01,2.2911821841711255e-03,2.2911821841711255e-03
5,2.7500000000000002e-01,2.5000000000000001e-02,0.0000000000000000e+00,6.4940069214949903e-01,6.4744601673951019e-01,1.9546754099888375e-03,1.9546754099888375e-03
6,3.2500000000000001e-01,2.5000000000000001e-02,0.0000000000000000e+00,5.2245928006782205e-01,5.2088787601601005e-01,1.5714040518119976e-03,1.5714040518119976e-03
7,3.7500000000000000e-01,2.5000000000000001e-02,0.0000000000000000e+00,3.8265408710875271e-01,3.8150374705724716e-01,1.1503400515055495e-03,1.1503400515055495e-03
8,4.2500000000000004e-01,2.5000000000000001e-02,0.0000000000000000e+00,2.3342724982377061e-01,2.3272572970758898e-01,7.0152011618163090e-04,7.0152011618163090e-04
9,4.7500000000000003e-01,2.5000000000000001e-02,0.0000000000000000e+00,7.8452973870774378e-02,7.8217232520115490e-02,2.3574135065888846e-04,2.3574135065888846e-04
10,5.2500000000000002e-01,2.5000000000000001e-02,0.0000000000000000e+00,-7.8452973872129836e-02,-7.8217232520115365e-02,-2.3574135201447077e-04,2.3574135201447077e-04
11,5.7500000000000007e-01,2.5000000000000001e-02,0.0000000000000000e+00,-2.3342724982509239e-01,-2.3272572970758929e-01,-7.0152011750310161e-04,7.0152011750310161e-04
12,6.2500000000000000e-01,2.5000000000000001e-02,0.0000000000000000e+00,-3.8265408711000948e-01,-3.8150374705724704e-01,-1.1503400527624330e-03,1.1503400527624330e-03
13,6.7500000000000004e-01,2.5000000000000001e-02,0.0000000000000000e+00,-5.2245928006898157e-01,-5.2088787601600994e-01,-1.5714040529716256e-03,1.5714040529716256e-03
14,7.2500000000000009e-01,2.5000000000000001e-02,0.0000000000000000e+00,-6.4940069215053298e-01,-6.4744601673951052e-01,-1.9546754110224551e-03,1.9546754110224551e-03
15,7.7500000000000002e-01,2.5000000000000001e-02,0.0000000000000000e+00,-7.6035306996580210e-01,-7.5806188778074746e-01,-2.2911821850546410e-03,2.2911821850546410e-03
16,8.2500000000000007e-01,2.5000000000000001e-02,0.0000000000000000e+00,-8.5258510084476136e-01,-8.5001175928165762e-01,-2.5733415631037371e-03,2.5733415631037371e-03
17,8.7500000000000000e-01,2.5000000000000001e-02,0.0000000000000000e+00,-9.2382688681147851e-01,-9.2103152024176071e-01,-2.7953665697177943e-03,2.7953665697177943e-03
18,9.2500000000000004e-01,2.5000000000000001e-02,0.0000000000000000e+00,-9.7232640154293315e-01,-9.6937242844514560e-01,-2.9539730977875545e-03,2.9539730977875545e-03
19,9.7500000000000009e-01,2.5000000000000001e-02,0.0000000000000000e+00,-9.9689439700070104e-01,-9.9384417029756889e-01,-3.0502267031321528e-03,3.0502267031321528e-03
20,2.5000000000000001e-02,7.5000000000000011e-02,0.0000000000000000e+00,9.7232640154261063e-01,9.6937242844514560e-01,2.9539730974650347e-03,2.9539730974650347e-03
21,7.5000000000000011e-02,7.5000000000000011e-02,0.0000000000000000e+00,9.4833427117578661e-01,9.4550326209418389e-01,2.8310090816027200e-03,2.8310090816027200e-03
22,1.2500000000000000e-01,7.5000000000000011e-02,0.0000000000000000e+00,9.0101278291695697e-01,8.9835266748504250e-01,2.6601154319144671e-03,2.6601154319144671e-03
23,1.7500000000000002e-01,7.5000000000000011e-02,0.0000000000000000e+00,8.3151881973427433e-01,8.2908164874085044e-01,2.4371709934238872e-03,2.4371709934238872e-03
24,2.2500000000000001e-01,7.5000000000000011e-02,0.0000000000000000e+00,7.4155877091128664e-01,7.3939588824042046e-01,2.1628826708661730e-03,2.1628826708661730e-03
25,2.7500000000000002e-01,7.5000000000000011e-02,0.0000000000000000e+00,6.3334483377298989e-01,6.3150374705724699e-01,1.8410867157429012e-03,1.8410867157429012e-03
26,3.2500000000000001e-01,7.5000000000000011e-02,0.0000000000000000e+00,5.0953970528095571e-01,5.0806188778074746e-01,1.4778175002082561e-03,1.4778175002082561e-03
27,3.7500000000000000e-01,7.5000000000000011e-02,0.0000000000000000e+00,3.7319058561705781e-01,3.7210985866635204e-01,1.0807269507057682e-03,1.0807269507057682e-03
28,4.2500000000000004e-01,7.5000000000000011e-02,0.0000000000000000e+00,2.2765390599667859e-01,2.2699524986977324e-01,6.5865612690535480e-04,6.5865612690535480e-04
29,4.7500000000000003e-01,7.5000000000000011e-02,0.0000000000000000e+00,7.6512536234942127e-02,7.6291264667358333e-02,2.2127156758379452e-04,2.2127156758379452e-04
30,5.2500000000000002e-01,7.5000000000000011e-02,0.0000000000000000e+00,-7.6512536239022294e-02,-7.6291264667358208e-02,-2.2127157166408618e-04,2.2127157166408618e-04
31,5.7500000000000007e-01,7.5000000000000011e-02,0.0000000000000000e+00,-2.2765390600065899e-01,-2.2699524986977354e-01,-6.5865613088544883e-04,6.5865613088544883e-04
32,6.2500000000000000e-01,7.5000000000000011e-02,0.0000000000000000e+00,-3.7319058562084012e-01,-3.7210985866635193e-01,-1.0807269544881870e-03,1.0807269544881870e-03
33,6.7500000000000004e-01,7.5000000000000011e-02,0.0000000000000000e+00,-5.0953970528444648e-01,-5.0806188778074735e-01,-1.4778175036991303e-03,1.4778175036991303e-03
34,7.2500000000000009e-01,7.5000000000000011e-02,0.0000000000000000e+00,-6.3334483377610362e-01,-6.3150374705724732e-01,-1.8410867188562996e-03,1.8410867188562996e-03
35,7.7500000000000002e-01,7.5000000000000011e-02,0.0000000000000000e+00,-7.4155877091394562e-01,-7.3939588824042046e-01,-2.1628826735251572e-03,2.1628826735251572e-03
36,8.2500000000000007e-01,7.5000000000000011e-02,0.0000000000000000e+00,-8.3151881973641162e-01,-8.2908164874085044e-01,-2.4371709955611776e-03,2.4371709955611776e-03
37,8.7500000000000000e-01,7.5000000000000011e-02,0.0000000000000000e+00,-9.0101278291851972e-01,-8.9835266748504250e-01,-2.6601154334772170e-03,2.6601154334772170e-03
38,9.2500000000000004e-01,7.5000000000000011e-02,0.0000000000000000e+00,-9.4833427117673685e-01,-9.4550326209418389e-01,-2.8310090825529599e-03,2.8310090825529599e-03
39,9.7500000000000009e-01,7.5000000000000011e-02,0.0000000000000000e+00,-9.7232640154293093e-01,-9.6937242844514560e-01,-2.9539730977853340e-03,2.9539730977853340e-03
40,2.5000000000000001e-02,1.2500000000000000e-01,0.0000000000000000e+00,9.2382688681094915e-01,9.2103152024176071e-01,2.7953665691884400e-03,2.7953665691884400e-03
41,7.5000000000000011e-02,1.2500000000000000e-01,0.0000000000000000e+00,9.0101278291694797e-01,8.9835266748504250e-01,2.6601154319054743e-03,2.6601154319054743e-03
42,1.2500000000000000e-01,1.2500000000000000e-01,0.0000000000000000e+00,8.5603922674315258e-01,8.5355339059327373e-01,2.4858361498788506e-03,2.4858361498788506e-03
43,1.7500000000000002e-01,1.2500000000000000e-01,0.0000000000000000e+00,7.9000508481849108e-01,7.8773679644380534e-01,2.2682883746857341e-03,2.2682883746857341e-03
44,2.2500000000000001e-01,1.2500000000000000e-01,0.0000000000000000e+00,7.0453063560941587e-01,7.0252350801735020e-01,2.0071275920656717e-03,2.0071275920656717e-03
45,2.7500000000000002e-01,1.2500000000000000e-01,0.0000000000000000e+00,6.0171670594400406e-01,6.0001175928165751e-01,1.7049466623465515e-03,1.7049466623465515e-03
46,3.2500000000000001e-01,1.2500000000000000e-01,0.0000000000000000e+00,4.8409227244771591e-01,4.8272572970758920e-01,1.3665427401267083e-03,1.3665427401267083e-03
