cell,x,y,numerical,exact,error,absError
0,6.2500000000000003e-03,6.2500000000000003e-03,9.9980710695688535e-01,9.9961451812036139e-01,1.9258883652395475e-04,1.9258883652395475e-04
1,1.8750000000000003e-02,6.2500000000000003e-03,9.9826530868036434e-01,9.9807318498692543e-01,1.9212369343890590e-04,1.9212369343890590e-04
2,3.1250000000000000e-02,6.2500000000000003e-03,9.9518430211919617e-01,9.9499289534402713e-01,1.9140677516904514e-04,1.9140677516904514e-04
3,4.3750000000000004e-02,6.2500000000000003e-03,9.9056881935240371e-01,9.9037839877503198e-01,1.9042057737173046e-04,1.9042057737173046e-04
4,5.6250000000000001e-02,6.2500000000000003e-03,9.8442596896831103e-01,9.8423681049918399e-01,1.8915846912703760e-04,1.8915846912703760e-04
5,6.8750000000000006e-02,6.2500000000000003e-03,9.7676521839183239e-01,9.7657760040045349e-01,1.8761799137889668e-04,1.8761799137889668e-04
6,8.1250000000000003e-02,6.2500000000000003e-03,9.6759837718828090e-01,9.6741257842566186e-01,1.8579876261903827e-04,1.8579876261903827e-04
7,9.3750000000000000e-02,6.2500000000000003e-03,9.5693957806467833e-01,9.5675587637440040e-01,1.8370169027792649e-04,1.8370169027792649e-04
8,1.0625000000000001e-01,6.2500000000000003e-03,9.4480525472552890e-01,9.4462392610881885e-01,1.8132861671005251e-04,1.8132861671005251e-04
9,1.1875000000000001e-01,6.2500000000000003e-03,9.3121411635231244e-01,9.3103543421688539e-01,1.7868213542704403e-04,1.7868213542704403e-04
10,1.3125000000000001e-01,6.2500000000000003e-03,9.1618711865239155e-01,9.1601135316818405e-01,1.7576548420750182e-04,1.7576548420750182e-04
11,1.4375000000000002e-01,6.2500000000000003e-03,8.9974743148368330e-01,8.9957484900672446e-01,1.7258247695883799e-04,1.7258247695883799e-04
12,1.5625000000000000e-01,6.2500000000000003e-03,8.8192040308736819e-01,8.8175126563058248e-01,1.6913745678570624e-04,1.6913745678570624e-04
13,1.6875000000000001e-01,6.2500000000000003e-03,8.6273352097482492e-01,8.6256808571344468e-01,1.6543526138024234e-04,1.6543526138024234e-04
14,1.8125000000000002e-01,6.2500000000000003e-03,8.4221636952418444e-01,8.4205488832831865e-01,1.6148119586578691e-04,1.6148119586578691e-04
15,1.9375000000000001e-01,6.2500000000000003e-03,8.2040058434904450e-01,8.2024330333874629e-01,1.5728101029821584e-04,1.5728101029821584e-04
16,2.0625000000000002e-01,6.2500000000000003e-03,7.9731980350796816e-01,7.9716696262784614e-01,1.5284088012201824e-04,1.5284088012201824e-04
17,2.1875000000000000e-01,6.2500000000000003e-03,7.7300961562888948e-01,7.7286144824038794e-01,1.4816738850154110e-04,1.4816738850154110e-04
18,2.3125000000000001e-01,6.2500000000000003e-03,7.4750750502770191e-01,7.4736423751785830e-01,1.4326750984361425e-04,1.4326750984361425e-04
19,2.4375000000000002e-01,6.2500000000000003e-03,7.2085279390515622e-01,7.2071464531111640e-01,1.3814859403982194e-04,1.3814859403982194e-04
20,2.5625000000000003e-01,6.2500000000000003e-03,6.9308658171086845e-01,6.9295376335974457e-01,1.3281835112388674e-04,1.3281835112388674e-04
21,2.6874999999999999e-01,6.2500000000000003e-03,6.6425168176768468e-01,6.6412439693156267e-01,1.2728483612201025e-04,1.2728483612201025e-04
22,2.8125000000000000e-01,6.2500000000000003e-03,6.3439255525395855e-01,6.3427099882000881e-01,1.2155643394973215e-04,1.2155643394973215e-04
23,2.9375000000000001e-01,6.2500000000000003e-03,6.0355524264540505e-01,6.0343960080115355e-01,1.1564184425150170e-04,1.1564184425150170e-04
24,3.0625000000000002e-01,6.2500000000000003e-03,5.7178729272214868e-01,5.7167774265603766e-01,1.0955006611101936e-04,1.0955006611101936e-04
25,3.1875000000000003e-01,6.2500000000000003e-03,5.3913768925036254e-01,5.3903439886777549e-01,1.0329038258705125e-04,1.0329038258705125e-04
26,3.3125000000000004e-01,6.2500000000000003e-03,5.0565677545148546e-01,5.0555990310645182e-01,9.6872345033638396e-05,9.6872345033638396e-05
27,3.4375000000000000e-01,6.2500000000000003e-03,4.7139617637545889e-01,4.7130587061825102e-01,9.0305757207864712e-05,9.0305757207864712e-05
28,3.5625000000000001e-01,6.2500000000000003e-03,4.3640871929760411e-01,4.3632511863848739e-01,8.3600659116722653e-05,8.3600659116722653e-05
29,3.6875000000000002e-01,6.2500000000000003e-03,4.0074835226191130e-01,4.0067158495125887e-01,7.6767310652425813e-05,7.6767310652425813e-05
30,3.8125000000000003e-01,6.2500000000000003e-03,3.6447006089626438e-01,3.6440024472129129e-01,6.9816174973091893e-05,6.9816174973091893e-05
31,3.9375000000000004e-01,6.2500000000000003e-03,3.2762978362788669e-01,3.2756702572622010e-01,6.2757901666599114e-05,6.2757901666599114e-05
32,4.0625000000000000e-01,6.2500000000000003e-03,2.9028432542970328e-01,2.9022872212001077e-01,5.5603309692509040e-05,5.5603309692509040e-05
33,4.1875000000000001e-01,6.2500000000000003e-03,2.5249127023061452e-01,2.5244290686048976e-01,4.8363370124759886e-05,4.8363370124759886e-05
34,4.3125000000000002e-01,6.2500000000000003e-03,2.1430889212473081e-01,2.1426784293601678e-01,4.1049188714031848e-05,4.1049188714031848e-05
35,4.4375000000000003e-01,6.2500000000000003e-03,1.7579606551645541e-01,1.7576239352817952e-01,3.3671988275890685e-05,3.3671988275890685e-05
36,4.5625000000000004e-01,6.2500000000000003e-03,1.3701217433997021e-01,1.3698593124903422e-01,2.6243090935990088e-05,2.6243090935990088e-05
37,4.6875000000000000e-01,6.2500000000000003e-03,9.8017020493090745e-02,9.7998246592841454e-02,1.8773900249291486e-05,1.8773900249291486e-05
38,4.8125000000000001e-01,6.2500000000000003e-03,5.8870731626670933e-02,5.8859455743456725e-02,1.1275883214208193e-05,1.1275883214208193e-05
39,4.9375000000000002e-01,6.2500000000000003e-03,1.9633668431736390e-02,1.9629907879534253e-02,3.7605522021366689e-06,3.7605522021366689e-06
40,5.0624999999999998e-01,6.2500000000000003e-03,-1.9633668432697361e-02,-1.9629907879534132e-02,-3.7605531632289857e-06,3.7605531632289857e-06
41,5.1875000000000004e-01,6.2500000000000003e-03,-5.8870731627629687e-02,-5.8859455743456822e-02,-1.1275884172864958e-05,1.1275884172864958e-05
42,5.3125000000000000e-01,6.2500000000000003e-03,-9.8017020494047341e-02,-9.7998246592841329e-02,-1.8773901206012300e-05,1.8773901206012300e-05
43,5.4375000000000007e-01,6.2500000000000003e-03,-1.3701217434092219e-01,-1.3698593124903430e-01,-2.6243091887895309e-05,2.6243091887895309e-05
44,5.5625000000000002e-01,6.2500000000000003e-03,-1.7579606551740221e-01,-1.7576239352817960e-01,-3.3671989222605614e-05,3.3671989222605614e-05
45,5.6874999999999998e-01,6.2500000000000003e-03,-2.1430889212566920e-01,-2.1426784293601667e-01,-4.1049189652531126e-05,4.1049189652531126e-05
46,5.8125000000000004e-01,6.2500000000000003e-03,-2.5249127023154422e-01,-2.5244290686048987e-01,-4.8363371054349624e-05,4.8363371054349624e-05
47,5.9375000000000000e-01,6.2500000000000003e-03,-2.9028432543062282e-01,-2.9022872212001061e-01,-5.5603310612217793e-05,5.5603310612217793e-05
