cell,x,y,z,volume,numerical,exact,error,absError
0,3.3333333333271382e-02,3.3333333333472069e-02,5.0000000000000010e-02,5.0000000000115154e-04,9.9029967446741873e-01,9.8907380036687775e-01,1.2258741005409801e-03,1.2258741005409801e-03
1,6.6666666666562804e-02,6.6666666666924057e-02,5.0000000000000003e-02,5.0000000000115187e-04,9.6298311843502205e-01,9.5677272882120235e-01,6.2103896138197001e-03,6.2103896138197001e-03
2,6.6666666666602953e-02,1.3333333333382569e-01,5.0000000000000003e-02,5.0000000000111630e-04,9.0419000128479110e-01,8.9358229755379914e-01,1.0607703730991958e-02,1.0607703730991958e-02
3,3.3333333333311503e-02,1.6666666666731789e-01,5.0000000000000003e-02,5.0000000000175414e-04,8.7519086623561493e-01,8.6128122600776302e-01,1.3909640227851905e-02,1.3909640227851905e-02
4,3.3333333333311503e-02,2.3333333333426201e-01,5.0000000000000010e-02,5.0000000000175360e-04,7.2889124704116703e-01,7.3907380036496662e-01,-1.0182553323799581e-02,1.0182553323799581e-02
5,6.6666666666643087e-02,2.6666666666766797e-01,5.0000000000000003e-02,5.0000000000170134e-04,6.5321134985847551e-01,6.5450849718519744e-01,-1.2971473267219258e-03,1.2971473267219258e-03
6,6.6666666666683264e-02,3.3333333333456511e-01,5.0000000000000003e-02,5.0000000000170102e-04,4.9963513694728018e-01,4.8907380036361936e-01,1.0561336583660819e-02,1.0561336583660819e-02
7,3.3333333333351672e-02,3.6666666666810332e-01,5.0000000000000017e-02,5.0000000000235674e-04,4.2439824382759889e-01,4.0450849718337073e-01,1.9889746644228157e-02,1.9889746644228157e-02
8,3.3333333333351652e-02,4.3333333333504009e-01,5.0000000000000010e-02,5.0000000000224713e-04,1.8812435347837289e-01,2.0677272881608330e-01,-1.8648375337710410e-02,1.8648375337710410e-02
9,6.6666666666723398e-02,4.6666666666839263e-01,5.0000000000000010e-02,5.0000000000220972e-04,9.4874746633725304e-02,1.0224426554836852e-01,-7.3695189146432138e-03,7.3695189146432138e-03
10,6.6666666666763533e-02,5.3333333333497490e-01,5.0000000000000003e-02,4.9999999999767808e-04,-9.4874746642883048e-02,-1.0224426555865711e-01,7.3695189157740593e-03,7.3695189157740593e-03
11,3.3333333333391807e-02,5.6666666666819676e-01,5.0000000000000003e-02,4.9999999999751719e-04,-1.8812435348840739e-01,-2.0677272882597247e-01,1.8648375337565082e-02,1.8648375337565082e-02
12,3.3333333333391800e-02,6.3333333333440822e-01,5.0000000000000003e-02,4.9999999999740920e-04,-4.2439824383378411e-01,-4.0450849719053372e-01,-1.9889746643250383e-02,1.9889746643250383e-02
13,6.6666666666803667e-02,6.6666666666746077e-01,5.0000000000000003e-02,4.9999999999818939e-04,-4.9963513695117667e-01,-4.8907380036897141e-01,-1.0561336582205261e-02,1.0561336582205261e-02
14,6.6666666666843788e-02,7.3333333333372874e-01,5.0000000000000003e-02,4.9999999999818636e-04,-6.5321134986043428e-01,-6.5450849718829918e-01,1.2971473278649004e-03,1.2971473278649004e-03
