cell,x,y,z,volume,initial,numerical,exact,error,absError
0,8.3333333333175733e-03,8.3333333333680520e-03,5.0000000000000003e-02,3.1250000000071097e-05,0.0000000000000000e+00,9.9939248915595069e-01,9.9931476737728531e-01,7.7721778665384988e-05,7.7721778665384988e-05
1,1.6666666666636409e-02,1.6666666666734841e-02,5.0000000000000003e-02,3.1250000000071111e-05,0.0000000000000000e+00,9.9766463635598779e-01,9.9726094768413043e-01,4.0368867185736068e-04,4.0368867185736068e-04
2,1.6666666666638932e-02,3.3333333333468301e-02,5.0000000000000003e-02,3.1250000000070643e-05,0.0000000000000000e+00,9.9388624792302971e-01,9.9315893767481600e-01,7.2731024821370838e-04,7.2731024821370838e-04
3,8.3333333333200955e-03,4.1666666666837548e-02,5.0000000000000003e-02,3.1250000000080293e-05,0.0000000000000000e+00,9.9204834635061601e-01,9.9110511798163659e-01,9.4322836897942075e-04,9.4322836897942075e-04
4,8.3333333333200955e-03,5.8333333333573573e-02,5.0000000000000003e-02,3.1250000000080557e-05,0.0000000000000000e+00,9.8225656556624930e-01,9.8291797066433528e-01,-6.6140509808598758e-04,6.6140509808598758e-04
5,1.6666666666641450e-02,6.6666666666937782e-02,4.9999999999999989e-02,3.1250000000080598e-05,0.0000000000000000e+00,9.7681091626866945e-01,9.7680708344193035e-01,3.8328267391030124e-06,3.8328267391030124e-06
6,1.6666666666643980e-02,8.3333333333671364e-02,5.0000000000000010e-02,3.1250000000080489e-05,0.0000000000000000e+00,9.6558812680238026e-01,9.6460205851420877e-01,9.8606828817149328e-04,9.8606828817149328e-04
7,8.3333333333226265e-03,9.1666666667043165e-02,5.0000000000000010e-02,3.1250000000089773e-05,0.0000000000000000e+00,9.6017953504478526e-01,9.5849117129177597e-01,1.6883637530092921e-03,1.6883637530092921e-03
8,8.3333333333226230e-03,1.0833333333377920e-01,5.0000000000000003e-02,3.1250000000090078e-05,0.0000000000000000e+00,9.4086931176132949e-01,9.4231847139571101e-01,-1.4491596343815250e-03,1.4491596343815250e-03
9,1.6666666666646509e-02,1.1666666666714109e-01,5.0000000000000010e-02,3.1250000000090301e-05,0.0000000000000000e+00,9.3195461126470125e-01,9.3230098696834696e-01,-3.4637570364570713e-04,3.4637570364570713e-04
10,1.6666666666649031e-02,1.3333333333387451e-01,5.0000000000000003e-02,3.1250000000089190e-05,0.0000000000000000e+00,9.1356419363728636e-01,9.1229347534209693e-01,1.2707182951894325e-03,1.2707182951894325e-03
11,8.3333333333251488e-03,1.4166666666724870e-01,5.0000000000000010e-02,3.1250000000099341e-05,0.0000000000000000e+00,9.0468953806714769e-01,9.0227599091469812e-01,2.4135471524495689e-03,2.4135471524495689e-03
12,8.3333333333251436e-03,1.5833333333398480e-01,5.0000000000000003e-02,3.1250000000099361e-05,0.0000000000000000e+00,8.7632249412452246e-01,8.7851596398542764e-01,-2.1934698609051839e-03,2.1934698609051839e-03
13,1.6666666666651550e-02,1.6666666666734359e-01,5.0000000000000003e-02,3.1250000000098568e-05,0.0000000000000000e+00,8.6415908315923640e-01,8.6483854606583632e-01,-6.7946290659992581e-04,6.7946290659992581e-04
14,1.6666666666654079e-02,1.8333333333407659e-01,5.0000000000000003e-02,3.1250000000098500e-05,0.0000000000000000e+00,8.3905047154099288e-01,8.3752119907842482e-01,1.5292724625680654e-03,1.5292724625680654e-03
