time,step,deltaT,maxCo,residualIntegral,minT,maxT,amplitude
0.005,1.0,0.005,0.2,3.90312782095e-18,-0.990211303259,0.990211303259,0.990211303259
0.01,2.0,0.005,0.2,1.08420217249e-17,-0.976698764989,0.976698764989,0.976698764989
0.015,3.0,0.005,0.2,-6.93889390391e-18,-0.968714497862,0.968714497862,0.968714497862
0.02,4.0,0.005,0.2,-9.97465998687e-18,-0.966886321437,0.966886321437,0.966886321437
0.025,5.0,0.005,0.2,1.30104260698e-17,-0.961300954962,0.961300954962,0.961300954962
0.03,6.0,0.005,0.2,1.95156391047e-17,-0.95203911261,0.95203911261,0.95203911261
0.035,7.0,0.005,0.2,-1.21430643318e-17,-0.939194639581,0.939194639581,0.939194639581
0.04,8.0,0.005,0.2,1.60461921528e-17,-0.930929509882,0.930929509882,0.930929509882
0.045,9.0,0.005,0.2,-6.50521303491e-18,-0.929318395703,0.929318395703,0.929318395703
0.05,10.0,0.005,0.2,1.60461921528e-17,-0.924093788278,0.924093788278,0.924093788278
0.055,11.0,0.005,0.2,-1.30104260698e-17,-0.915332738667,0.915332738667,0.915332738667
0.06,12.0,0.005,0.2,-1.99493199737e-17,-0.90312493803,0.90312493803,0.90312493803
0.065,13.0,0.005,0.2,2.86229373536e-17,-0.894612687164,0.894612687164,0.894612687164
0.07,14.0,0.005,0.2,-2.60208521397e-18,-0.893204583425,0.893204583425,0.893204583425
0.075,15.0,0.005,0.2,-1.82145964978e-17,-0.888321209769,0.888321209769,0.888321209769
0.08,16.0,0.005,0.2,-2.86229373536e-17,-0.880036116323,0.880036116323,0.880036116323
0.085,17.0,0.005,0.2,-2.16840434497e-18,-0.868435020639,0.868435020639,0.868435020639
0.09,18.0,0.005,0.2,-8.23993651089e-18,-0.859707200727,0.859707200727,0.859707200727
0.095,19.0,0.005,0.2,1.69135538908e-17,-0.858488816883,0.858488816883,0.858488816883
0.1,20.0,0.005,0.2,1.04083408559e-17,-0.853928120589,0.853928120589,0.853928120589
0.105,21.0,0.005,0.2,2.42861286637e-17,-0.846095316167,0.846095316167,0.846095316167
0.11,22.0,0.005,0.2,-7.8062556419e-18,-0.835072320275,0.835072320275,0.835072320275
0.115,23.0,0.005,0.2,-4.33680868994e-19,-0.826158412874,0.826158412874,0.826158412874
0.12,24.0,0.005,0.2,6.07153216592e-18,-0.825117181844,0.825117181844,0.825117181844
0.125,25.0,0.005,0.2,2.16840434497e-18,-0.820861529738,0.820861529738,0.820861529738
0.13,26.0,0.005,0.2,2.99239799606e-17,-0.813458463461,0.813458463461,0.813458463461
