i,j,x,y,numerical,exact,error,absError
0,0,1.2500000000000001e-02,1.2500000000000001e-02,8.2146450886899994e-02,1.5643446504023048e-01,-7.4288014153330487e-02,7.4288014153330487e-02
1,0,3.7499999999999999e-02,1.2500000000000001e-02,1.5099532103499999e-01,3.0901699437494790e-01,-1.5802167333994790e-01,1.5802167333994790e-01
2,0,6.2500000000000000e-02,1.2500000000000001e-02,2.1612618525499999e-01,4.5399049973954642e-01,-2.3786431448454642e-01,2.3786431448454642e-01
3,0,8.7499999999999994e-02,1.2500000000000001e-02,2.7593530551099998e-01,5.8778525229247347e-01,-3.1184994678147349e-01,3.1184994678147349e-01
4,0,1.1250000000000000e-01,1.2500000000000001e-02,3.2894998276999998e-01,7.0710678118654846e-01,-3.7815679841654848e-01,3.7815679841654848e-01
5,0,1.3750000000000001e-01,1.2500000000000001e-02,3.7386481973000002e-01,8.0901699437494767e-01,-4.3515217464494765e-01,4.3515217464494765e-01
6,0,1.6250000000000001e-01,1.2500000000000001e-02,4.0957386404200002e-01,8.9100652418836845e-01,-4.8143266014636843e-01,4.8143266014636843e-01
7,0,1.8750000000000000e-01,1.2500000000000001e-02,4.3519784052400001e-01,9.5105651629515375e-01,-5.1585867577115374e-01,5.1585867577115374e-01
8,0,2.1249999999999999e-01,1.2500000000000001e-02,4.5010580183299997e-01,9.8768834059513788e-01,-5.3758253876213791e-01,5.3758253876213791e-01
9,0,2.3749999999999999e-01,1.2500000000000001e-02,4.5393066448600000e-01,1.0000000000000000e+00,-5.4606933551400005e-01,5.4606933551400005e-01
10,0,2.6250000000000001e-01,1.2500000000000001e-02,4.4657824766999998e-01,9.8768834059513777e-01,-5.4111009292513779e-01,5.4111009292513779e-01
11,0,2.8749999999999998e-01,1.2500000000000001e-02,4.2822959228700003e-01,9.5105651629515342e-01,-5.2282692400815334e-01,5.2282692400815334e-01
12,0,3.1250000000000000e-01,1.2500000000000001e-02,3.9933650313000002e-01,8.9100652418836812e-01,-4.9167002105836810e-01,4.9167002105836810e-01
13,0,3.3750000000000002e-01,1.2500000000000001e-02,3.6061042394400000e-01,8.0901699437494723e-01,-4.4840657043094723e-01,4.4840657043094723e-01
14,0,3.6249999999999999e-01,1.2500000000000001e-02,3.1300491932300001e-01,7.0710678118654791e-01,-3.9410186186354790e-01,3.9410186186354790e-01
15,0,3.8750000000000001e-01,1.2500000000000001e-02,2.5769219478499999e-01,5.8778525229247280e-01,-3.3009305750747281e-01,3.3009305750747281e-01
16,0,4.1249999999999998e-01,1.2500000000000001e-02,1.9603423317999999e-01,4.5399049973954564e-01,-2.5795626655954562e-01,2.5795626655954562e-01
17,0,4.3750000000000000e-01,1.2500000000000001e-02,1.2954925815300000e-01,3.0901699437494706e-01,-1.7946773622194706e-01,1.7946773622194706e-01
18,0,4.6250000000000002e-01,1.2500000000000001e-02,5.9874350441599999e-02,1.5643446504022962e-01,-9.6560114598629621e-02,9.6560114598629621e-02
19,0,4.8749999999999999e-01,1.2500000000000001e-02,-1.1274862489400000e-02,-3.6739403974420594e-16,-1.1274862489399632e-02,1.1274862489399632e-02
20,0,5.1249999999999996e-01,1.2500000000000001e-02,-8.2146450886899994e-02,-1.5643446504023034e-01,7.4288014153330348e-02,7.4288014153330348e-02
21,0,5.3749999999999998e-01,1.2500000000000001e-02,-1.5099532103499999e-01,-3.0901699437494606e-01,1.5802167333994607e-01,1.5802167333994607e-01
