i,j,x,y,initial,numerical,exact,error,absError
0,0,2.5000000000000001e-02,2.5000000000000001e-02,3.0901699437494740e-01,3.2597338402699999e-01,3.0901699437494790e-01,1.6956389652052095e-02,1.6956389652052095e-02
1,0,7.4999999999999997e-02,2.5000000000000001e-02,5.8778525229247314e-01,7.3787535492599998e-01,5.8778525229247347e-01,1.5009010263352651e-01,1.5009010263352651e-01
2,0,1.2500000000000000e-01,2.5000000000000001e-02,8.0901699437494745e-01,1.0775489450000000e+00,8.0901699437494767e-01,2.6853195062505231e-01,2.6853195062505231e-01
3,0,1.7499999999999999e-01,2.5000000000000001e-02,9.5105651629515353e-01,1.3117445366200000e+00,9.5105651629515375e-01,3.6068802032484626e-01,3.6068802032484626e-01
4,0,2.2500000000000001e-01,2.5000000000000001e-02,1.0000000000000000e+00,1.4175374335299999e+00,1.0000000000000000e+00,4.1753743352999995e-01,4.1753743352999995e-01
5,0,2.7500000000000002e-01,2.5000000000000001e-02,9.5105651629515353e-01,1.3845718898799999e+00,9.5105651629515342e-01,4.3351537358484649e-01,4.3351537358484649e-01
6,0,3.2500000000000001e-01,2.5000000000000001e-02,8.0901699437494745e-01,1.2160748027799999e+00,8.0901699437494723e-01,4.0705780840505268e-01,4.0705780840505268e-01
7,0,3.7500000000000000e-01,2.5000000000000001e-02,5.8778525229247325e-01,9.2853984107999998e-01,5.8778525229247280e-01,3.4075458878752718e-01,3.4075458878752718e-01
8,0,4.2499999999999999e-01,2.5000000000000001e-02,3.0901699437494751e-01,5.5011293022200003e-01,3.0901699437494706e-01,2.4109593584705297e-01,2.4109593584705297e-01
9,0,4.7499999999999998e-01,2.5000000000000001e-02,1.2246467991473532e-16,1.1783713289099999e-01,-3.6739403974420594e-16,1.1783713289100035e-01,1.1783713289100035e-01
10,0,5.2500000000000002e-01,2.5000000000000001e-02,-3.0901699437494773e-01,-3.2597338402699999e-01,-3.0901699437494778e-01,-1.6956389652052206e-02,1.6956389652052206e-02
11,0,5.7499999999999996e-01,2.5000000000000001e-02,-5.8778525229247303e-01,-7.3787535492599998e-01,-5.8778525229247336e-01,-1.5009010263352662e-01,1.5009010263352662e-01
12,0,6.2500000000000000e-01,2.5000000000000001e-02,-8.0901699437494734e-01,-1.0775489450000000e+00,-8.0901699437494767e-01,-2.6853195062505231e-01,2.6853195062505231e-01
13,0,6.7500000000000004e-01,2.5000000000000001e-02,-9.5105651629515353e-01,-1.3117445366200000e+00,-9.5105651629515420e-01,-3.6068802032484581e-01,3.6068802032484581e-01
14,0,7.2499999999999998e-01,2.5000000000000001e-02,-1.0000000000000000e+00,-1.4175374335299999e+00,-1.0000000000000000e+00,-4.1753743352999995e-01,4.1753743352999995e-01
15,0,7.7500000000000002e-01,2.5000000000000001e-02,-9.5105651629515364e-01,-1.3845718898799999e+00,-9.5105651629515353e-01,-4.3351537358484638e-01,4.3351537358484638e-01
16,0,8.2499999999999996e-01,2.5000000000000001e-02,-8.0901699437494756e-01,-1.2160748027799999e+00,-8.0901699437494679e-01,-4.0705780840505312e-01,4.0705780840505312e-01
17,0,8.7500000000000000e-01,2.5000000000000001e-02,-5.8778525229247336e-01,-9.2853984107999998e-01,-5.8778525229247358e-01,-3.4075458878752640e-01,3.4075458878752640e-01
18,0,9.2500000000000004e-01,2.5000000000000001e-02,-3.0901699437494762e-01,-5.5011293022200003e-01,-3.0901699437494634e-01,-2.4109593584705369e-01,2.4109593584705369e-01
19,0,9.7499999999999998e-01,2.5000000000000001e-02,-2.4492935982947064e-16,-1.1783713289099999e-01,2.4492935982947064e-16,-1.1783713289100024e-01,1.1783713289100024e-01
0,1,2.5000000000000001e-02,7.4999999999999997e-02,5.8778525229247314e-01,7.3787535492599998e-01,5.8778525229247347e-01,1.5009010263352651e-01,1.5009010263352651e-01
1,1,7.4999999999999997e-02,7.4999999999999997e-02,8.0901699437494745e-01,1.0775489450000000e+00,8.0901699437494767e-01,2.6853195062505231e-01,2.6853195062505231e-01
2,1,1.2500000000000000e-01,7.4999999999999997e-02,9.5105651629515353e-01,1.3117445366200000e+00,9.5105651629515375e-01,3.6068802032484626e-01,3.6068802032484626e-01
3,1,1.7499999999999999e-01,7.4999999999999997e-02,1.0000000000000000e+00,1.4175374335299999e+00,1.0000000000000000e+00,4.1753743352999995e-01,4.1753743352999995e-01
4,1,2.2500000000000001e-01,7.4999999999999997e-02,9.5105651629515364e-01,1.3845718898799999e+00,9.5105651629515342e-01,4.3351537358484649e-01,4.3351537358484649e-01
5,1,2.7500000000000002e-01,7.4999999999999997e-02,8.0901699437494745e-01,1.2160748027799999e+00,8.0901699437494723e-01,4.0705780840505268e-01,4.0705780840505268e-01
6,1,3.2500000000000001e-01,7.4999999999999997e-02,5.8778525229247325e-01,9.2853984107999998e-01,5.8778525229247280e-01,3.4075458878752718e-01,3.4075458878752718e-01
7,1,3.7500000000000000e-01,7.4999999999999997e-02,3.0901699437494751e-01,5.5011293022200003e-01,3.0901699437494706e-01,2.4109593584705297e-01,2.4109593584705297e-01
8,1,4.2499999999999999e-01,7.4999999999999997e-02,1.2246467991473532e-16,1.1783713289099999e-01,-3.6739403974420594e-16,1.1783713289100035e-01,1.1783713289100035e-01
9,1,4.7499999999999998e-01,7.4999999999999997e-02,-3.0901699437494690e-01,-3.2597338402699999e-01,-3.0901699437494606e-01,-1.6956389652053927e-02,1.6956389652053927e-02
10,1,5.2500000000000002e-01,7.4999999999999997e-02,-5.8778525229247303e-01,-7.3787535492599998e-01,-5.8778525229247336e-01,-1.5009010263352662e-01,1.5009010263352662e-01
11,1,5.7499999999999996e-01,7.4999999999999997e-02,-8.0901699437494679e-01,-1.0775489450000000e+00,-8.0901699437494767e-01,-2.6853195062505231e-01,2.6853195062505231e-01
12,1,6.2500000000000000e-01,7.4999999999999997e-02,-9.5105651629515353e-01,-1.3117445366200000e+00,-9.5105651629515364e-01,-3.6068802032484637e-01,3.6068802032484637e-01
13,1,6.7500000000000004e-01,7.4999999999999997e-02,-1.0000000000000000e+00,-1.4175374335299999e+00,-1.0000000000000000e+00,-4.1753743352999995e-01,4.1753743352999995e-01
14,1,7.2499999999999998e-01,7.4999999999999997e-02,-9.5105651629515364e-01,-1.3845718898799999e+00,-9.5105651629515375e-01,-4.3351537358484615e-01,4.3351537358484615e-01
15,1,7.7500000000000002e-01,7.4999999999999997e-02,-8.0901699437494756e-01,-1.2160748027799999e+00,-8.0901699437494679e-01,-4.0705780840505312e-01,4.0705780840505312e-01
16,1,8.2499999999999996e-01,7.4999999999999997e-02,-5.8778525229247403e-01,-9.2853984107999998e-01,-5.8778525229247358e-01,-3.4075458878752640e-01,3.4075458878752640e-01
17,1,8.7500000000000000e-01,7.4999999999999997e-02,-3.0901699437494762e-01,-5.5011293022200003e-01,-3.0901699437494717e-01,-2.4109593584705286e-01,2.4109593584705286e-01
18,1,9.2500000000000004e-01,7.4999999999999997e-02,-2.4492935982947064e-16,-1.1783713289099999e-01,2.4492935982947064e-16,-1.1783713289100024e-01,1.1783713289100024e-01
19,1,9.7499999999999998e-01,7.4999999999999997e-02,3.0901699437494717e-01,3.2597338402699999e-01,3.0901699437494762e-01,1.6956389652052373e-02,1.6956389652052373e-02
0,2,2.5000000000000001e-02,1.2500000000000000e-01,8.0901699437494745e-01,1.0775489450000000e+00,8.0901699437494767e-01,2.6853195062505231e-01,2.6853195062505231e-01
