time,step,deltaT,maxCo,residualIntegral,minT,maxT,amplitude
0.00125,1.0,0.00125,0.2,5.17706537362e-18,-0.999999049717,0.999999049717,0.999999049717
0.0025,2.0,0.00125,0.2,-5.28548559087e-18,-0.999751106607,0.999751106607,0.999751106607
0.00375,3.0,0.00125,0.2,6.28837260042e-18,-0.999874677226,0.999874677226,0.999874677226
0.005,4.0,0.00125,0.2,-3.25260651746e-19,-1.00036724138,1.00036724138,1.00036724138
0.00625,5.0,0.00125,0.2,-8.40256683676e-18,-1.00061284272,1.00061284272,1.00061284272
0.0075,6.0,0.00125,0.2,-5.90890184005e-18,-1.00061136006,1.00061136006,1.00061136006
0.00875,7.0,0.00125,0.2,-1.84314369323e-17,-1.00036273321,1.00036273321,1.00036273321
0.01,8.0,0.00125,0.2,9.73071449806e-18,-1.00048850572,1.00048850572,1.00048850572
0.01125,9.0,0.00125,0.2,-1.68864488365e-17,-1.00098084001,1.00098084001,1.00098084001
0.0125,10.0,0.00125,0.2,1.43385737311e-17,-1.00122605987,1.00122605987,1.00122605987
0.01375,11.0,0.00125,0.2,-2.43945488809e-18,-1.00122404418,1.00122404418,1.00122404418
0.015,12.0,0.00125,0.2,-5.28548559087e-18,-1.00097473284,1.00097473284,1.00097473284
0.01625,13.0,0.00125,0.2,-2.01119502996e-17,-1.0011027099,1.0011027099,1.0011027099
0.0175,14.0,0.00125,0.2,1.8323016715e-17,-1.00159481385,1.00159481385,1.00159481385
0.01875,15.0,0.00125,0.2,-1.024571053e-17,-1.00183965168,1.00183965168,1.00183965168
0.02,16.0,0.00125,0.2,-9.54097911787e-18,-1.00183710231,1.00183710231,1.00183710231
0.02125,17.0,0.00125,0.2,-8.56519716264e-18,-1.00158710574,1.00158710574,1.00158710574
0.0225,18.0,0.00125,0.2,5.42101086243e-20,-1.00171728999,1.00171728999,1.00171728999
0.02375,19.0,0.00125,0.2,-8.23993651089e-18,-1.00220916315,1.00220916315,1.00220916315
0.025,20.0,0.00125,0.2,-1.7021974108e-17,-1.00245361838,1.00245361838,1.00245361838
0.02625,21.0,0.00125,0.2,-2.43403387723e-17,-1.00245053467,1.00245053467,1.00245053467
0.0275,22.0,0.00125,0.2,-6.72205346941e-18,-1.00219985212,1.00219985212,1.00219985212
0.02875,23.0,0.00125,0.2,-2.7267684638e-17,-1.00233224623,1.00233224623,1.00233224623
0.03,24.0,0.00125,0.2,-6.72205346941e-18,-1.00282388812,1.00282388812,1.00282388812
0.03125,25.0,0.00125,0.2,8.23993651089e-18,-1.00306796019,1.00306796019,1.00306796019
