cell,x,y,z,volume,initial,numerical,exact,error,absError
0,3.3333333333299998e-02,3.3333333333499998e-02,5.0000000000000003e-02,5.0000000000099997e-04,4.0673664307656548e-01,7.5147750845799999e-02,4.0673664312248542e-01,-3.3158889227668542e-01,3.3158889227668542e-01
1,6.6666666666599997e-02,6.6666666666900007e-02,5.0000000000000003e-02,5.0000000000099997e-04,7.4314482547809491e-01,4.1044129578700000e-01,7.4314482551172967e-01,-3.3270352972472966e-01,3.3270352972472966e-01
2,6.6666666666599997e-02,1.3333333333399999e-01,5.0000000000000003e-02,5.0000000000099997e-04,9.5105651629631849e-01,7.0291949456900005e-01,9.5105651631185140e-01,-2.4813702174285135e-01,2.4813702174285135e-01
3,3.3333333333299998e-02,1.6666666666700000e-01,5.0000000000000003e-02,5.0000000000200004e-04,9.5105651629573607e-01,7.0291949456199998e-01,9.5105651631126908e-01,-2.4813702174926910e-01,2.4813702174926910e-01
4,3.3333333333299998e-02,2.3333333333400000e-01,5.0000000000000003e-02,5.0000000000200004e-04,9.9452189536785740e-01,8.0522442498900004e-01,9.9452189536260316e-01,-1.8929747037360312e-01,1.8929747037360312e-01
5,6.6666666666599997e-02,2.6666666666799999e-01,5.0000000000000003e-02,5.0000000000200004e-04,8.6602540378045945e-01,8.5697727450200001e-01,8.6602540375532600e-01,-9.0481292533259872e-03,9.0481292533259872e-03
6,6.6666666666700000e-02,3.3333333333499998e-01,5.0000000000000003e-02,5.0000000000200004e-04,5.8778525228383194e-01,5.8715357567399995e-01,5.8778525224316436e-01,-6.3167656916440773e-04,6.3167656916440773e-04
7,3.3333333333400002e-02,3.6666666666800002e-01,5.0000000000000003e-02,5.0000000000200004e-04,5.8778525228535672e-01,5.8715357567199999e-01,5.8778525224469058e-01,-6.3167657269058708e-04,6.3167657269058708e-04
8,3.3333333333400002e-02,4.3333333333500001e-01,5.0000000000000003e-02,5.0000000000200004e-04,2.0791169080710645e-01,4.2250831237300002e-01,2.0791169075793839e-01,2.1459662161506163e-01,2.1459662161506163e-01
9,6.6666666666700000e-02,4.6666666666800000e-01,5.0000000000000003e-02,5.0000000000200004e-04,-2.0791169082615876e-01,1.1919978744500000e-01,-2.0791169087532552e-01,3.2711147832032550e-01,3.2711147832032550e-01
10,6.6666666666800004e-02,5.3333333333499999e-01,5.0000000000000003e-02,4.9999999999799998e-04,-5.8778525230162271e-01,-3.4003862818399999e-01,-5.8778525234228918e-01,2.4774662415828919e-01,2.4774662415828919e-01
11,3.3333333333400002e-02,5.6666666666800003e-01,5.0000000000000003e-02,4.9999999999799998e-04,-5.8778525229958989e-01,-3.4003862818600000e-01,-5.8778525234025569e-01,2.4774662415425569e-01,2.4774662415425569e-01
12,3.3333333333400002e-02,6.3333333333399999e-01,5.0000000000000003e-02,4.9999999999700002e-04,-8.6602540378674231e-01,-5.4409992741900004e-01,-8.6602540381187498e-01,3.2192547639287494e-01,3.2192547639287494e-01
13,6.6666666666800004e-02,6.6666666666700003e-01,5.0000000000000003e-02,4.9999999999799998e-04,-9.9452189536857982e-01,-7.8330775441099998e-01,-9.9452189537383406e-01,2.1121414096283408e-01,2.1121414096283408e-01
14,6.6666666666800004e-02,7.3333333333399997e-01,5.0000000000000003e-02,4.9999999999799998e-04,-9.5105651629360044e-01,-7.9730900537899996e-01,-9.5105651627806742e-01,1.5374751089906746e-01,1.5374751089906746e-01
15,3.3333333333400002e-02,7.6666666666700001e-01,5.0000000000000003e-02,4.9999999999799998e-04,-9.5105651629437693e-01,-7.9730900538000005e-01,-9.5105651627884358e-01,1.5374751089884353e-01,1.5374751089884353e-01
16,3.3333333333400002e-02,8.3333333333299997e-01,5.0000000000000003e-02,4.9999999999900005e-04,-7.4314482547851546e-01,-7.5878056079300005e-01,-7.4314482544488092e-01,-1.5635735348119129e-02,1.5635735348119129e-02
17,6.6666666666900007e-02,8.6666666666600001e-01,5.0000000000000003e-02,5.0000000000000001e-04,-4.0673664307828789e-01,-6.0331060331899999e-01,-4.0673664303236756e-01,-1.9657396028663243e-01,1.9657396028663243e-01
18,6.6666666666900007e-02,9.3333333333299995e-01,5.0000000000000003e-02,5.0000000000399996e-04,-6.2907525050751819e-13,-1.5272543667200000e-01,4.9637872271140727e-11,-1.5272543672163788e-01,1.5272543672163788e-01
19,3.3333333333499998e-02,9.6666666666699996e-01,5.0000000000000003e-02,5.0000000000399996e-04,3.1412421411195134e-12,-1.5272543667399999e-01,5.3408189662767759e-11,-1.5272543672740818e-01,1.5272543672740818e-01
20,1.6666666666600000e-01,3.3333333333400002e-02,5.0000000000000003e-02,5.0000000000000001e-04,9.5105651629398857e-01,7.0291949457400005e-01,9.5105651630952182e-01,-2.4813702173552177e-01,2.4813702173552177e-01
21,1.3333333333299999e-01,6.6666666666900007e-02,5.0000000000000003e-02,5.0000000000099997e-04,9.5105651629495935e-01,7.0291949457000003e-01,9.5105651631049282e-01,-2.4813702174049279e-01,2.4813702174049279e-01
22,1.3333333333299999e-01,1.3333333333399999e-01,5.0000000000000003e-02,5.0000000000099997e-04,9.9452189536805446e-01,8.0522442499600000e-01,9.9452189536280033e-01,-1.8929747036680034e-01,1.8929747036680034e-01
23,1.6666666666600000e-01,1.6666666666700000e-01,5.0000000000000003e-02,5.0000000000099997e-04,8.6602540378548587e-01,8.5697727450600003e-01,8.6602540376035309e-01,-9.0481292543530545e-03,9.0481292543530545e-03
24,1.6666666666700000e-01,2.3333333333400000e-01,5.0000000000000003e-02,5.0000000000099997e-04,5.8778525228739020e-01,5.8715357567399995e-01,5.8778525224672407e-01,-6.3167657272411581e-04,6.3167657272411581e-04
25,1.3333333333299999e-01,2.6666666666799999e-01,5.0000000000000003e-02,5.0000000000099997e-04,5.8778525228739020e-01,5.8715357567399995e-01,5.8778525224672407e-01,-6.3167657272411581e-04,6.3167657272411581e-04
26,1.3333333333299999e-01,3.3333333333400000e-01,5.0000000000000003e-02,5.0000000000099997e-04,2.0791169081571118e-01,4.2250831237300002e-01,2.0791169076654267e-01,2.1459662160645734e-01,2.1459662160645734e-01
