cell,x,y,z,volume,numerical,exact,error,absError
0,4.1666666666600001e-03,4.1666666666799997e-03,5.0000000000000003e-02,7.8125000000200003e-06,4.0692725293999997e-02,5.2335956293182100e-02,-1.1643230999182103e-02,1.1643230999182103e-02
1,8.3333333333200001e-03,8.3333333333700001e-03,5.0000000000000003e-02,7.8125000000200003e-06,8.6625057560899998e-02,1.0452846331778962e-01,-1.7903405756889618e-02,1.7903405756889618e-02
2,8.3333333333200001e-03,1.6666666666700001e-02,5.0000000000000003e-02,7.8125000000200003e-06,1.5887703889300001e-01,1.5643446509000175e-01,2.4425738029982547e-03,2.4425738029982547e-03
3,4.1666666666600001e-03,2.0833333333400001e-02,5.0000000000000003e-02,7.8125000000200003e-06,1.5887703889200000e-01,1.5643446509025088e-01,2.4425738017491150e-03,2.4425738017491150e-03
4,4.1666666666600001e-03,2.9166666666800001e-02,5.0000000000000003e-02,7.8125000000200003e-06,1.9378444108599999e-01,2.0791169086770478e-01,-1.4127249781704793e-02,1.4127249781704793e-02
5,8.3333333333200001e-03,3.3333333333499998e-02,5.0000000000000003e-02,7.8125000000200003e-06,2.3884078585900001e-01,2.5881904515200371e-01,-1.9978259293003703e-02,1.9978259293003703e-02
6,8.3333333333200001e-03,4.1666666666800002e-02,5.0000000000000003e-02,7.8125000000200003e-06,3.0857989225299998e-01,3.0901699442346958e-01,-4.3710217046960542e-04,4.3710217046960542e-04
7,4.1666666666600001e-03,4.5833333333500002e-02,5.0000000000000003e-02,7.8125000000200003e-06,3.0857989225200000e-01,3.0901699442370950e-01,-4.3710217170950250e-04,4.3710217170950250e-04
8,4.1666666666600001e-03,5.4166666666900003e-02,5.0000000000000003e-02,7.8125000000200003e-06,3.4210454080600000e-01,3.5836794959355794e-01,-1.6263408787557943e-02,1.6263408787557943e-02
9,8.3333333333200001e-03,5.8333333333600003e-02,5.0000000000000003e-02,7.8125000000200003e-06,3.8517546134399999e-01,4.0673664312317509e-01,-2.1561181779175098e-02,2.1561181779175098e-02
10,8.3333333333200001e-03,6.6666666666900007e-02,5.0000000000000003e-02,7.8125000000200003e-06,4.5068448454999999e-01,4.5399049978556633e-01,-3.3060152355663397e-03,3.3060152355663397e-03
11,4.1666666666600001e-03,7.0833333333599993e-02,5.0000000000000003e-02,7.8125000000200003e-06,4.5068448454900001e-01,4.5399049978578948e-01,-3.3060152367894724e-03,3.3060152367894724e-03
12,4.1666666666600001e-03,7.9166666666999994e-02,5.0000000000000003e-02,7.8125000000200003e-06,4.8200089135200003e-01,5.0000000004530953e-01,-1.7999108693309507e-02,1.7999108693309507e-02
13,8.3333333333200001e-03,8.3333333333699994e-02,5.0000000000000003e-02,7.8125000000200003e-06,5.2202583864700003e-01,5.4463903505904565e-01,-2.2613196412045622e-02,2.2613196412045622e-02
14,8.3333333333200001e-03,9.1666666667000005e-02,5.0000000000000003e-02,7.8125000000200003e-06,5.8169172910000000e-01,5.8778525233476597e-01,-6.0935232347659740e-03,6.0935232347659740e-03
15,4.1666666666600001e-03,9.5833333333700005e-02,5.0000000000000003e-02,7.8125000000200003e-06,5.8169172910000000e-01,5.8778525233497003e-01,-6.0935232349700330e-03,6.0935232349700330e-03
16,4.1666666666600001e-03,1.0416666666700000e-01,5.0000000000000003e-02,7.8125000000200003e-06,6.1002878028300001e-01,6.2932039109049620e-01,-1.9291610807496196e-02,1.9291610807496196e-02
17,8.3333333333200001e-03,1.0833333333400000e-01,5.0000000000000003e-02,7.8125000000200003e-06,6.4602220729700000e-01,6.6913060639926436e-01,-2.3108399102264365e-02,2.3108399102264365e-02
18,8.3333333333200001e-03,1.1666666666700000e-01,5.0000000000000003e-02,7.8125000000200003e-06,6.9837579275600004e-01,7.0710678122351223e-01,-8.7309884675121907e-03,8.7309884675121907e-03
19,4.1666666666600001e-03,1.2083333333400000e-01,5.0000000000000003e-02,7.8125000000200003e-06,6.9837579275499995e-01,7.0710678122502324e-01,-8.7309884700232931e-03,8.7309884700232931e-03
20,4.1666666666600001e-03,1.2916666666700000e-01,5.0000000000000003e-02,7.8125000000200003e-06,7.2303573607399996e-01,7.4314482551240246e-01,-2.0109089438402505e-02,2.0109089438402505e-02
21,8.3333333333200001e-03,1.3333333333399999e-01,5.0000000000000003e-02,7.8125000000200003e-06,7.5411136517900001e-01,7.7714596149118764e-01,-2.3034596312187627e-02,2.3034596312187627e-02
22,8.3333333333200001e-03,1.4166666666700001e-01,5.0000000000000003e-02,7.8125000000200003e-06,7.9786352661799997e-01,8.0901699440567498e-01,-1.1153467787675009e-02,1.1153467787675009e-02
23,4.1666666666600001e-03,1.4583333333400000e-01,5.0000000000000003e-02,7.8125000000200003e-06,7.9786352661799997e-01,8.0901699440693109e-01,-1.1153467788931115e-02,1.1153467788931115e-02
24,4.1666666666600001e-03,1.5416666666699999e-01,5.0000000000000003e-02,7.8125000000200003e-06,8.1823915242599998e-01,8.3867056797391948e-01,-2.0431415547919496e-02,2.0431415547919496e-02
25,8.3333333333300008e-03,1.5833333333399999e-01,5.0000000000000003e-02,7.8125000000200003e-06,8.4363179849900005e-01,8.6602540381165560e-01,-2.2393605312655551e-02,2.2393605312655551e-02
26,8.3333333333300008e-03,1.6666666666700000e-01,5.0000000000000003e-02,7.8125000000200003e-06,8.7770521249900002e-01,8.9100652421212967e-01,-1.3301311713129649e-02,1.3301311713129649e-02
27,4.1666666666600001e-03,1.7083333333400000e-01,5.0000000000000003e-02,7.8125000000300004e-06,8.7770521249900002e-01,8.9100652421307081e-01,-1.3301311714070785e-02,1.3301311714070785e-02
28,4.1666666666600001e-03,1.7916666666700001e-01,5.0000000000000003e-02,7.8125000000300004e-06,8.9329480526500005e-01,9.1354545766388096e-01,-2.0250652398880908e-02,2.0250652398880908e-02
29,8.3333333333300008e-03,1.8333333333400001e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.1237921708699998e-01,9.3358042651670947e-01,-2.1201209429709489e-02,2.1201209429709489e-02
30,8.3333333333300008e-03,1.9166666666700000e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.3593488311100004e-01,9.5105651631132726e-01,-1.5121633200327222e-02,1.5121633200327222e-02
31,4.1666666666600001e-03,1.9583333333399999e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.3593488311100004e-01,9.5105651631196786e-01,-1.5121633200967821e-02,1.5121633200967821e-02
32,4.1666666666600001e-03,2.0416666666800001e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.4635457532400002e-01,9.6592582630423529e-01,-1.9571250980235266e-02,1.9571250980235266e-02
33,8.3333333333300008e-03,2.0833333333400000e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.5866083133799995e-01,9.7814760074512308e-01,-1.9486769407123128e-02,1.9486769407123128e-02
34,8.3333333333300008e-03,2.1666666666800000e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.7111873071099997e-01,9.8768834060430832e-01,-1.6569609893308357e-02,1.6569609893308357e-02
35,4.1666666666600001e-03,2.2083333333399999e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.7111873071099997e-01,9.8768834060364974e-01,-1.6569609892649773e-02,1.6569609892649773e-02
36,4.1666666666600001e-03,2.2916666666800001e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.7611195496600001e-01,9.9452189537439895e-01,-1.8409940408398939e-02,1.8409940408398939e-02
37,8.3333333333300008e-03,2.3333333333400000e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.8133703430700003e-01,9.9862953475742267e-01,-1.7292500450422632e-02,1.7292500450422632e-02
38,8.3333333333300008e-03,2.4166666666799999e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.8239041220300005e-01,1.0000000000000000e+00,-1.7609587796999948e-02,1.7609587796999948e-02
39,4.1666666666699999e-03,2.4583333333400001e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.8239041220199996e-01,1.0000000000000000e+00,-1.7609587798000037e-02,1.7609587798000037e-02
40,4.1666666666699999e-03,2.5416666666799997e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.8183421874800003e-01,9.9862953475150362e-01,-1.6795316003503591e-02,1.6795316003503591e-02
41,8.3333333333300008e-03,2.5833333333399999e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.7984946262100003e-01,9.9452189536258340e-01,-1.4672432741583363e-02,1.4672432741583363e-02
42,8.3333333333300008e-03,2.6666666666799999e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.6947238137799996e-01,9.8768834058596711e-01,-1.8215959207967147e-02,1.8215959207967147e-02
