cell,x,y,z,volume,initial,numerical,exact,error,absError
0,8.3333333333200001e-03,8.3333333333700001e-03,5.0000000000000003e-02,3.1250000000099998e-05,1.0452846326779927e-01,5.8000196428400000e-02,1.0452846331778962e-01,-4.6528266889389616e-02,4.6528266889389616e-02
1,1.6666666666600001e-02,1.6666666666700001e-02,5.0000000000000003e-02,3.1250000000099998e-05,2.0791169081755451e-01,9.9105682829099997e-02,2.0791169086672134e-01,-1.0880600803762135e-01,1.0880600803762135e-01
2,1.6666666666600001e-02,3.3333333333499998e-02,5.0000000000000003e-02,3.1250000000099998e-05,3.0901699437554497e-01,1.7838155601100000e-01,3.0901699442335134e-01,-1.3063543841235134e-01,1.3063543841235134e-01
3,8.3333333333200001e-03,4.1666666666800002e-02,5.0000000000000003e-02,3.1250000000099998e-05,3.0901699437566454e-01,1.7838155600899999e-01,3.0901699442346958e-01,-1.3063543841446959e-01,1.3063543841446959e-01
4,8.3333333333200001e-03,5.8333333333600003e-02,5.0000000000000003e-02,3.1250000000099998e-05,4.0673664307725432e-01,2.1703822344599999e-01,4.0673664312317509e-01,-1.8969841967717510e-01,1.8969841967717510e-01
5,1.6666666666600001e-02,6.6666666666900007e-02,5.0000000000000003e-02,3.1250000000099998e-05,5.0000000000090694e-01,2.5447143451600002e-01,5.0000000004443879e-01,-2.4552856552843877e-01,2.4552856552843877e-01
6,1.6666666666600001e-02,8.3333333333699994e-02,5.0000000000000003e-02,3.1250000000099998e-05,5.8778525229399792e-01,3.2263843036599998e-01,5.8778525233466394e-01,-2.6514682196866396e-01,2.6514682196866396e-01
7,8.3333333333200001e-03,9.1666666667000005e-02,5.0000000000000003e-02,3.1250000000099998e-05,5.8778525229409972e-01,3.2263843036399997e-01,5.8778525233476597e-01,-2.6514682197076600e-01,2.6514682197076600e-01
8,8.3333333333200001e-03,1.0833333333400000e-01,5.0000000000000003e-02,3.1250000000099998e-05,6.6913060636190880e-01,3.5483103695800000e-01,6.6913060639926436e-01,-3.1429956944126436e-01,3.1429956944126436e-01
9,1.6666666666600001e-02,1.1666666666700000e-01,5.0000000000000003e-02,3.1250000000099998e-05,7.4314482547851535e-01,3.8492774918599998e-01,7.4314482551215044e-01,-3.5821707632615046e-01,3.5821707632615046e-01
10,1.6666666666600001e-02,1.3333333333399999e-01,5.0000000000000003e-02,3.1250000000099998e-05,8.0901699437716323e-01,4.3531320720299999e-01,8.0901699440670971e-01,-3.7370378720370973e-01,3.7370378720370973e-01
11,8.3333333333300008e-03,1.4166666666700001e-01,5.0000000000000003e-02,3.1250000000099998e-05,8.0901699437616614e-01,4.3531320720099997e-01,8.0901699440571262e-01,-3.7370378720471265e-01,3.7370378720471265e-01
12,8.3333333333300008e-03,1.5833333333399999e-01,5.0000000000000003e-02,3.1250000000099998e-05,8.6602540378652249e-01,4.5789051631900002e-01,8.6602540381165560e-01,-4.0813488749265558e-01,4.0813488749265558e-01
13,1.6666666666700001e-02,1.6666666666700000e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.1354545764353789e-01,4.7770465381600002e-01,9.1354545766398276e-01,-4.3584080384798274e-01,4.3584080384798274e-01
14,1.6666666666700001e-02,1.8333333333400001e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.5105651629651267e-01,5.0537649431400000e-01,9.5105651631204580e-01,-4.4568002199804579e-01,4.4568002199804579e-01
15,8.3333333333300008e-03,1.9166666666700000e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.5105651629579424e-01,5.0537649431300002e-01,9.5105651631132726e-01,-4.4568002199832724e-01,4.4568002199832724e-01
16,8.3333333333300008e-03,2.0833333333400000e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.7814760073467222e-01,5.1612848163299996e-01,9.7814760074512308e-01,-4.6201911911212312e-01,4.6201911911212312e-01
17,1.6666666666700001e-02,2.1666666666800000e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.9452189536917091e-01,5.2372049856699998e-01,9.9452189537442526e-01,-4.7080139680742528e-01,4.7080139680742528e-01
18,1.6666666666700001e-02,2.3333333333400000e-01,5.0000000000000003e-02,3.1250000000099998e-05,1.0000000000000000e+00,5.2597000899699997e-01,1.0000000000000000e+00,-4.7402999100300003e-01,4.7402999100300003e-01
19,8.3333333333300008e-03,2.4166666666799999e-01,5.0000000000000003e-02,3.1250000000099998e-05,1.0000000000000000e+00,5.2597000899500002e-01,1.0000000000000000e+00,-4.7402999100499998e-01,4.7402999100499998e-01
20,8.3333333333300008e-03,2.5833333333399999e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.9452189536783775e-01,5.2384419508600000e-01,9.9452189536258340e-01,-4.7067770027658340e-01,4.7067770027658340e-01
21,1.6666666666700001e-02,2.6666666666799999e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.7814760073202034e-01,5.1847093194200000e-01,9.7814760072156959e-01,-4.5967666877956959e-01,4.5967666877956959e-01
22,1.6666666666700001e-02,2.8333333333400001e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.5105651629379440e-01,4.9507791454900002e-01,9.5105651627826138e-01,-4.5597860172926136e-01,4.5597860172926136e-01
23,8.3333333333300008e-03,2.9166666666800001e-01,5.0000000000000003e-02,3.1250000000099998e-05,9.5105651629257126e-01,4.9507791454900002e-01,9.5105651627703780e-01,-4.5597860172803778e-01,4.5597860172803778e-01
