cell,x,y,z,volume,numerical,exact,error,absError
0,4.1666666666600001e-03,4.1666666666799997e-03,5.0000000000000003e-02,7.8125000000200003e-06,3.7796626726699999e-02,5.2335956293182100e-02,-1.4539329566482101e-02,1.4539329566482101e-02
1,8.3333333333200001e-03,8.3333333333700001e-03,5.0000000000000003e-02,7.8125000000200003e-06,6.6253630073199996e-02,1.0452846331778962e-01,-3.8274833244589621e-02,3.8274833244589621e-02
2,8.3333333333200001e-03,1.6666666666700001e-02,5.0000000000000003e-02,7.8125000000200003e-06,1.2267191262300001e-01,1.5643446509000175e-01,-3.3762552467001744e-02,3.3762552467001744e-02
3,4.1666666666600001e-03,2.0833333333400001e-02,5.0000000000000003e-02,7.8125000000200003e-06,1.2267191262200000e-01,1.5643446509025088e-01,-3.3762552468250884e-02,3.3762552468250884e-02
4,4.1666666666600001e-03,2.9166666666800001e-02,5.0000000000000003e-02,7.8125000000200003e-06,1.5071349309800000e-01,2.0791169086770478e-01,-5.7198197769704778e-02,5.7198197769704778e-02
5,8.3333333333200001e-03,3.3333333333499998e-02,5.0000000000000003e-02,7.8125000000200003e-06,1.7854410795600001e-01,2.5881904515200371e-01,-8.0274937196003704e-02,8.0274937196003704e-02
6,8.3333333333200001e-03,4.1666666666800002e-02,5.0000000000000003e-02,7.8125000000200003e-06,2.3301996878000000e-01,3.0901699442346958e-01,-7.5997025643469579e-02,7.5997025643469579e-02
7,4.1666666666600001e-03,4.5833333333500002e-02,5.0000000000000003e-02,7.8125000000200003e-06,2.3301996877900000e-01,3.0901699442370950e-01,-7.5997025644709504e-02,7.5997025644709504e-02
8,4.1666666666600001e-03,5.4166666666900003e-02,5.0000000000000003e-02,7.8125000000200003e-06,2.5991929308000000e-01,3.5836794959355794e-01,-9.8448656513557942e-02,9.8448656513557942e-02
9,8.3333333333200001e-03,5.8333333333600003e-02,5.0000000000000003e-02,7.8125000000200003e-06,2.8643823734700002e-01,4.0673664312317509e-01,-1.2029840577617507e-01,1.2029840577617507e-01
10,8.3333333333200001e-03,6.6666666666900007e-02,5.0000000000000003e-02,7.8125000000200003e-06,3.3763029995700000e-01,4.5399049978556633e-01,-1.1636019982856632e-01,1.1636019982856632e-01
11,4.1666666666600001e-03,7.0833333333599993e-02,5.0000000000000003e-02,7.8125000000200003e-06,3.3763029995600002e-01,4.5399049978578948e-01,-1.1636019982978946e-01,1.1636019982978946e-01
12,4.1666666666600001e-03,7.9166666666999994e-02,5.0000000000000003e-02,7.8125000000200003e-06,3.6272501744300001e-01,5.0000000004530953e-01,-1.3727498260230953e-01,1.3727498260230953e-01
13,8.3333333333200001e-03,8.3333333333699994e-02,5.0000000000000003e-02,7.8125000000200003e-06,3.8727930669999999e-01,5.4463903505904565e-01,-1.5735972835904566e-01,1.5735972835904566e-01
14,8.3333333333200001e-03,9.1666666667000005e-02,5.0000000000000003e-02,7.8125000000200003e-06,4.3392705261800002e-01,5.8778525233476597e-01,-1.5385819971676595e-01,1.5385819971676595e-01
15,4.1666666666600001e-03,9.5833333333700005e-02,5.0000000000000003e-02,7.8125000000200003e-06,4.3392705261699999e-01,5.8778525233497003e-01,-1.5385819971797005e-01,1.5385819971797005e-01
16,4.1666666666600001e-03,1.0416666666700000e-01,5.0000000000000003e-02,7.8125000000200003e-06,4.5659924806199997e-01,6.2932039109049620e-01,-1.7272114302849623e-01,1.7272114302849623e-01
17,8.3333333333200001e-03,1.0833333333400000e-01,5.0000000000000003e-02,7.8125000000200003e-06,4.7858427421700001e-01,6.6913060639926436e-01,-1.9054633218226436e-01,1.9054633218226436e-01
18,8.3333333333200001e-03,1.1666666666700000e-01,5.0000000000000003e-02,7.8125000000200003e-06,5.1953908112199998e-01,7.0710678122351223e-01,-1.8756770010151225e-01,1.8756770010151225e-01
19,4.1666666666600001e-03,1.2083333333400000e-01,5.0000000000000003e-02,7.8125000000200003e-06,5.1953908112100000e-01,7.0710678122502324e-01,-1.8756770010402324e-01,1.8756770010402324e-01
20,4.1666666666600001e-03,1.2916666666700000e-01,5.0000000000000003e-02,7.8125000000200003e-06,5.3923048982800004e-01,7.4314482551240246e-01,-2.0391433568440243e-01,2.0391433568440243e-01
21,8.3333333333200001e-03,1.3333333333399999e-01,5.0000000000000003e-02,7.8125000000200003e-06,5.5810490857100004e-01,7.7714596149118764e-01,-2.1904105292018761e-01,2.1904105292018761e-01
22,8.3333333333200001e-03,1.4166666666700001e-01,5.0000000000000003e-02,7.8125000000200003e-06,5.9235833319800002e-01,8.0901699440567498e-01,-2.1665866120767496e-01,2.1665866120767496e-01
23,4.1666666666600001e-03,1.4583333333400000e-01,5.0000000000000003e-02,7.8125000000200003e-06,5.9235833319700004e-01,8.0901699440693109e-01,-2.1665866120993105e-01,2.1665866120993105e-01
24,4.1666666666600001e-03,1.5416666666699999e-01,5.0000000000000003e-02,7.8125000000200003e-06,6.0858408733100000e-01,8.3867056797391948e-01,-2.3008648064291948e-01,2.3008648064291948e-01
25,8.3333333333300008e-03,1.5833333333399999e-01,5.0000000000000003e-02,7.8125000000200003e-06,6.2388314783400001e-01,8.6602540381165560e-01,-2.4214225597765560e-01,2.4214225597765560e-01
26,8.3333333333300008e-03,1.6666666666700000e-01,5.0000000000000003e-02,7.8125000000200003e-06,6.5059175718600004e-01,8.9100652421212967e-01,-2.4041476702612963e-01,2.4041476702612963e-01
27,4.1666666666600001e-03,1.7083333333400000e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.5059175718600004e-01,8.9100652421307081e-01,-2.4041476702707076e-01,2.4041476702707076e-01
28,4.1666666666600001e-03,1.7916666666700001e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.6295232482900002e-01,9.1354545766388096e-01,-2.5059313283488094e-01,2.5059313283488094e-01
29,8.3333333333300008e-03,1.8333333333400001e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.7429931344700000e-01,9.3358042651670947e-01,-2.5928111306970947e-01,2.5928111306970947e-01
30,8.3333333333300008e-03,1.9166666666700000e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.9280545292300000e-01,9.5105651631132726e-01,-2.5825106338832726e-01,2.5825106338832726e-01
31,4.1666666666600001e-03,1.9583333333399999e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.9280545292200002e-01,9.5105651631196786e-01,-2.5825106338996784e-01,2.5825106338996784e-01
32,4.1666666666600001e-03,2.0416666666800001e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.0099647587699998e-01,9.6592582630423529e-01,-2.6492935042723531e-01,2.6492935042723531e-01
33,8.3333333333300008e-03,2.0833333333400000e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.0811199209200004e-01,9.7814760074512308e-01,-2.7003560865312304e-01,2.7003560865312304e-01
34,8.3333333333300008e-03,2.1666666666800000e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.1795997911800002e-01,9.8768834060430832e-01,-2.6972836148630830e-01,2.6972836148630830e-01
35,4.1666666666600001e-03,2.2083333333399999e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.1795997911800002e-01,9.8768834060364974e-01,-2.6972836148564971e-01,2.6972836148564971e-01
36,4.1666666666600001e-03,2.2916666666800001e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.2177976721500003e-01,9.9452189537439895e-01,-2.7274212815939891e-01,2.7274212815939891e-01
37,8.3333333333300008e-03,2.3333333333400000e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.2448860340300003e-01,9.9862953475742267e-01,-2.7414093135442263e-01,2.7414093135442263e-01
38,8.3333333333300008e-03,2.4166666666799999e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.2543594785499999e-01,1.0000000000000000e+00,-2.7456405214500001e-01,2.7456405214500001e-01
39,4.1666666666699999e-03,2.4583333333400001e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.2543594785499999e-01,1.0000000000000000e+00,-2.7456405214500001e-01,2.7456405214500001e-01
40,4.1666666666699999e-03,2.5416666666799997e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.2479044523500002e-01,9.9862953475150362e-01,-2.7383908951650360e-01,2.7383908951650360e-01
41,8.3333333333300008e-03,2.5833333333399999e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.2302590085700003e-01,9.9452189536258340e-01,-2.7149599450558337e-01,2.7149599450558337e-01
42,8.3333333333300008e-03,2.6666666666799999e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.1504927597199996e-01,9.8768834058596711e-01,-2.7263906461396714e-01,2.7263906461396714e-01
43,4.1666666666699999e-03,2.7083333333400000e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.1504927597099999e-01,9.8768834058661570e-01,-2.7263906461561571e-01,2.7263906461561571e-01
44,4.1666666666699999e-03,2.7916666666800000e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.0995437704999997e-01,9.7814760072160867e-01,-2.6819322367160869e-01,2.6819322367160869e-01
45,8.3333333333300008e-03,2.8333333333400001e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.0375990104700004e-01,9.6592582627497947e-01,-2.6216592522797943e-01,2.6216592522797943e-01
46,8.3333333333300008e-03,2.9166666666800001e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.8705571780200003e-01,9.5105651627703780e-01,-2.6400079847503777e-01,2.6400079847503777e-01
47,4.1666666666699999e-03,2.9583333333500000e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.8705571780100005e-01,9.5105651627637799e-01,-2.6400079847537794e-01,2.6400079847537794e-01
48,4.1666666666699999e-03,3.0416666666800002e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.7763687589999999e-01,9.3358042647617812e-01,-2.5594355057617812e-01,2.5594355057617812e-01
49,8.3333333333300008e-03,3.0833333333500001e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.6716499682899999e-01,9.1354545761790507e-01,-2.4638046078890508e-01,2.4638046078890508e-01
50,8.3333333333300008e-03,3.1666666666799997e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.4214456765200001e-01,8.9100652416175363e-01,-2.4886195650975362e-01,2.4886195650975362e-01
51,4.1666666666699999e-03,3.2083333333500003e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.4214456765200001e-01,8.9100652416078430e-01,-2.4886195650878429e-01,2.4886195650878429e-01
52,4.1666666666699999e-03,3.2916666666799999e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.2863370591699996e-01,8.6602540375510662e-01,-2.3739169783810665e-01,2.3739169783810665e-01
53,8.3333333333300008e-03,3.3333333333499998e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.1414227619399997e-01,8.3867056791235473e-01,-2.2452829171835476e-01,2.2452829171835476e-01
54,8.3333333333300008e-03,3.4166666666800000e-01,5.0000000000000003e-02,7.8125000000300004e-06,5.8142168709099995e-01,8.0901699434049035e-01,-2.2759530724949040e-01,2.2759530724949040e-01
55,4.1666666666699999e-03,3.4583333333499999e-01,5.0000000000000003e-02,7.8125000000300004e-06,5.8142168709099995e-01,8.0901699433923424e-01,-2.2759530724823429e-01,2.2759530724823429e-01
56,4.1666666666699999e-03,3.5416666666800001e-01,5.0000000000000003e-02,7.8125000000300004e-06,5.6415148777900004e-01,7.7714596142005299e-01,-2.1299447364105295e-01,2.1299447364105295e-01
