i,j,x,y,initial,numerical,change,absChange
0,0,2.5000000000000001e-03,2.5000000000000001e-03,0.0000000000000000e+00,4.2386251597700001e-20,4.2386251597700001e-20,4.2386251597700001e-20
1,0,7.4999999999999997e-03,2.5000000000000001e-03,0.0000000000000000e+00,1.1330718362899999e-18,1.1330718362899999e-18,1.1330718362899999e-18
2,0,1.2500000000000001e-02,2.5000000000000001e-03,0.0000000000000000e+00,1.5471139696500000e-17,1.5471139696500000e-17,1.5471139696500000e-17
3,0,1.7500000000000002e-02,2.5000000000000001e-03,0.0000000000000000e+00,1.4387918940499999e-16,1.4387918940499999e-16,1.4387918940499999e-16
4,0,2.2499999999999999e-02,2.5000000000000001e-03,0.0000000000000000e+00,1.0253192541100000e-15,1.0253192541100000e-15,1.0253192541100000e-15
5,0,2.7500000000000000e-02,2.5000000000000001e-03,0.0000000000000000e+00,5.9722291460000001e-15,5.9722291460000001e-15,5.9722291460000001e-15
6,0,3.2500000000000001e-02,2.5000000000000001e-03,0.0000000000000000e+00,2.9616856522299999e-14,2.9616856522299999e-14,2.9616856522299999e-14
7,0,3.7499999999999999e-02,2.5000000000000001e-03,0.0000000000000000e+00,1.2860518078299999e-13,1.2860518078299999e-13,1.2860518078299999e-13
8,0,4.2500000000000003e-02,2.5000000000000001e-03,0.0000000000000000e+00,4.9909651998599996e-13,4.9909651998599996e-13,4.9909651998599996e-13
9,0,4.7500000000000001e-02,2.5000000000000001e-03,0.0000000000000000e+00,1.7582059228600001e-12,1.7582059228600001e-12,1.7582059228600001e-12
10,0,5.2499999999999998e-02,2.5000000000000001e-03,0.0000000000000000e+00,5.6911828205900001e-12,5.6911828205900001e-12,5.6911828205900001e-12
11,0,5.7500000000000002e-02,2.5000000000000001e-03,0.0000000000000000e+00,1.7093231206400000e-11,1.7093231206400000e-11,1.7093231206400000e-11
12,0,6.2500000000000000e-02,2.5000000000000001e-03,0.0000000000000000e+00,4.8017693978599997e-11,4.8017693978599997e-11,4.8017693978599997e-11
13,0,6.7500000000000004e-02,2.5000000000000001e-03,0.0000000000000000e+00,1.2700255800900000e-10,1.2700255800900000e-10,1.2700255800900000e-10
14,0,7.2499999999999995e-02,2.5000000000000001e-03,0.0000000000000000e+00,3.1803884405799999e-10,3.1803884405799999e-10,3.1803884405799999e-10
15,0,7.7499999999999999e-02,2.5000000000000001e-03,0.0000000000000000e+00,7.5764754413100002e-10,7.5764754413100002e-10,7.5764754413100002e-10
16,0,8.2500000000000004e-02,2.5000000000000001e-03,0.0000000000000000e+00,1.7240457843300000e-09,1.7240457843300000e-09,1.7240457843300000e-09
17,0,8.7499999999999994e-02,2.5000000000000001e-03,0.0000000000000000e+00,3.7606874325000001e-09,3.7606874325000001e-09,3.7606874325000001e-09
18,0,9.2499999999999999e-02,2.5000000000000001e-03,0.0000000000000000e+00,7.8881379842399993e-09,7.8881379842399993e-09,7.8881379842399993e-09
19,0,9.7500000000000003e-02,2.5000000000000001e-03,0.0000000000000000e+00,1.5953844106399999e-08,1.5953844106399999e-08,1.5953844106399999e-08
20,0,1.0249999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.1189157601399999e-08,3.1189157601399999e-08,3.1189157601399999e-08
21,0,1.0750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.9066786284799999e-08,5.9066786284799999e-08,5.9066786284799999e-08
22,0,1.1250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.0857886473800000e-07,1.0857886473800000e-07,1.0857886473800000e-07
23,0,1.1749999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.9408452859100000e-07,1.9408452859100000e-07,1.9408452859100000e-07
24,0,1.2250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.3790394079999999e-07,3.3790394079999999e-07,3.3790394079999999e-07
25,0,1.2750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.7386018752599996e-07,5.7386018752599996e-07,5.7386018752599996e-07
26,0,1.3250000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,9.5198789750300002e-07,9.5198789750300002e-07,9.5198789750300002e-07
