cell,x,y,z,volume,initial,numerical,change,absChange
0,1.6666666666600000e-03,1.6666666666700000e-03,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1,3.3333333333299998e-03,3.3333333333499999e-03,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,2.0415805120400000e-34,2.0415805120400000e-34,2.0415805120400000e-34
2,3.3333333333299998e-03,6.6666666666900000e-03,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.9110773867300000e-34,1.9110773867300000e-34,1.9110773867300000e-34
3,1.6666666666600000e-03,8.3333333333700001e-03,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.8506476937200000e-34,1.8506476937200000e-34,1.8506476937200000e-34
4,1.6666666666600000e-03,1.1666666666700000e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,3.5612797106700001e-34,3.5612797106700001e-34,3.5612797106700001e-34
5,3.3333333333299998e-03,1.3333333333400000e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.6652367522400001e-32,1.6652367522400001e-32,1.6652367522400001e-32
6,3.3333333333299998e-03,1.6666666666700001e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.5644388866700001e-32,1.5644388866700001e-32,1.5644388866700001e-32
7,1.6666666666600000e-03,1.8333333333399999e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.5177478843600001e-32,1.5177478843600001e-32,1.5177478843600001e-32
8,1.6666666666600000e-03,2.1666666666800002e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,2.8971062151399998e-32,2.8971062151399998e-32,2.8971062151399998e-32
9,3.3333333333299998e-03,2.3333333333400000e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,6.8093518640800004e-31,6.8093518640800004e-31,6.8093518640800004e-31
10,3.3333333333299998e-03,2.6666666666799999e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,6.4375746826799996e-31,6.4375746826799996e-31,6.4375746826799996e-31
11,1.6666666666600000e-03,2.8333333333500001e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,6.2663968248299996e-31,6.2663968248299996e-31,6.2663968248299996e-31
12,1.6666666666600000e-03,3.1666666666800000e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.1882673302599999e-30,1.1882673302599999e-30,1.1882673302599999e-30
13,3.3333333333299998e-03,3.3333333333499998e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.8779025220000001e-29,1.8779025220000001e-29,1.8779025220000001e-29
14,3.3333333333299998e-03,3.6666666666799998e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.7928497693399999e-29,1.7928497693399999e-29,1.7928497693399999e-29
15,1.6666666666600000e-03,3.8333333333500003e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.7544762505700000e-29,1.7544762505700000e-29,1.7544762505700000e-29
16,1.6666666666600000e-03,4.1666666666800002e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,3.3113790666100000e-29,3.3113790666100000e-29,3.3113790666100000e-29
17,3.3333333333299998e-03,4.3333333333500000e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,3.9739485431400000e-28,3.9739485431400000e-28,3.9739485431400000e-28
18,3.3333333333299998e-03,4.6666666666900003e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,3.8465258023500002e-28,3.8465258023500002e-28,3.8465258023500002e-28
19,1.6666666666600000e-03,4.8333333333499998e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,3.7924880736500000e-28,3.7924880736500000e-28,3.7924880736500000e-28
20,1.6666666666600000e-03,5.1666666666900000e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,7.1390940658600000e-28,7.1390940658600000e-28,7.1390940658600000e-28
21,3.3333333333299998e-03,5.3333333333599998e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,6.9660370743000006e-27,6.9660370743000006e-27,6.9660370743000006e-27
22,3.3333333333299998e-03,5.6666666666899998e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,6.8601799744700003e-27,6.8601799744700003e-27,6.8601799744700003e-27
23,1.6666666666600000e-03,5.8333333333600003e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,6.8272268249400007e-27,6.8272268249400007e-27,6.8272268249400007e-27
24,1.6666666666600000e-03,6.1666666666900002e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.2838652254400000e-26,1.2838652254400000e-26,1.2838652254400000e-26
25,3.3333333333299998e-03,6.3333333333600000e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.0636859547299999e-25,1.0636859547299999e-25,1.0636859547299999e-25
26,3.3333333333299998e-03,6.6666666666900007e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.0677446761300000e-25,1.0677446761300000e-25,1.0677446761300000e-25
27,1.6666666666600000e-03,6.8333333333600005e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.0735018094100001e-25,1.0735018094100001e-25,1.0735018094100001e-25
28,1.6666666666600000e-03,7.1666666667000001e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,2.0177252638300000e-25,2.0177252638300000e-25,2.0177252638300000e-25
29,3.3333333333299998e-03,7.3333333333599995e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.4602602001999999e-24,1.4602602001999999e-24,1.4602602001999999e-24
30,3.3333333333299998e-03,7.6666666667000005e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.4931839494500000e-24,1.4931839494500000e-24,1.4931839494500000e-24
31,1.6666666666600000e-03,7.8333333333700003e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.5158959440500000e-24,1.5158959440500000e-24,1.5158959440500000e-24
32,1.6666666666600000e-03,8.1666666666999996e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,2.8455041899200001e-24,2.8455041899200001e-24,2.8455041899200001e-24
33,3.3333333333299998e-03,8.3333333333699994e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.8322839574900000e-23,1.8322839574900000e-23,1.8322839574900000e-23
34,3.3333333333299998e-03,8.6666666667000000e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.9031323168499999e-23,1.9031323168499999e-23,1.9031323168499999e-23
35,1.6666666666600000e-03,8.8333333333699998e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,1.9478910754300001e-23,1.9478910754300001e-23,1.9478910754300001e-23
36,1.6666666666600000e-03,9.1666666667000005e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,3.6449793165599999e-23,3.6449793165599999e-23,3.6449793165599999e-23
37,3.3333333333299998e-03,9.3333333333700003e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,2.1135725483099999e-22,2.1135725483099999e-22,2.1135725483099999e-22
38,3.3333333333299998e-03,9.6666666667099999e-02,5.0000000000000003e-02,1.2500000000000001e-06,0.0000000000000000e+00,2.2211391918400002e-22,2.2211391918400002e-22,2.2211391918400002e-22
